"";"...1";"mes";"volume"
"1";"GASA";2017-01-01;"87.137128741612898"
"2";"GASN";2017-01-01;"22.8025778216129"
"3";"Gás Total";2017-01-01;"109.939706563226"
"4";"GASA";2017-02-01;"86.183654744642794"
"5";"GASN";2017-02-01;"20.455147595714301"
"6";"Gás Total";2017-02-01;"106.638802340357"
"7";"GASA";2017-03-01;"80.9584133496774"
"8";"GASN";2017-03-01;"20.387362082580601"
"9";"Gás Total";2017-03-01;"101.34577543225799"
"10";"GASA";2017-04-01;"80.965377223666593"
"11";"GASN";2017-04-01;"21.615684307666701"
"12";"Gás Total";2017-04-01;"102.58106153133301"
"13";"GASA";2017-05-01;"83.584716871612898"
"14";"GASN";2017-05-01;"21.1957393790323"
"15";"Gás Total";2017-05-01;"104.780456250645"
"16";"GASA";2017-06-01;"87.323483596666705"
"17";"GASN";2017-06-01;"23.810470023000001"
"18";"Gás Total";2017-06-01;"111.133953619667"
"19";"GASA";2017-07-01;"86.699007724193507"
"20";"GASN";2017-07-01;"28.307002371612899"
"21";"Gás Total";2017-07-01;"115.006010095806"
"22";"GASA";2017-08-01;"83.661033751290304"
"23";"GASN";2017-08-01;"28.179014378387102"
"24";"Gás Total";2017-08-01;"111.840048129677"
"25";"GASA";2017-09-01;"86.827874535000007"
"26";"GASN";2017-09-01;"27.178507589999999"
"27";"Gás Total";2017-09-01;"114.006382125"
"28";"GASA";2017-10-01;"85.558766722903201"
"29";"GASN";2017-10-01;"29.045304823871"
"30";"Gás Total";2017-10-01;"114.60407154677399"
"31";"GASA";2017-11-01;"84.970015506999999"
"32";"GASN";2017-11-01;"28.4400658686667"
"33";"Gás Total";2017-11-01;"113.410081375667"
"34";"GASA";2017-12-01;"84.234996062903207"
"35";"GASN";2017-12-01;"29.137698906129"
"36";"Gás Total";2017-12-01;"113.372694969032"
"37";"GASA";2018-01-01;"84.847573778387101"
"38";"GASN";2018-01-01;"27.572477118387098"
"39";"Gás Total";2018-01-01;"112.420050896774"
"40";"GASA";2018-02-01;"88.649339606785702"
"41";"GASN";2018-02-01;"21.1634575496428"
"42";"Gás Total";2018-02-01;"109.812797156429"
"43";"GASA";2018-03-01;"87.090591842903194"
"44";"GASN";2018-03-01;"19.881607684516101"
"45";"Gás Total";2018-03-01;"106.97219952741899"
"46";"GASA";2018-04-01;"89.011872205000003"
"47";"GASN";2018-04-01;"19.735504958333301"
"48";"Gás Total";2018-04-01;"108.747377163333"
"49";"GASA";2018-05-01;"92.006971214516099"
"50";"GASN";2018-05-01;"19.885418261290301"
"51";"Gás Total";2018-05-01;"111.892389475806"
"52";"GASA";2018-02-01;"88.649341232142802"
"53";"Gás Total";2018-02-01;"109.812798781786"
"54";"GASA";2018-03-01;"87.090593678064494"
"55";"Gás Total";2018-03-01;"106.972201362581"
"56";"GASA";2018-06-01;"88.440514823666604"
"57";"GASN";2018-06-01;"26.4856533216667"
"58";"Gás Total";2018-06-01;"114.92616814533299"
"59";"GASA";2018-06-01;"88.432849352999995"
"60";"GASN";2018-06-01;"26.484787172666699"
"61";"Gás Total";2018-06-01;"114.91763652566701"
"62";"GASA";2018-07-01;"88.932616979032204"
"63";"GASN";2018-07-01;"27.037072022580599"
"64";"Gás Total";2018-07-01;"115.96968900161301"
"65";"GASA";2018-06-01;"88.437529190000006"
"66";"Gás Total";2018-06-01;"114.92318251166699"
"67";"GASA";2018-08-01;"85.1958716819355"
"68";"GASN";2018-08-01;"21.171512886129001"
"69";"Gás Total";2018-08-01;"106.36738456806501"
"70";"GASA";2017-09-01;"86.720927522333298"
"71";"Gás Total";2017-09-01;"113.89943511233299"
"72";"GASA";2018-09-01;"87.795934742666702"
"73";"GASN";2018-09-01;"25.106175936666698"
"74";"Gás Total";2018-09-01;"112.90211067933301"
"75";"GASA";2018-10-01;"90.183746057419398"
"76";"GASN";2018-10-01;"26.853390697096799"
"77";"Gás Total";2018-10-01;"117.037136754516"
"78";"GASA";2018-11-01;"88.842747727000003"
"79";"GASN";2018-11-01;"23.509108005333299"
"80";"Gás Total";2018-11-01;"112.35185573233299"
"81";"GASA";2018-11-01;"88.8427496886667"
"82";"Gás Total";2018-11-01;"112.351857694"
"83";"GASA";2018-12-01;"93.274181137419305"
"84";"GASN";2018-12-01;"20.409658565806399"
"85";"Gás Total";2018-12-01;"113.683839703226"
"86";"GASA";2019-01-01;"92.2647566712903"
"87";"GASN";2019-01-01;"20.931900049032201"
"88";"Gás Total";2019-01-01;"113.19665672032301"
"89";"GASA";2019-02-01;"89.587469962142805"
"90";"GASN";2019-02-01;"20.565140768214299"
"91";"Gás Total";2019-02-01;"110.152610730357"
"92";"GASA";2019-03-01;"92.581670366451604"
"93";"GASN";2019-03-01;"18.909641304838701"
"94";"Gás Total";2019-03-01;"111.49131167129001"
"95";"GASA";2019-03-01;"92.581674237419307"
"96";"Gás Total";2019-03-01;"111.49131554225799"
"97";"GASA";2019-04-01;"94.033607283999999"
"98";"GASN";2019-04-01;"18.894523032999999"
"99";"Gás Total";2019-04-01;"112.928130317"
"100";"GASA";2019-05-01;"98.510940365161304"
"101";"GASN";2019-05-01;"19.4282871616129"
"102";"Gás Total";2019-05-01;"117.939227526774"
"103";"GASA";2019-05-01;"98.511129965806404"
"104";"Gás Total";2019-05-01;"117.93941712741901"
"105";"GASA";2019-06-01;"92.040305930333304"
"106";"GASN";2019-06-01;"19.111857668999999"
"107";"Gás Total";2019-06-01;"111.15216359933299"
"108";"GASA";2019-07-01;"100.704296007097"
"109";"GASN";2019-07-01;"23.452390829032201"
"110";"Gás Total";2019-07-01;"124.156686836129"
"111";"GASA";2019-08-01;"107.59957095903199"
"112";"GASN";2019-08-01;"25.723139259032301"
"113";"Gás Total";2019-08-01;"133.322710218065"
"114";"GASA";2019-08-01;"107.599664166129"
"115";"Gás Total";2019-08-01;"133.322803425161"
"116";"GASA";2019-09-01;"102.903797009333"
"117";"GASN";2019-09-01;"25.952551918333299"
"118";"Gás Total";2019-09-01;"128.856348927667"
"119";"GASA";2019-10-01;"106.116400765484"
"120";"GASN";2019-10-01;"25.478259905161298"
"121";"Gás Total";2019-10-01;"131.594660670645"
"122";"GASA";2019-11-01;"110.587249003667"
"123";"GASN";2019-11-01;"26.009605332333301"
"124";"Gás Total";2019-11-01;"136.59685433600001"
"125";"GASA";2019-12-01;"111.910465947742"
"126";"GASN";2019-12-01;"25.8703816696774"
"127";"Gás Total";2019-12-01;"137.780847617419"
"128";"GASA";2019-12-01;"111.927529607097"
"129";"GASN";2019-12-01;"25.851482608709698"
"130";"Gás Total";2019-12-01;"137.77901221580601"
"131";"GASA";2020-01-01;"111.60642801935499"
"132";"GASN";2020-01-01;"27.146490074516102"
"133";"Gás Total";2020-01-01;"138.75291809387099"
"134";"GASA";2020-01-01;"111.606382977419"
"135";"Gás Total";2020-01-01;"138.75287305193501"
"136";"GASA";2020-02-01;"105.872977705517"
"137";"GASN";2020-02-01;"23.062257192069001"
"138";"Gás Total";2020-02-01;"128.93523489758601"
"139";"GASA";2020-03-01;"106.97996705322601"
"140";"GASN";2020-03-01;"14.7693720470968"
"141";"Gás Total";2020-03-01;"121.749339100323"
"142";"GASA";2020-04-01;"110.560868492667"
"143";"GASN";2020-04-01;"13.444934752"
"144";"Gás Total";2020-04-01;"124.00580324466701"
"145";"GASA";2020-05-01;"100.042554264194"
"146";"GASN";2020-05-01;"14.324577943871001"
"147";"Gás Total";2020-05-01;"114.367132208065"
"148";"GASA";2020-06-01;"110.286178831"
"149";"GASN";2020-06-01;"18.186372167666701"
"150";"Gás Total";2020-06-01;"128.472550998667"
"151";"GASA";2020-07-01;"112.304323348065"
"152";"GASN";2020-07-01;"18.027931173548399"
"153";"Gás Total";2020-07-01;"130.33225452161301"
"154";"GASA";2020-08-01;"115.870494624839"
"155";"GASN";2020-08-01;"17.645398240322599"
"156";"Gás Total";2020-08-01;"133.51589286516099"
"157";"GASA";2020-08-01;"115.870767130323"
"158";"Gás Total";2020-08-01;"133.51616537064501"
"159";"GASA";2020-09-01;"107.663943362"
"160";"GASN";2020-09-01;"17.591973347666698"
"161";"Gás Total";2020-09-01;"125.25591670966701"
"162";"GASA";2020-10-01;"107.543565923548"
"163";"GASN";2020-10-01;"22.5072436741935"
"164";"Gás Total";2020-10-01;"130.05080959774199"
"165";"GASA";2020-11-01;"103.821405414333"
"166";"GASN";2020-11-01;"22.576476303666698"
"167";"Gás Total";2020-11-01;"126.39788171799999"
"168";"GASA";2020-12-01;"104.411092187419"
"169";"GASN";2020-12-01;"22.566197286451601"
"170";"Gás Total";2020-12-01;"126.977289473871"
"171";"GASA";2020-10-01;"107.542319997742"
"172";"Gás Total";2020-10-01;"130.049563671935"
"173";"GASA";2021-01-01;"112.923633849677"
"174";"GASN";2021-01-01;"23.473947341290302"
"175";"Gás Total";2021-01-01;"136.397581190968"
"176";"GASA";2021-02-01;"110.92859786"
"177";"GASN";2021-02-01;"20.1581858342857"
"178";"Gás Total";2021-02-01;"131.086783694286"
"179";"GASA";2021-03-01;"111.468897237097"
"180";"GASN";2021-03-01;"14.617407378064501"
"181";"Gás Total";2021-03-01;"126.086304615161"
"182";"GASA";2021-03-01;"111.468900401613"
"183";"Gás Total";2021-03-01;"126.086307779677"
"184";"GASA";2021-04-01;"116.795420427333"
"185";"GASN";2021-04-01;"14.636380948333301"
"186";"Gás Total";2021-04-01;"131.43180137566699"
"187";"GASA";2021-04-01;"116.795662995"
"188";"GASN";2021-04-01;"14.6364295816667"
"189";"Gás Total";2021-04-01;"131.432092576667"
"190";"GASA";2021-05-01;"114.275615646774"
"191";"GASN";2021-05-01;"20.278490481612899"
"192";"Gás Total";2021-05-01;"134.55410612838699"
"193";"GASA";2021-06-01;"114.143645619333"
"194";"GASN";2021-06-01;"21.606384181666701"
"195";"Gás Total";2021-06-01;"135.75002980100001"
"196";"GASA";2021-07-01;"117.577067214839"
"197";"GASN";2021-07-01;"21.556429528064498"
"198";"Gás Total";2021-07-01;"139.13349674290299"
"199";"GASA";2021-07-01;"117.621592024516"
"200";"Gás Total";2021-07-01;"139.17802155258099"
"201";"GASA";2021-08-01;"114.412748213871"
"202";"GASN";2021-08-01;"22.18164951"
"203";"Gás Total";2021-08-01;"136.594397723871"
"204";"GASA";2021-08-01;"114.41407647451599"
"205";"Gás Total";2021-08-01;"136.59572598451601"
"206";"GASA";2021-09-01;"116.46337072199999"
"207";"GASN";2021-09-01;"16.909514948999998"
"208";"Gás Total";2021-09-01;"133.37288567100001"
"209";"GASN";2021-09-01;"16.919852522333301"
"210";"Gás Total";2021-09-01;"133.38322324433301"
"211";"GASA";2021-10-01;"110.693614972258"
"212";"GASN";2021-10-01;"21.009644595161301"
"213";"Gás Total";2021-10-01;"131.703259567419"
"214";"GASA";2021-10-01;"110.694510485161"
"215";"Gás Total";2021-10-01;"131.70415508032301"
"216";"GASA";2021-11-01;"114.244503242333"
"217";"GASN";2021-11-01;"22.340453848333301"
"218";"Gás Total";2021-11-01;"136.58495709066699"
"219";"GASA";2021-12-01;"115.19851452258099"
"220";"GASN";2021-12-01;"17.040037391290301"
"221";"Gás Total";2021-12-01;"132.23855191387099"
"222";"GASA";2021-02-01;"110.92857049535699"
"223";"Gás Total";2021-02-01;"131.08675632964301"
"224";"GASA";2022-01-01;"122.99121943129001"
"225";"GASN";2022-01-01;"14.440096266129"
"226";"Gás Total";2022-01-01;"137.431315697419"
"227";"GASA";2022-02-01;"119.091181519286"
"228";"GASN";2022-02-01;"14.1290439996428"
"229";"Gás Total";2022-02-01;"133.220225518929"
"230";"GASA";2022-03-01;"119.93959090967699"
"231";"GASN";2022-03-01;"14.5032691906452"
"232";"Gás Total";2022-03-01;"134.442860100323"
"233";"GASA";2022-04-01;"121.607716935667"
"234";"GASN";2022-04-01;"15.235003407000001"
"235";"Gás Total";2022-04-01;"136.84272034266701"
"236";"GASA";2022-01-01;"122.987814882903"
"237";"GASN";2022-01-01;"14.443500814516099"
"238";"GASN";2022-03-01;"14.5027691906452"
"239";"Gás Total";2022-03-01;"134.44236010032299"
"240";"GASN";2022-04-01;"15.293625018666701"
"241";"Gás Total";2022-04-01;"136.90134195433299"
"242";"GASA";2022-05-01;"116.83594575806499"
"243";"GASN";2022-05-01;"14.877133917741901"
"244";"Gás Total";2022-05-01;"131.713079675806"
"245";"GASA";2022-06-01;"112.100966716"
"246";"GASN";2022-06-01;"20.801880058666701"
"247";"Gás Total";2022-06-01;"132.90284677466701"
"248";"GASA";2022-03-01;"119.93901434193501"
"249";"Gás Total";2022-03-01;"134.442283532581"
"250";"GASA";2021-08-01;"114.41407647451618"
"251";"GASN";2021-08-01;"22.181649510000003"
"252";"Total";2021-08-01;"136.59572598451618"
"253";"GASA";2021-09-01;"116.46337072200005"
"254";"GASN";2021-09-01;"16.919852522333336"
"255";"Total";2021-09-01;"133.38322324433338"
"256";"GASA";2021-10-01;"110.69451048516125"
"257";"GASN";2021-10-01;"21.009644595161294"
"258";"Total";2021-10-01;"131.70415508032252"
"259";"GASA";2021-11-01;"114.24450324233328"
"260";"GASN";2021-11-01;"22.340453848333333"
"261";"Total";2021-11-01;"136.58495709066659"
"262";"GASA";2021-12-01;"115.19851452258068"
"263";"GASN";2021-12-01;"17.040037391290323"
"264";"Total";2021-12-01;"132.23855191387099"
"265";"GASA";2022-01-01;"122.99121943129029"
"266";"GASN";2022-01-01;"14.440096266129027"
"267";"Total";2022-01-01;"137.43131569741931"
"268";"GASA";2022-02-01;"119.09118151928581"
"269";"GASN";2022-02-01;"14.12904399964286"
"270";"Total";2022-02-01;"133.22022551892866"
"271";"GASA";2022-03-01;"119.93959090967745"
"272";"GASN";2022-03-01;"14.502769190645163"
"273";"Total";2022-03-01;"134.44236010032262"
"274";"GASA";2022-04-01;"121.60771693566667"
"275";"GASN";2022-04-01;"15.293625018666663"
"276";"Total";2022-04-01;"136.90134195433333"
"277";"GASA";2022-05-01;"116.83594575806457"
"278";"GASN";2022-05-01;"14.87713391774194"
"279";"Total";2022-05-01;"131.71307967580651"
"280";"GASA";2022-06-01;"112.10108852599997"
"281";"GASN";2022-06-01;"20.801880058666669"
"282";"Total";2022-06-01;"132.90296858466661"
"283";"GASA";2022-07-01;"117.82855880870976"
"284";"GASN";2022-07-01;"17.801148714516131"
"285";"Total";2022-07-01;"135.6297075232259"
"286";"GASA";2022-08-01;"121.12936283516134"
"287";"GASN";2022-08-01;"18.83346219451612"
"288";"Total";2022-08-01;"139.96282502967748"
"289";"GASA";2022-09-01;"124.36473873833337"
"290";"GASN";2022-09-01;"18.705572988666663"
"291";"Total";2022-09-01;"143.07031172700002"
"292";"GASA";2022-10-01;"131.05870408322582"
"293";"GASN";2022-10-01;"17.692116777096778"
"294";"Total";2022-10-01;"148.75082086032259"
"295";"GASA";2022-11-01;"122.94826579499993"
"296";"GASN";2022-11-01;"17.431753411000003"
"297";"Total";2022-11-01;"140.38001920599993"
"298";"GASA";2022-12-01;"122.14118910161284"
"299";"GASN";2022-12-01;"18.002114776774199"
"300";"Total";2022-12-01;"140.14330387838706"
"301";"GASA";2021-07-01;"117.62159202451613"
"302";"GASN";2021-07-01;"21.556429528064516"
"303";"Gás Total";2021-07-01;"139.17802155258065"
