Campos,Operador,Bacia,Ambiente,Dada de início da interrupção,Data do fim da interrupção,mes
CAIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
CAMORIM,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
GUARICEMA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
GAROUPA,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
CHERNE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
NAMORADO,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
BAGRE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
BARRACUDA,Petrobras,Campos,MAR,2020-04-07T00:00:00Z,2020-04-28,2020-04-01
CARATINGA,Petrobras,Campos,MAR,2020-04-04T00:00:00Z,2020-04-28,2020-04-01
ATUM,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
XARÉU,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
CURIMÃ,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
ESPADA,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
OESTE DE UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
AGULHA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-04-01
AGUILHADA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
ANGELIM,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
ARUARI,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
ATALAIA SUL,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
BREJO GRANDE,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
ILHA PEQUENA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
BARRINHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
BARRINHA LESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
BARRINHA SUDOESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
POÇO VERDE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
SERRA DO MEL,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
SERRA VERMELHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
VALE DO QUIRICÓ,Energizzi,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
LAGOA DO PAULO SUL,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
JURITI,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-04-01
BREJINHO,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-04-01
CANABRAVA,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-04-01
MANATI,Petrobras,Camamu,MAR,2020-02-22T00:00:00Z,NA,2020-04-01
PEROÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,NA,2020-04-01
CANGOÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,NA,2020-04-01
MERLUZA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-04-01
LAGOSTA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-04-01
CAIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
CAMORIM,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
GUARICEMA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
GAROUPA,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
CHERNE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
NAMORADO,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
BAGRE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
BARRACUDA,Petrobras,Campos,MAR,2020-04-07T00:00:00Z,2020-04-26,2020-05-01
CARATINGA,Petrobras,Campos,MAR,2020-04-04T00:00:00Z,2020-04-26,2020-05-01
ATUM,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
XARÉU,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
CURIMÃ,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
ESPADA,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
OESTE DE UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
AGULHA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-05-01
AGUILHADA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
ANGELIM,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
ARUARI,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
ATALAIA SUL,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
BREJO GRANDE,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
ILHA PEQUENA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
BARRINHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
BARRINHA LESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
BARRINHA SUDOESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
POÇO VERDE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
SERRA DO MEL,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
SERRA VERMELHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
VALE DO QUIRICÓ,Energizzi,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
LAGOA DO PAULO SUL,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
JURITI,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-05-01
BREJINHO,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-05-01
CANABRAVA,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-05-01
MANATI,Petrobras,Camamu,MAR,2020-02-22T00:00:00Z,2020-05-23,2020-05-01
PEROÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2020-05-01
CANGOÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2020-05-01
MERLUZA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-05-01
LAGOSTA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-05-01
RIO SUMAÚBA,Petrobras,Recôncavo,TERRA,2020-05-11T00:00:00Z,NA,2020-05-01
CAIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
CAMORIM,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
GUARICEMA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
GAROUPA,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
CHERNE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
NAMORADO,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
BAGRE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
BARRACUDA,Petrobras,Campos,MAR,2020-04-07T00:00:00Z,2020-04-26,2020-06-01
CARATINGA,Petrobras,Campos,MAR,2020-04-04T00:00:00Z,2020-04-26,2020-06-01
ATUM,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
XARÉU,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
CURIMÃ,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
ESPADA,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
OESTE DE UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
AGULHA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-06-01
AGUILHADA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-06-01
ANGELIM,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-06-01
