Total,n,mes
TOTAL  DE CAMPOS INTERROMPIDOS,38,2020-04-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,2,2020-04-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDOS,36,2020-04-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,39,2020-05-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,5,2020-05-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,34,2020-05-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,39,2020-06-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,5,2020-06-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,34,2020-06-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,39,2020-07-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,6,2020-07-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,33,2020-07-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,40,2020-08-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,7,2020-08-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,33,2020-08-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,40,2020-09-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,8,2020-09-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,32,2020-09-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,42,2020-11-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,8,2020-11-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,34,2020-11-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,42,2020-12-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,8,2020-12-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,34,2020-12-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,41,2020-10-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,8,2020-10-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,33,2020-10-01
TOTAL DE CAMPOS QUE INTERROMPERAM A PRODUÇÃO,42,2021-02-01
TOTAL DE CAMPOS QUE RETORNARAM A OPERAR,8,2021-02-01
TOTAL DE CAMPOS QUE PERMANECEM COM PRODUÇÃO INTERROMPIDA,34,2021-02-01
