...1,mes,volume
Óleo,2017-01-01,2669.6025973222199
Condensado,2017-01-01,16.958590855296499
Petróleo,2017-01-01,2686.5611881775199
Óleo,2017-02-01,2658.56416839233
Condensado,2017-02-01,16.936282006320099
Petróleo,2017-02-01,2675.5004503986502
Óleo,2017-03-01,2533.1946349438399
Condensado,2017-03-01,16.772156019395201
Petróleo,2017-03-01,2549.9667909632399
Óleo,2017-04-01,2522.3632340578602
Condensado,2017-04-01,16.6083469002673
Petróleo,2017-04-01,2538.9715809581298
Óleo,2017-05-01,2637.4386958700302
Condensado,2017-05-01,15.835654854373701
Petróleo,2017-05-01,2653.2743507243999
Óleo,2017-06-01,2659.87149355771
Condensado,2017-06-01,14.898018198745
Petróleo,2017-06-01,2674.7695117564599
Óleo,2017-07-01,2608.6176165514598
Condensado,2017-07-01,14.245614392002301
Petróleo,2017-07-01,2622.8632309434602
Óleo,2017-08-01,2559.9860715774598
Condensado,2017-08-01,16.077661474369201
Petróleo,2017-08-01,2576.0637330518298
Óleo,2017-09-01,2636.3228938633902
Condensado,2017-09-01,16.2684258325401
Petróleo,2017-09-01,2652.59131969593
Óleo,2017-10-01,2611.3781622512602
Condensado,2017-10-01,16.0491385941251
Petróleo,2017-10-01,2627.4273008453902
Óleo,2017-11-01,2580.1229263905302
Condensado,2017-11-01,14.5204158710012
Petróleo,2017-11-01,2594.6433422615301
Óleo,2017-12-01,2597.3812599036701
Condensado,2017-12-01,14.990735078011999
Petróleo,2017-12-01,2612.37199498168
Óleo,2018-01-01,2599.0412046711999
Condensado,2018-01-01,16.152236866342498
Petróleo,2018-01-01,2615.1934415375399
Óleo,2018-02-01,2603.9491325404301
Condensado,2018-02-01,13.396169437488201
Petróleo,2018-02-01,2617.3453019779199
Óleo,2017-03-01,2533.1946349438399
Condensado,2017-03-01,16.772156019395201
Petróleo,2017-03-01,2549.9667909632399
Óleo,2017-04-01,2522.3632340578602
Condensado,2017-04-01,16.6083469002673
