Produto,Período,Valor
Óleo,2016-10-01,2611.03985793409
Óleo,2016-11-01,2595.03120778337
Óleo,2016-12-01,2713.00506352696
Óleo,2017-01-01,2669.60259732222
Óleo,2017-02-01,2658.56416839233
Óleo,2017-03-01,2533.19463494384
Óleo,2017-04-01,2522.36323405786
Óleo,2017-05-01,2637.43869587003
Óleo,2017-06-01,2659.87149355771
Óleo,2017-07-01,2608.61761655146
Óleo,2017-08-01,2559.98607157746
Óleo,2017-09-01,2636.32289386339
Óleo,2017-10-01,2611.37816225126
Condensado,2016-10-01,12.8379836543761
Condensado,2016-11-01,13.4938102434995
Condensado,2016-12-01,16.8368669339409
Condensado,2017-01-01,16.9585908552965
Condensado,2017-02-01,16.9362820063201
Condensado,2017-03-01,16.7721560193952
Condensado,2017-04-01,16.6083469002673
Condensado,2017-05-01,15.8356548543737
Condensado,2017-06-01,14.898018198745
Condensado,2017-07-01,14.2456143920023
Condensado,2017-08-01,16.0776614743692
Condensado,2017-09-01,16.2684258325401
Condensado,2017-10-01,16.0491385941251
Petróleo,2016-10-01,2623.87784158846
Petróleo,2016-11-01,2608.52501802687
Petróleo,2016-12-01,2729.8419304609
Petróleo,2017-01-01,2686.56118817752
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Óleo,2016-11-01,2595.03120778337
Óleo,2016-12-01,2713.00506352696
Óleo,2017-01-01,2669.60259732222
Óleo,2017-02-01,2658.56416839233
Óleo,2017-03-01,2533.19463494384
Óleo,2017-04-01,2522.36323405786
Óleo,2017-05-01,2637.43869587003
Óleo,2017-06-01,2659.87149355771
Óleo,2017-07-01,2608.61761655146
Óleo,2017-08-01,2559.98607157746
Óleo,2017-09-01,2636.32289386339
Óleo,2017-10-01,2611.37816225126
Óleo,2017-11-01,2580.12292639053
Condensado,2016-11-01,13.4938102434995
Condensado,2016-12-01,16.8368669339409
Condensado,2017-01-01,16.9585908552965
Condensado,2017-02-01,16.9362820063201
Condensado,2017-03-01,16.7721560193952
Condensado,2017-04-01,16.6083469002673
Condensado,2017-05-01,15.8356548543737
Condensado,2017-06-01,14.898018198745
Condensado,2017-07-01,14.2456143920023
Condensado,2017-08-01,16.0776614743692
Condensado,2017-09-01,16.2684258325401
Condensado,2017-10-01,16.0491385941251
Condensado,2017-11-01,14.5204158710012
Petróleo,2016-11-01,2608.52501802687
Petróleo,2016-12-01,2729.8419304609
Petróleo,2017-01-01,2686.56118817752
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Petróleo,2017-11-01,2594.64334226153
Óleo,2016-12-01,2713.00506352696
Óleo,2017-01-01,2669.60259732222
Óleo,2017-02-01,2658.56416839233
Óleo,2017-03-01,2533.19463494384
Óleo,2017-04-01,2522.36323405786
Óleo,2017-05-01,2637.43869587003
Óleo,2017-06-01,2659.87149355771
Óleo,2017-07-01,2608.61761655146
Óleo,2017-08-01,2559.98607157746
Óleo,2017-09-01,2636.32289386339
Óleo,2017-10-01,2611.37816225126
Óleo,2017-11-01,2580.12292639053
Óleo,2017-12-01,2597.38125990367
Condensado,2016-12-01,16.8368669339409
Condensado,2017-01-01,16.9585908552965
Condensado,2017-02-01,16.9362820063201
Condensado,2017-03-01,16.7721560193952
Condensado,2017-04-01,16.6083469002673
Condensado,2017-05-01,15.8356548543737
Condensado,2017-06-01,14.898018198745
Condensado,2017-07-01,14.2456143920023
Condensado,2017-08-01,16.0776614743692
Condensado,2017-09-01,16.2684258325401
Condensado,2017-10-01,16.0491385941251
Condensado,2017-11-01,14.5204158710012
Condensado,2017-12-01,14.990735078012
Petróleo,2016-12-01,2729.8419304609
Petróleo,2017-01-01,2686.56118817752
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Petróleo,2017-11-01,2594.64334226153
Petróleo,2017-12-01,2612.37199498168
Óleo,2017-01-01,2669.60259732222
Óleo,2017-02-01,2658.56416839233
Óleo,2017-03-01,2533.19463494384
Óleo,2017-04-01,2522.36323405786
Óleo,2017-05-01,2637.43869587003
Óleo,2017-06-01,2659.87149355771
Óleo,2017-07-01,2608.61761655146
Óleo,2017-08-01,2559.98607157746
Óleo,2017-09-01,2636.32289386339
Óleo,2017-10-01,2611.37816225126
Óleo,2017-11-01,2580.12292639053
Óleo,2017-12-01,2597.38125990367
Óleo,2018-01-01,2599.0412046712
Condensado,2017-01-01,16.9585908552965
Condensado,2017-02-01,16.9362820063201
Condensado,2017-03-01,16.7721560193952
Condensado,2017-04-01,16.6083469002673
Condensado,2017-05-01,15.8356548543737
Condensado,2017-06-01,14.898018198745
Condensado,2017-07-01,14.2456143920023
Condensado,2017-08-01,16.0776614743692
Condensado,2017-09-01,16.2684258325401
Condensado,2017-10-01,16.0491385941251
Condensado,2017-11-01,14.5204158710012
Condensado,2017-12-01,14.990735078012
Condensado,2018-01-01,16.1522368663425
Petróleo,2017-01-01,2686.56118817752
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Petróleo,2017-11-01,2594.64334226153
Petróleo,2017-12-01,2612.37199498168
Petróleo,2018-01-01,2615.19344153754
Óleo,2017-02-01,2658.56416839233
Óleo,2017-03-01,2533.19463494384
Óleo,2017-04-01,2522.36323405786
Óleo,2017-05-01,2637.43869587003
Óleo,2017-06-01,2659.87149355771
Óleo,2017-07-01,2608.61761655146
Óleo,2017-08-01,2559.98607157746
Óleo,2017-09-01,2636.32289386339
Óleo,2017-10-01,2611.37816225126
Óleo,2017-11-01,2580.12292639053
Óleo,2017-12-01,2597.38125990367
Óleo,2018-01-01,2599.0412046712
Óleo,2018-02-01,2603.94913254043
Condensado,2017-02-01,16.9362820063201
Condensado,2017-03-01,16.7721560193952
Condensado,2017-04-01,16.6083469002673
Condensado,2017-05-01,15.8356548543737
Condensado,2017-06-01,14.898018198745
Condensado,2017-07-01,14.2456143920023
Condensado,2017-08-01,16.0776614743692
Condensado,2017-09-01,16.2684258325401
Condensado,2017-10-01,16.0491385941251
Condensado,2017-11-01,14.5204158710012
Condensado,2017-12-01,14.990735078012
Condensado,2018-01-01,16.1522368663425
Condensado,2018-02-01,13.3961694374882
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Petróleo,2017-11-01,2594.64334226153
Petróleo,2017-12-01,2612.37199498168
Petróleo,2018-01-01,2615.19344153754
Petróleo,2018-02-01,2617.34530197792
Óleo,2017-03-01,2533.19463494384
Óleo,2017-04-01,2522.36323405786
Óleo,2017-05-01,2637.43869587003
Óleo,2017-06-01,2659.87149355771
Óleo,2017-07-01,2608.61761655146
Óleo,2017-08-01,2559.98607157746
Óleo,2017-09-01,2636.32289386339
Óleo,2017-10-01,2611.37816225126
Óleo,2017-11-01,2580.12292639053
Óleo,2017-12-01,2597.38125990367
Óleo,2018-01-01,2599.0412046712
Óleo,2018-02-01,2603.94913254043
Óleo,2018-03-01,2544.96648952152
Condensado,2017-03-01,16.7721560193952
Condensado,2017-04-01,16.6083469002673
Condensado,2017-05-01,15.8356548543737
Condensado,2017-06-01,14.898018198745
Condensado,2017-07-01,14.2456143920023
Condensado,2017-08-01,16.0776614743692
Condensado,2017-09-01,16.2684258325401
Condensado,2017-10-01,16.0491385941251
Condensado,2017-11-01,14.5204158710012
Condensado,2017-12-01,14.990735078012
Condensado,2018-01-01,16.1522368663425
Condensado,2018-02-01,13.3961694374882
Condensado,2018-03-01,12.3330872449022
Petróleo,2017-03-01,2549.96679096324
