...1,Período,produto
GASA,2016-10-01,82.6654208412903
GASA,2016-11-01,84.0662239473333
GASA,2016-12-01,87.4955457438709
GASA,2017-01-01,87.1371287416129
GASA,2017-02-01,86.1836547446428
GASA,2017-03-01,80.9584133496774
GASA,2017-04-01,80.9653772236666
GASA,2017-05-01,83.5847168716129
GASA,2017-06-01,87.3234835966667
GASA,2017-07-01,86.6990077241935
GASA,2017-08-01,83.6610337512903
GASA,2017-09-01,86.827874535
GASA,2017-10-01,85.5587667229032
GASN,2016-10-01,25.8277224574193
GASN,2016-11-01,27.047025729
GASN,2016-12-01,24.2767297058064
GASN,2017-01-01,22.8025778216129
GASN,2017-02-01,20.4551475957143
GASN,2017-03-01,20.3873620825806
GASN,2017-04-01,21.6156843076667
GASN,2017-05-01,21.1957393790323
GASN,2017-06-01,23.810470023
GASN,2017-07-01,28.3070023716129
GASN,2017-08-01,28.1790143783871
GASN,2017-09-01,27.17850759
GASN,2017-10-01,29.045304823871
Gás Total,2016-10-01,108.49314329871
Gás Total,2016-11-01,111.113249676333
Gás Total,2016-12-01,111.772275449677
Gás Total,2017-01-01,109.939706563226
Gás Total,2017-02-01,106.638802340357
Gás Total,2017-03-01,101.345775432258
Gás Total,2017-04-01,102.581061531333
Gás Total,2017-05-01,104.780456250645
Gás Total,2017-06-01,111.133953619667
Gás Total,2017-07-01,115.006010095806
Gás Total,2017-08-01,111.840048129677
Gás Total,2017-09-01,114.006382125
Gás Total,2017-10-01,114.604071546774
GASA,2016-11-01,84.0662239473333
GASA,2016-12-01,87.4955457438709
GASA,2017-01-01,87.1371287416129
GASA,2017-02-01,86.1836547446428
GASA,2017-03-01,80.9584133496774
GASA,2017-04-01,80.9653772236666
GASA,2017-05-01,83.5847168716129
GASA,2017-06-01,87.3234835966667
GASA,2017-07-01,86.6990077241935
GASA,2017-08-01,83.6610337512903
GASA,2017-09-01,86.827874535
GASA,2017-10-01,85.5587667229032
GASA,2017-11-01,84.970015507
GASN,2016-11-01,27.047025729
GASN,2016-12-01,24.2767297058064
GASN,2017-01-01,22.8025778216129
