Mês/Ano,Consumo,Queima,Injeção,Disponível,Produção,Aproveitamento,Injeç3ã5o.562,16P.6r5o7dução
"",Interno,,,,,,descontando CO2,descontando CO2
"",,,,,,,,
02/2023,15.150,3.810,78.757,48.822,146.540,"97,4%",58.06239.377,12.417212.755
03/2023,14.562,3.600,72.853,47.516,138.531,"97,4%",55.317,118.022
04/2023,14.754,3.869,73.113,49.864,141.601,"97,3%",55.369,120.404
05/2023,14.598,4.136,74.991,50.685,144.410,"97,1%",55.798,121.161
06/2023,15.161,4.580,77.859,54.658,152.258,"97,0%",57.924,128.571
07/2023,15.936,4.274,80.209,53.657,154.076,"97,2%",59.388,130.134
08/2023,16.071,3.769,75.766,52.254,147.860,"97,5%",54.800,123.884
09/2023,16.649,3.354,83.598,54.388,157.989,"97,9%",61.586,132.985
10/2023,16.239,3.732,83.911,48.624,152.505,"97,6%",63.283,128.899
11/2023,16.807,3.663,85.787,55.866,162.123,"97,8%",63.807,137.259
12/2023,16.273,3.396,85.617,51.345,156.630,"97,8%",63.822,132.064
01/2024,16.452,4.546,81.304,51.625,153.927,"97,1%",60.705,129.528
02/2024,16.455,5.285,75.653,51.241,148.635,"96,5%",55.956,124.393
