Período,Consumo Interno,Queima,Disponível,Injeção,Aproveitamento,Injeção descontando CO2,Produção descontando CO2
2017-02-01,13343.4312389286,3955.95456535714,61950.9354125,27388.4811278571,NA,NA,NA
2017-03-01,13024.7889793548,3466.55043096774,56362.7976225806,28491.6384035484,NA,NA,NA
2017-04-01,12877.7164063333,3553.20519233333,60472.893688,25677.2199823333,NA,NA,NA
2017-05-01,12928.9493016129,3707.15524645161,61891.6095296774,26252.7214029032,NA,NA,NA
2017-06-01,13140.5406073333,4511.20017166667,66917.3622846667,26564.8428516667,NA,NA,NA
2017-07-01,13343.2124890323,4226.0446983871,67927.6394393548,29509.1134696774,NA,NA,NA
2017-08-01,13286.4317732258,3387.47376419355,67296.4762570968,27869.6663383871,NA,NA,NA
2017-09-01,13345.7114683333,3375.51585033333,66905.0386893333,30376.342515,NA,NA,NA
2017-10-01,13472.0384245161,3392.36818548387,70128.7066745161,27610.9147822581,NA,NA,NA
2017-11-01,13068.6799293333,3566.87561866667,69971.380927,26802.92828,NA,NA,NA
2017-12-01,12936.2502793548,3865.64167193548,69874.3303719355,26696.4672090323,NA,NA,NA
2018-01-01,12808.8200590323,4018.5189083871,65541.6620493548,30039.9208503226,NA,NA,NA
2018-02-01,12846.8078289286,3598.21034392857,60473.2899635714,32894.4890225,NA,NA,NA
2018-03-01,13024.5255080645,3323.26540419355,57190.0922890323,33434.3163287097,NA,NA,NA
2018-04-01,12990.1276936667,3423.55782466667,59678.805324,32654.8855903333,NA,NA,NA
2018-05-01,13121.5443809677,4126.07770709677,58453.4604296774,36191.3069606452,NA,NA,NA
2018-06-01,12905.7887183333,4155.365976,63440.8616853333,34424.1490876667,NA,NA,NA
2018-04-01,12990.1276936667,3423.558558,59678.805324,32654.8855903333,NA,NA,NA
2018-06-01,12902.754645,4152.04468,63438.688116,34424.1490876667,NA,NA,NA
2018-07-01,12898.6252125806,3878.90971806452,63039.5615945161,36152.5924780645,NA,NA,NA
2018-06-01,12905.7887183333,4152.38301333333,63440.8617093333,34424.1490876667,NA,NA,NA
2018-08-01,13040.2134590323,3131.13285064516,52204.0574154839,37991.9808451613,NA,NA,NA
2017-09-01,13330.3879766667,3371.07994433333,66817.8510743333,30376.342515,NA,NA,NA
2018-09-01,13855.0842903333,3112.81787566667,56396.177877,39538.0306386667,NA,NA,NA
2018-10-01,13743.9867706452,3014.96026741935,65179.8078512903,35098.3818683871,NA,NA,NA
2018-11-01,13265.0867266667,4213.18177233333,59651.309751,35222.277485,NA,NA,NA
2018-11-01,13265.0867266667,4213.183734,59651.309751,35222.277485,NA,NA,NA
2018-12-01,13779.3195509677,4646.11936967742,57853.1877177419,37405.2130683871,NA,NA,NA
2019-01-01,13602.8962222581,5642.20650645161,60341.1993812903,33610.3546145161,NA,NA,NA
2019-02-01,12553.8000153571,5112.00413392857,56276.0940292857,36210.7125575,NA,NA,NA
2019-03-01,12710.6162393548,5878.69250677419,57058.6432309677,35843.3596980645,NA,NA,NA
2019-03-01,12710.6162393548,5878.69637774194,57058.6432309677,35843.3596980645,NA,NA,NA
2019-04-01,12896.915366,6040.906855,55334.7912926667,38655.5168066667,NA,NA,NA
2019-05-01,13315.1315116129,4905.67650741935,58276.3583077419,41442.061203871,NA,NA,NA
2019-05-01,13315.1315116129,4905.86610806452,58276.3583077419,41442.061203871,NA,NA,NA
2019-06-01,13104.2382653333,4051.00289433333,54753.0259196667,39243.8965243333,NA,NA,NA
2019-07-01,13767.6048335484,3469.93810193548,61728.8718619355,45190.2720429032,NA,NA,NA
2019-08-01,14393.5877709677,3323.16261193548,65534.5812296774,50071.37861,NA,NA,NA
2019-08-01,14393.5877709677,3323.25581903226,65534.5812296774,50071.37861,NA,NA,NA
2019-09-01,14287.9334956667,3275.474287,67163.3021393333,44129.6390093333,NA,NA,NA
2019-10-01,14284.6233054839,3507.72561419355,66688.7751874194,47113.5365674194,NA,NA,NA
2019-11-01,14345.4883436667,3432.36514833333,66420.3494036667,52398.6514446667,NA,NA,NA
2019-12-01,14347.6165780645,3679.2714912903198,65607.5796822581,54146.4129425806,NA,NA,NA
2019-12-01,14347.4836887097,3679.25316225806,65605.8954990323,54146.4129425806,NA,NA,NA
2020-01-01,14640.6637596774,4033.68632548387,67995.7460612903,52082.8228435484,NA,NA,NA
2020-01-01,14640.6637596774,4033.68644483871,67943.5741612903,52082.8228435484,NA,NA,NA
2020-02-01,14164.8185765517,3643.98927172414,61364.6023406897,49761.8247144828,NA,NA,NA
2020-03-01,14380.2607874194,3398.06569806452,47958.6688990323,56012.3437187097,NA,NA,NA
