Mês/Ano,Consumo Interno,Queima,Disponível,Injeção,Produção,Aproveitamento,Injeção descontando CO2,Produção descontando CO2
2017-01-01T00:00:00Z,13263,4283,64395,27999,109940,NA,NA,NA
2017-02-01T00:00:00Z,13343,3956,61951,27388,106639,NA,NA,NA
2017-03-01T00:00:00Z,13025,3467,56363,28492,101346,NA,NA,NA
2017-04-01T00:00:00Z,12878,3553,60473,25677,102581,NA,NA,NA
2017-05-01T00:00:00Z,12929,3707,61892,26253,104780,NA,NA,NA
2017-06-01T00:00:00Z,13141,4511,66917,26565,111134,NA,NA,NA
2017-07-01T00:00:00Z,13343,4226,67928,29509,115006,NA,NA,NA
2017-08-01T00:00:00Z,13286,3387,67296,27870,111840,NA,NA,NA
2017-09-01T00:00:00Z,13346,3376,66905,30376,114003,NA,NA,NA
2017-10-01T00:00:00Z,13472,3392,70129,27611,114604,NA,NA,NA
2017-11-01T00:00:00Z,13069,3567,69971,26803,113410,NA,NA,NA
2017-12-01T00:00:00Z,12936,3866,69874,26696,113373,NA,NA,NA
2018-01-01T00:00:00Z,12809,4019,65542,30040,112409,NA,NA,NA
2017-02-01T00:00:00Z,13343.4312389286,3955.95456535714,61950.9354125,27388.4811278571,106638.802344643,NA,NA,NA
2017-03-01T00:00:00Z,13024.7889793548,3466.55043096774,56362.7976225806,28491.6384035484,101345.775436452,NA,NA,NA
2017-04-01T00:00:00Z,12877.7164063333,3553.20519233333,60472.893688,25677.2199823333,102581.035269,NA,NA,NA
2017-05-01T00:00:00Z,12928.9493016129,3707.15524645161,61891.6095296774,26252.7214029032,104780.435480645,NA,NA,NA
2017-06-01T00:00:00Z,13140.5406073333,4511.20017166667,66917.3622846667,26564.8428516667,111133.945915333,NA,NA,NA
2017-07-01T00:00:00Z,13343.2124890323,4226.0446983871,67927.6394393548,29509.1134696774,115006.010096452,NA,NA,NA
2017-08-01T00:00:00Z,13286.4317732258,3387.47376419355,67296.4762570968,27869.6663383871,111840.048132903,NA,NA,NA
2017-09-01T00:00:00Z,13345.7114683333,3375.51585033333,66905.0386893333,30376.342515,114002.608523,NA,NA,NA
2017-10-01T00:00:00Z,13472.0384245161,3392.36818548387,70128.7066745161,27610.9147822581,114604.028066774,NA,NA,NA
2017-11-01T00:00:00Z,13068.6799293333,3566.87561866667,69971.380927,26802.92828,113409.864755,NA,NA,NA
2017-12-01T00:00:00Z,12936.2502793548,3865.64167193548,69874.3303719355,26696.4672090323,113372.689532258,NA,NA,NA
2018-01-01T00:00:00Z,12808.8200590323,4018.5189083871,65541.6620493548,30039.9208503226,112408.921867097,NA,NA,NA
2018-02-01T00:00:00Z,12846.8078289286,3598.21034392857,60473.2899635714,32894.4890225,109812.797158929,NA,NA,NA
2017-03-01T00:00:00Z,13024.7889793548,3466.55043096774,56362.7976225806,28491.6384035484,101345.775436452,NA,NA,NA
2017-04-01T00:00:00Z,12877.7164063333,3553.20519233333,60472.893688,25677.2199823333,102581.035269,NA,NA,NA
2017-05-01T00:00:00Z,12928.9493016129,3707.15524645161,61891.6095296774,26252.7214029032,104780.435480645,NA,NA,NA
2017-06-01T00:00:00Z,13140.5406073333,4511.20017166667,66917.3622846667,26564.8428516667,111133.945915333,NA,NA,NA
2017-07-01T00:00:00Z,13343.2124890323,4226.0446983871,67927.6394393548,29509.1134696774,115006.010096452,NA,NA,NA
2017-08-01T00:00:00Z,13286.4317732258,3387.47376419355,67296.4762570968,27869.6663383871,111840.048132903,NA,NA,NA
2017-09-01T00:00:00Z,13345.7114683333,3375.51585033333,66905.0386893333,30376.342515,114002.608523,NA,NA,NA
2017-10-01T00:00:00Z,13472.0384245161,3392.36818548387,70128.7066745161,27610.9147822581,114604.028066774,NA,NA,NA
2017-11-01T00:00:00Z,13068.6799293333,3566.87561866667,69971.380927,26802.92828,113409.864755,NA,NA,NA
2017-12-01T00:00:00Z,12936.2502793548,3865.64167193548,69874.3303719355,26696.4672090323,113372.689532258,NA,NA,NA
2018-01-01T00:00:00Z,12808.8200590323,4018.5189083871,65541.6620493548,30039.9208503226,112408.921867097,NA,NA,NA
2018-02-01T00:00:00Z,12846.8078289286,3598.21034392857,60473.2899635714,32894.4890225,109812.797158929,NA,NA,NA
2018-03-01T00:00:00Z,13024.5255080645,3323.26540419355,57190.0922890323,33434.3163287097,106972.19953,NA,NA,NA
2017-04-01T00:00:00Z,12877.7164063333,3553.20519233333,60472.893688,25677.2199823333,102581.035269,NA,NA,NA
2017-05-01T00:00:00Z,12928.9493016129,3707.15524645161,61891.6095296774,26252.7214029032,104780.435480645,NA,NA,NA
2017-06-01T00:00:00Z,13140.5406073333,4511.20017166667,66917.3622846667,26564.8428516667,111133.945915333,NA,NA,NA
2017-07-01T00:00:00Z,13343.2124890323,4226.0446983871,67927.6394393548,29509.1134696774,115006.010096452,NA,NA,NA
2017-08-01T00:00:00Z,13286.4317732258,3387.47376419355,67296.4762570968,27869.6663383871,111840.048132903,NA,NA,NA
2017-09-01T00:00:00Z,13345.7114683333,3375.51585033333,66905.0386893333,30376.342515,114002.608523,NA,NA,NA
2017-10-01T00:00:00Z,13472.0384245161,3392.36818548387,70128.7066745161,27610.9147822581,114604.028066774,NA,NA,NA
2017-11-01T00:00:00Z,13068.6799293333,3566.87561866667,69971.380927,26802.92828,113409.864755,NA,NA,NA
2017-12-01T00:00:00Z,12936.2502793548,3865.64167193548,69874.3303719355,26696.4672090323,113372.689532258,NA,NA,NA
2018-01-01T00:00:00Z,12808.8200590323,4018.5189083871,65541.6620493548,30039.9208503226,112408.921867097,NA,NA,NA
2018-02-01T00:00:00Z,12846.8078289286,3598.21034392857,60473.2899635714,32894.4890225,109812.797158929,NA,NA,NA
2018-03-01T00:00:00Z,13024.5255080645,3323.26540419355,57190.0922890323,33434.3163287097,106972.19953,NA,NA,NA
2018-04-01T00:00:00Z,12990.1276936667,3423.55782466667,59678.805324,32654.8855903333,108747.376432667,NA,NA,NA
2017-05-01T00:00:00Z,12928.9493016129,3707.15524645161,61891.6095296774,26252.7214029032,104780.435480645,NA,NA,NA
2017-06-01T00:00:00Z,13140.5406073333,4511.20017166667,66917.3622846667,26564.8428516667,111133.945915333,NA,NA,NA
2017-07-01T00:00:00Z,13343.2124890323,4226.0446983871,67927.6394393548,29509.1134696774,115006.010096452,NA,NA,NA
2017-08-01T00:00:00Z,13286.4317732258,3387.47376419355,67296.4762570968,27869.6663383871,111840.048132903,NA,NA,NA
2017-09-01T00:00:00Z,13345.7114683333,3375.51585033333,66905.0386893333,30376.342515,114002.608523,NA,NA,NA
2017-10-01T00:00:00Z,13472.0384245161,3392.36818548387,70128.7066745161,27610.9147822581,114604.028066774,NA,NA,NA
2017-11-01T00:00:00Z,13068.6799293333,3566.87561866667,69971.380927,26802.92828,113409.864755,NA,NA,NA
2017-12-01T00:00:00Z,12936.2502793548,3865.64167193548,69874.3303719355,26696.4672090323,113372.689532258,NA,NA,NA
2018-01-01T00:00:00Z,12808.8200590323,4018.5189083871,65541.6620493548,30039.9208503226,112408.921867097,NA,NA,NA
2018-02-01T00:00:00Z,12846.8078289286,3598.21034392857,60473.2899635714,32894.4890225,109812.797158929,NA,NA,NA
2018-03-01T00:00:00Z,13024.5255080645,3323.26540419355,57190.0922890323,33434.3163287097,106972.19953,NA,NA,NA
2018-04-01T00:00:00Z,12990.1276936667,3423.55782466667,59678.805324,32654.8855903333,108747.376432667,NA,NA,NA
2018-05-01T00:00:00Z,13121.5443809677,4126.07770709677,58453.4604296774,36191.3069606452,111892.389478387,NA,NA,NA
2017-06-01T00:00:00Z,13140.5406073333,4511.20017166667,66917.3622846667,26564.8428516667,111133.945915333,NA,NA,NA
2017-07-01T00:00:00Z,13343.2124890323,4226.0446983871,67927.6394393548,29509.1134696774,115006.010096452,NA,NA,NA
2017-08-01T00:00:00Z,13286.4317732258,3387.47376419355,67296.4762570968,27869.6663383871,111840.048132903,NA,NA,NA
2017-09-01T00:00:00Z,13345.7114683333,3375.51585033333,66905.0386893333,30376.342515,114002.608523,NA,NA,NA
2017-10-01T00:00:00Z,13472.0384245161,3392.36818548387,70128.7066745161,27610.9147822581,114604.028066774,NA,NA,NA
2017-11-01T00:00:00Z,13068.6799293333,3566.87561866667,69971.380927,26802.92828,113409.864755,NA,NA,NA
2017-12-01T00:00:00Z,12936.2502793548,3865.64167193548,69874.3303719355,26696.4672090323,113372.689532258,NA,NA,NA
2018-01-01T00:00:00Z,12808.8200590323,4018.5189083871,65541.6620493548,30039.9208503226,112408.921867097,NA,NA,NA
2018-02-01T00:00:00Z,12846.8078289286,3598.21034392857,60473.2899635714,32894.4890225,109812.797158929,NA,NA,NA
2018-03-01T00:00:00Z,13024.5255080645,3323.26540419355,57190.0922890323,33434.3163287097,106972.19953,NA,NA,NA
2018-04-01T00:00:00Z,12990.1276936667,3423.55782466667,59678.805324,32654.8855903333,108747.376432667,NA,NA,NA
2018-05-01T00:00:00Z,13121.5443809677,4126.07770709677,58453.4604296774,36191.3069606452,111892.389478387,NA,NA,NA
2018-06-01T00:00:00Z,12905.7887183333,4155.365976,63440.8616853333,34424.1490876667,114926.165467333,NA,NA,NA
2017-07-01T00:00:00Z,13343.2124890323,4226.0446983871,67927.6394393548,29509.1134696774,115006.010096452,NA,NA,NA
2017-08-01T00:00:00Z,13286.4317732258,3387.47376419355,67296.4762570968,27869.6663383871,111840.048132903,NA,NA,NA
2017-09-01T00:00:00Z,13345.7114683333,3375.51585033333,66905.0386893333,30376.342515,114002.608523,NA,NA,NA
2017-10-01T00:00:00Z,13472.0384245161,3392.36818548387,70128.7066745161,27610.9147822581,114604.028066774,NA,NA,NA
2017-11-01T00:00:00Z,13068.6799293333,3566.87561866667,69971.380927,26802.92828,113409.864755,NA,NA,NA
2017-12-01T00:00:00Z,12936.2502793548,3865.64167193548,69874.3303719355,26696.4672090323,113372.689532258,NA,NA,NA
