Produto,Período,Valor
Petróleo,2016-10-01,2623.87784158846
Petróleo,2016-11-01,2608.52501802687
Petróleo,2016-12-01,2729.8419304609
Petróleo,2017-01-01,2686.56118817752
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Gás Natural,2016-10-01,682.4012576516591
Gás Natural,2016-11-01,698.8812289466961
Gás Natural,2016-12-01,703.0263758461329
Gás Natural,2017-01-01,691.4998657384446
Gás Natural,2017-02-01,670.7378053484009
Gás Natural,2017-03-01,637.4456717715707
Gás Natural,2017-04-01,645.2153866303937
Gás Natural,2017-05-01,659.0491615298695
Gás Natural,2017-06-01,699.0114528165177
Gás Natural,2017-07-01,723.3659523607016
Gás Natural,2017-08-01,703.4526531265237
Gás Natural,2017-09-01,717.0784823536462
Gás Natural,2017-10-01,720.83783525561455
Produção Total,2016-10-01,3306.2790992401187
Produção Total,2016-11-01,3307.406246973566
Produção Total,2016-12-01,3432.868306307033
Produção Total,2017-01-01,3378.0610539159643
Produção Total,2017-02-01,3346.238255747051
Produção Total,2017-03-01,3187.4124627348106
Produção Total,2017-04-01,3184.1869675885237
Produção Total,2017-05-01,3312.323512254269
Produção Total,2017-06-01,3373.7809645729776
Produção Total,2017-07-01,3346.229183304162
Produção Total,2017-08-01,3279.5163861783535
Produção Total,2017-09-01,3369.669802049576
Produção Total,2017-10-01,3348.265136101005
Petróleo,2016-11-01,2608.52501802687
Petróleo,2016-12-01,2729.8419304609
Petróleo,2017-01-01,2686.56118817752
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Petróleo,2017-11-01,2594.64334226153
Gás Natural,2016-11-01,698.8812289466961
Gás Natural,2016-12-01,703.0263758461329
Gás Natural,2017-01-01,691.4998657384446
Gás Natural,2017-02-01,670.7378053484009
Gás Natural,2017-03-01,637.4456717715707
Gás Natural,2017-04-01,645.2153866303937
Gás Natural,2017-05-01,659.0491615298695
Gás Natural,2017-06-01,699.0114528165177
Gás Natural,2017-07-01,723.3659523607016
Gás Natural,2017-08-01,703.4526531265237
Gás Natural,2017-09-01,717.0784823536462
Gás Natural,2017-10-01,720.83783525561455
Gás Natural,2017-11-01,713.3278639374842
Produção Total,2016-11-01,3307.406246973566
Produção Total,2016-12-01,3432.868306307033
Produção Total,2017-01-01,3378.0610539159643
Produção Total,2017-02-01,3346.238255747051
Produção Total,2017-03-01,3187.4124627348106
Produção Total,2017-04-01,3184.1869675885237
Produção Total,2017-05-01,3312.323512254269
Produção Total,2017-06-01,3373.7809645729776
Produção Total,2017-07-01,3346.229183304162
Produção Total,2017-08-01,3279.5163861783535
Produção Total,2017-09-01,3369.669802049576
Produção Total,2017-10-01,3348.265136101005
Produção Total,2017-11-01,3307.971206199014
Petróleo,2016-12-01,2729.8419304609
Petróleo,2017-01-01,2686.56118817752
Petróleo,2017-02-01,2675.50045039865
Petróleo,2017-03-01,2549.96679096324
Petróleo,2017-04-01,2538.97158095813
Petróleo,2017-05-01,2653.2743507244
Petróleo,2017-06-01,2674.76951175646
Petróleo,2017-07-01,2622.86323094346
Petróleo,2017-08-01,2576.06373305183
Petróleo,2017-09-01,2652.59131969593
Petróleo,2017-10-01,2627.42730084539
Petróleo,2017-11-01,2594.64334226153
Petróleo,2017-12-01,2612.37199498168
Gás Natural,2016-12-01,703.0263758461329
Gás Natural,2017-01-01,691.4998657384446
Gás Natural,2017-02-01,670.7378053484009
Gás Natural,2017-03-01,637.4456717715707
Gás Natural,2017-04-01,645.2153866303937
Gás Natural,2017-05-01,659.0491615298695
Gás Natural,2017-06-01,699.0114528165177
Gás Natural,2017-07-01,723.3659523607016
Gás Natural,2017-08-01,703.4526531265237
Gás Natural,2017-09-01,717.0784823536462
Gás Natural,2017-10-01,720.83783525561455
Gás Natural,2017-11-01,713.3278639374842
Gás Natural,2017-12-01,713.0927105431672
Produção Total,2016-12-01,3432.868306307033
Produção Total,2017-01-01,3378.0610539159643
Produção Total,2017-02-01,3346.238255747051
Produção Total,2017-03-01,3187.4124627348106
Produção Total,2017-04-01,3184.1869675885237
Produção Total,2017-05-01,3312.323512254269
Produção Total,2017-06-01,3373.7809645729776
Produção Total,2017-07-01,3346.229183304162
