Estado,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),Nº Campos produtores,mes
Rio De Janeiro,1845069.6361435913,54294.62465806454,2186572.5092641325,44,2017-10-01
Espírito Santo,355941.215930301,10091.3053322581,419413.609122191,49,2017-10-01
São Paulo,297058.630423151,18206.3109158065,411572.8668845,5,2017-10-01
Amazonas,19974.3872993226,12480.1130332258,98471.9270568366,7,2017-10-01
Bahia,32632.8777509525,7407.93398677419,79227.3750203047,80,2017-10-01
Rio Grande Do Norte,45365.0487514028,1037.45501483871,51890.4436782855,78,2017-10-01
Maranhão,54.5780509254033,7553.80942645161,47566.604119515,3,2017-10-01
Sergipe,22646.6779399665,2347.28986612903,37410.6852128435,21,2017-10-01
Alagoas,3372.13534675117,1110.64294677419,10357.868459801,12,2017-10-01
Ceará,5312.11320902484,74.5863664516129,5781.24728259586,6,2017-10-01
Total Geral,2627427.30084539,114604.071546774,3348265.136101,305,2017-10-01
Rio de Janeiro,1831275.76219168,53988.1898223334,2170851.21841809,41,2017-11-01
Espírito Santo,356480.232674179,9966.05004966667,419164.793937073,49,2017-11-01
São Paulo,281165.57077579,17588.3165353333,391792.740002895,5,2017-11-01
Amazonas,18765.4258950467,11954.962053,93959.8657656266,7,2017-11-01
Bahia,31817.0908898451,7710.20084333333,80312.7892562516,83,2017-11-01
Rio Grande do Norte,43821.8710165489,1038.32700666667,50352.7506063509,78,2017-11-01
Maranhão,58.3685352605667,7541.83731433333,47495.0922933275,4,2017-11-01
Sergipe,22511.8171877922,2430.545526,37799.4867426822,21,2017-11-01
Alagoas,3195.48007489556,1113.10579333333,10196.7040248615,12,2017-11-01
Ceará,5551.72302049533,78.5464316666666,6045.76515185665,6,2017-11-01
Total Geral,2594643.34226153,113410.081375667,3307971.20619901,306,2017-11-01
Rio de Janeiro,1764854.20727957,51655.1329848387,2089755.17927894,41,2017-12-01
São Paulo,348033.032099661,19662.3549967742,471705.509181922,6,2017-12-01
Espírito Santo,375642.813524711,10253.241036129,440133.751526166,51,2017-12-01
Amazonas,19028.6798733161,11698.0794274194,92607.3768366927,7,2017-12-01
Bahia,31323.920864785,8080.48420967742,82148.6312516562,82,2017-12-01
Rio Grande do Norte,43152.3925361721,1002.319777419354,49456.793495382095,77,2017-12-01
Maranhão,70.5353577355614,7616.5881416129,47977.4276167338,5,2017-12-01
Sergipe,22315.530310635,2491.54221483871,37986.8574489496,20,2017-12-01
Alagoas,2832.04949755905,825.702072903226,8025.55865272649,11,2017-12-01
Ceará,5118.83363753484,87.2501074193548,5667.62023568217,6,2017-12-01
Total Geral,2612371.99498168,113372.694969032,3325464.70552485,306,2017-12-01
Rio de Janeiro,1805382.95688273,54119.4839187097,2145784.22802947,37,2018-01-01
São Paulo,340246.448283149,19529.1727958065,463081.23462594,6,2018-01-01
Espírito Santo,345584.345929142,9875.58445483871,407699.895789032,50,2018-01-01
Amazonas,19429.5964206581,11529.6208977419,91948.7212394843,7,2018-01-01
Bahia,31474.4597225529,6606.97340903226,73031.067140418,83,2018-01-01
Rio Grande do Norte,43114.3652275144,970.510136774193,49218.6895908981,78,2018-01-01
Maranhão,50.0288626550935,6133.61023451613,38629.271851817,5,2018-01-01
Sergipe,22163.8025002277,2486.95765774193,37806.2936454695,21,2018-01-01
Alagoas,2820.65591253825,1096.55268516129,9717.76395719258,12,2018-01-01
Ceará,4926.78179637742,71.5847064516129,5377.03599886384,6,2018-01-01
Total Geral,2615193.44153754,112420.050896774,3322294.20186858,305,2018-01-01
Rio de Janeiro,1805601.00808395,54908.9950589286,2150968.15429555,35,2018-02-01
São Paulo,344159.987534865,19896.9245217857,469307.862361238,6,2018-02-01
Espírito Santo,343890.059121187,9317.53857642857,402495.606434593,50,2018-02-01
Amazonas,21716.4248884321,13952.96964,109477.952859801,7,2018-02-01
Bahia,30779.465369659272,6995.344853571428,74778.85538310133,85,2018-02-01
Rio Grande do Norte,41916.8654074339,1002.19592321429,48220.4873472263,79,2018-02-01
Sergipe,21308.4766535079,2294.67671142857,35741.5571798185,21,2018-02-01
Alagoas,3003.69233416928,1182.69312785714,10442.6073966964,12,2018-02-01
Ceará,4967.98194316822,84.9391392857143,5502.2329908389,6,2018-02-01
Maranhão,1.34064155245,176.519603928571,1111.61541153842,2,2018-02-01
Total Geral,2617345.301977925,109812.79715642858,3308046.9316604016,303,2018-02-01
Rio De Janeiro,1766948.98641921,54635.5344935484,2110596.11763208,35,2018-03-01
São Paulo,326940.608754158,18799.55785,445186.255714667,6,2018-03-01
Espírito Santo,344313.973967637,8603.79929903225,398430.236836683,45,2018-03-01
Amazonas,20613.2067795452,13779.3638554839,107282.787351406,7,2018-03-01
Bahia,29744.842056037,6911.70459129032,73218.1507113808,89,2018-03-01
Rio Grande Do Norte,41480.1181645341,995.048881290322,47738.7865685628,80,2018-03-01
Sergipe,19523.1343886305,2086.10446548387,32644.3351166756,20,2018-03-01
Alagoas,2584.46575173178,1069.96293870968,9314.32934325729,12,2018-03-01
Ceará,5150.24048493871,84.0715493548387,5679.03455678627,6,2018-03-01
Maranhão,0,7.05160322580645,44.3532444857097,1,2018-03-01
Total Geral,2557299.576766422,106972.19952741939,3230134.387075985,301,2018-03-01
Rio de Janeiro,1837591.99305854,57507.0876963333,2199300.64832181,39,2018-04-01
Espírito Santo,363975.423311332,9185.842875,421752.629684936,46,2018-04-01
São Paulo,277654.607220203,16986.8017093333,384498.362479585,6,2018-04-01
Amazonas,21000.1660356,14191.9677463333,110264.946686165,7,2018-04-01
Bahia,29365.0891805735,6537.42437333333,70484.2463782092,82,2018-04-01
Rio Grande do Norte,41268.3181129107,1026.60547166667,47725.4714746544,79,2018-04-01
Sergipe,17664.899703227,1620.144404,27855.3001769503,21,2018-04-01
Alagoas,2676.64857581129,1047.50562966667,9265.25996034499,12,2018-04-01
Ceará,5527.09778536434,90.8145403333333,6098.30398929834,6,2018-04-01
Maranhão,3.54771072221,553.182717333334,3482.96189803259,4,2018-04-01
