Operador,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),mes
Petrobras,2467811.2629755,105902.650339032,3133918.81210444,2017-10-01
Statoil Brasil O&G,65296.779912629,112.28,66002.999779429,2017-10-01
Shell Brasil,58835.4556422714,607.832747419355,62658.6081353172,2017-10-01
Parnaíba Gás Natural,54.5780509254032,7553.80942645161,47566.604119515,2017-10-01
Chevron Frade,18018.0737819355,297.263336774194,19887.8036902112,2017-10-01
PetroRio O&G,7465.34546022968,23.2980316129032,7611.88565244883,2017-10-01
Dommo Energia,5225.13590853171,14.9474093548387,5319.15227336586,2017-10-01
SHB,1446.5797672151,13.1471306451613,1529.27272101834,2017-10-01
Maha Energy,1280.63832532867,35.3448512903226,1502.95072442306,2017-10-01
Petrosynergy,458.882026167113,11.0064635483871,528.110590658394,2017-10-01
Nova Petróleo Rec,453.626321800242,5.24734838709677,486.631146158887,2017-10-01
Partex Brasil,340.708862845161,0.487515483870968,343.775242610768,2017-10-01
UP Petróleo,185.322152280584,1.95635483870968,197.627252508648,2017-10-01
Petrogal Brasil,164.673631261345,2.25480322580645,178.85591513905501,2017-10-01
Imetame,103.191840242581,2.48083935483871,118.795848425039,2017-10-01
Recôncavo E&P,101.712314612903,1.39173193548387,110.466044058029,2017-10-01
Phoenix,12.0504643716129,14.9491274193548,106.077635505145,2017-10-01
Santana,46.6573439166774,2.07993870967742,59.7397632121935,2017-10-01
IPI,28.1093637870968,0.911677741935484,33.8436435651,2017-10-01
Alvopetro,22.9287516357419,0.287196129032258,24.7351607200903,2017-10-01
Perícia,23.9804078677419,0.0762516129032258,24.4600160250968,2017-10-01
Vipetro,17.8923120744419,0.0429687096774194,18.1625770942581,2017-10-01
Guto & Cacal,13.7799592245161,0.0434832258064516,14.0534604530258,2017-10-01
EPG Brasil,12.0439716645161,0.276724193548387,13.7845142643387,2017-10-01
Central Resources,5.01764520322581,0.00387096774193548,5.04199285483871,2017-10-01
Petroil,1.62908107970968,0,1.62908107970968,2017-10-01
Leros,1.2445707916129,0.00197870967741935,1.25701649952903,2017-10-01
NA,2627427.30084539,114604.071546774,3348265.136101,2017-10-01
Petrobras,2441124.86283582,104768.361884667,3100097.95310162,2017-11-01
Shell Brasil,59611.8993579475,608.911725666667,63441.8384191629,2017-11-01
Statoil Brasil O&G,58128.9752670967,101.221333333333,58765.63822171,2017-11-01
Parnaíba Gás Natural,58.3685352605667,7541.83731433333,47495.0922933275,2017-11-01
Chevron Frade,17789.5996124067,256.224925,19401.2057079209,2017-11-01
PetroRio O&G,7742.45377979933,22.200702,7882.09197724595,2017-11-01
Dommo Energia,5524.78671418622,15.8245226666667,5624.31995510025,2017-11-01
SHB,1427.23677160381,13.0489576666667,1509.31223602519,2017-11-01
Maha Energy,1261.93318056687,36.9443213333333,1494.30594233249,2017-11-01
Petrosynergy,490.583723361487,8.589902,544.612574860107,2017-11-01
Nova Petróleo Rec,371.554941697423,6.05456566666667,409.63700937328,2017-11-01
Partex Brasil,327.42234936,0.468504,330.36915050424,2017-11-01
UP Petróleo,196.642521140063,2.64183333333333,213.259150858397,2017-11-01
Petrogal Brasil,189.60936042823,3.422679,211.13736102922,2017-11-01
Imetame,135.480620457,3.90153466666667,160.020532218747,2017-11-01
Phoenix,10.581976344,16.142939,112.11799549559,2017-11-01
Recôncavo E&P,93.9492146873333,1.21543233333333,101.594053131857,2017-11-01
Santana,41.3619582882667,1.59379,51.3865945681667,2017-11-01
IPI,23.6412991866667,0.787746,28.5960718549267,2017-11-01
Vipetro,26.1480442572733,0.0629333333333333,26.5438829666067,2017-11-01
Perícia,19.9596637333333,0.0634666666666667,20.358857008,2017-11-01
Alvopetro,18.361842333,0.226333666666667,19.7854380929367,2017-11-01
EPG Brasil,12.12675368,0.30422,14.0402396782,2017-11-01
Guto & Cacal,7.02110524266667,0.0221993333333333,7.16073483146,2017-11-01
