Concessionário,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),mes
Petrobras,2138686.64626864,98144.2559067742,2755995.36851363,2022-03-01
Shell Brasil,362615.58598094,16359.6098916129,465514.423873306,2022-03-01
Petrogal Brasil,107284.514851781,4781.76344032258,137360.898356356,2022-03-01
Repsol Sinopec,68282.3436504026,3267.30921064516,88833.0977966106,2022-03-01
TotalEnergies EP,64789.6695427885,2596.7324216129,81122.6230955735,2022-03-01
Petronas,43307.172085290404,480.775981290323,46331.1616601701,2022-03-01
Equinor Energy,32835.6472376266,925.58038516129,38657.3720000179,2022-03-01
CNODC Brasil,25504.8350266717,1153.26555451613,32758.6562441228,2022-03-01
CNOOC Petroleum,25504.8350266717,1153.26555451613,32758.6562441228,2022-03-01
Enauta Energia,12324.8804935665,1377.40823935484,20988.516611543,2022-03-01
Petro Rio O&G,16248.4328633836,84.3685235483871,16779.0948464835,2022-03-01
Petro Rio Jaguar,12721.8776026181,160.35708483871,13730.4931984075,2022-03-01
Potiguar E&P S.A.,8072.7889678996,523.835615483871,11367.6154605262,2022-03-01
Karoon Brasil,9307.68036887453,62.3414680645161,9699.79635812141,2022-03-01
Trident Energy,8034.48778062486,102.448969354839,8678.87233256262,2022-03-01
ONGC Campos,7407.81954984878,74.8800741935484,7878.8009893121,2022-03-01
3R Macau,6459.7411535862,157.946027096774,7453.19165427976,2022-03-01
QPI Brasil,6310.36480285024,63.7867303225806,6711.57121710051,2022-03-01
Origem Alagoas,2821.05003609079,565.221780967742,6376.1876462395,2022-03-01
Perenco Brasil,4901.82420159911,37.5209774193548,5137.82402058114,2022-03-01
SPE Miranga,1194.99040458464,526.094662580645,4504.025874231,2022-03-01
Maha Energy,3165.28904465359,125.393150322581,3953.98813548406,2022-03-01
PetroRecôncavo,3154.65510230517,107.824561935484,3832.85111021259,2022-03-01
PetroRio,2842.12738823994,35.8245280645161,3067.45686310542,2022-03-01
Eneva,154.188834510816,379.943111935484,2543.95881939374,2022-03-01
Dommo Energia,2282.60939423963,12.7974932258065,2363.10319510624,2022-03-01
Alvopetro,58.6268746653581,290.21957483871,1884.05285868162,2022-03-01
Brasoil Manati,25.5789732240968,289.271565483871,1845.0421585202,2022-03-01
Geopark Brasil,25.5789732240968,289.271565483871,1845.0421585202,2022-03-01
3R Rio Ventura S.A,976.471172801358,19.8932061290323,1101.59565964381,2022-03-01
