Concessionário	Petróleo	Gás Natural	Produção Total

PETROBRAS	2.200.331,52	99.201,94	2.824.292,87
SHELL BRASIL	356.032,44	16.642,14	460.708,32
TOTALENERGIES EP	140.450,92	6.189,38	179.380,96
PETROGAL BRASIL	94.100,00	4.307,55	121.193,65
CNOOC PETROLEUM	73.602,64	3.648,92	96.553,64
CNODC BRASIL	48.770,06	2.604,01	65.148,80
EQUINOR BRASIL	62.961,46	147,65	63.890,14
PETRO RIO JAGUAR	58.400,38	765,00	63.212,11
PETRONAS	51.156,17	1.095,82	58.048,68
REPSOL SINOPEC	43.894,70	1.928,74	56.026,12
SINOCHEM PETRÓLEO	41.974,30	98,43	42.593,42
QATARENERGY	27.690,17	825,39	32.881,74
TRIDENT ENERGY	27.312,55	500,43	30.460,17
EQUINOR ENERGY	25.832,43	488,95	28.907,84
ENAUTA ENERGIA	20.642,69	1.010,14	26.996,31
KAROON BRASIL	24.720,81	199,95	25.978,48
PRIO BRAVO	21.245,04	121,63	22.010,09
PERENCO BRASIL	17.409,01	69,57	17.846,59
3R POTIGUAR	16.599,50	51,09	16.920,87
POTIGUAR E&P S.A.	9.239,54	744,59	13.922,87
ENEVA	275,78	1.946,51	12.518,98
3R PETROLEUM OFF	8.547,22	567,09	12.114,09
ORIGEM ALAGOAS	2.674,27	1.279,00	10.718,91
BW MAROMBA	9.572,38	131,64	10.400,34
CARMO	8.531,76	50,59	8.849,99
ONGC CAMPOS	8.166,88	82,95	8.688,62
3R MACAU	6.019,79	227,33	7.449,62
SPE MIRANGA	1.819,03	845,63	7.137,90
SEACREST NORTE CAP	6.317,81	54,09	6.658,04
NOVA TÉCNICA	5.058,90	27,60	5.232,49
3R BAHIA	2.014,17	510,01	5.222,02
3R RIO VENTURA	1.867,62	349,49	4.065,85
PETRORECÔNCAVO	2.385,40	83,86	2.912,86
SPE TIÊTA	1.749,89	68,97	2.183,71
SEACREST SPE CRICARÉ	1.566,98	89,10	2.127,43
PRIO	1.964,95	4,77	1.994,94
GAS BRIDGE	20,82	193,66	1.238,88
GEOPARK BRASIL	20,82	193,66	1.238,88
ALVOPETRO	40,87	182,12	1.186,36
