Bacia,Consumo Interno,Queima,Disponível,Injeção,Produção,mes,Injeção descontando CO2,Produção descontando CO2
Santos,3797,1788,30165,21694,57444,2018-01-01,NA,NA
Campos,7412,1771,14010,289,23483,2018-01-01,NA,NA
Solimões,371,201,5141,5818,11530,2018-01-01,NA,NA
Parnaíba,28,5,6100,0,6134,2018-01-01,NA,NA
Camamu,80,3,4357,0,4441,2018-01-01,NA,NA
Espírito Santo,437,46,2113,0,2597,2018-01-01,NA,NA
Sergipe,193,59,607,1617,2476,2018-01-01,NA,NA
Recôncavo,116,66,1328,622,2132,2018-01-01,NA,NA
Alagoas,3,22,1072,0,1097,2018-01-01,NA,NA
Potiguar,371,50,550,0,971,2018-01-01,NA,NA
Ceará,0,6,64,0,71,2018-01-01,NA,NA
Tucano Sul,0,1,33,0,34,2018-01-01,NA,NA
Total Geral,12809,4019,65542,30040,112409,2018-01-01,NA,NA
Santos,4043.98898571429,1678.88264857143,30988.6054139286,22522.1760021429,59233.6530503571,2018-02-01,NA,NA
Campos,7152.5699575,1493.4864725,13921.2753414286,397.78325,22965.1150214286,2018-02-01,NA,NA
Solimões,459.897570357143,170.385070357143,5472.62757071429,7850.05942857143,13952.96964,2018-02-01,NA,NA
Camamu,85.4711785714286,2.74083357142857,4685.53859607143,0,4773.75060821429,2018-02-01,NA,NA
Sergipe,188.251399642857,66.3873267857143,537.737558214286,1502.30042678571,2294.67671142857,2018-02-01,NA,NA
Recôncavo,130.891031428571,60.9346717857143,1371.09135607143,622.163629285714,2185.08068857143,2018-02-01,NA,NA
Espírito Santo,403.970237857143,34.3684314285714,1486.35141857143,0,1924.69008785714,2018-02-01,NA,NA
Alagoas,3.02591892857143,15.5001032142857,1164.16082,0.00628571428571429,1182.69312785714,2018-02-01,NA,NA
Potiguar,375.265675357143,65.0990017857143,562.653707857143,0,1003.018385,2018-02-01,NA,NA
Parnaíba,3.46398071428571,5.41020678571429,167.645416428571,0,176.519603928571,2018-02-01,NA,NA
Ceará,0.0118928571428571,4.545535,79.5592496428571,0,84.1166775,2018-02-01,NA,NA
Tucano Sul,0,0.470042142857143,36.0435146428571,0,36.5135567857143,2018-02-01,NA,NA
Total Geral,12846.8078289285,3598.21034392857,60473.2899635715,32894.4890225,109812.797158929,2018-02-01,NA,NA
Santos,4006.78173741935,1439.79963387097,28813.4864629032,23660.9021812903,57920.9700154839,2018-03-01,NA,NA
Campos,7478.48896935484,1416.65341806452,13983.4481109677,170.681225806452,23049.2717241935,2018-03-01,NA,NA
Solimões,453.57093483871,213.103418709677,5466.48369548387,7646.20580645161,13779.3638554839,2018-03-01,NA,NA
Camamu,84.0212258064516,3.29932483870968,4644.03207580645,0,4731.35262645161,2018-03-01,NA,NA
Recôncavo,126.565815483871,64.3971403225806,1342.48133419355,618.707890967742,2152.15218096774,2018-03-01,NA,NA
Sergipe,168.575304193548,59.9851977419355,519.727481290323,1337.81648225806,2086.10446548387,2018-03-01,NA,NA
Alagoas,2.85043612903226,18.3817609677419,1048.72799967742,0.00274193548387097,1069.96293870968,2018-03-01,NA,NA
Espírito Santo,351.431982580645,37.5776509677419,679.640271935484,0,1068.64990548387,2018-03-01,NA,NA
Potiguar,350.400578064516,57.6120848387097,587.863239677419,0,995.875902580645,2018-03-01,NA,NA
Ceará,-1e-38,5.18812838709677,78.0563996774193,0,83.2445280645161,2018-03-01,NA,NA
Tucano Sul,0,0.398842258064516,27.8009416129032,0,28.1997838709677,2018-03-01,NA,NA
Parnaíba,1.83852419354839,6.86880322580645,0,0,7.05160322580645,2018-03-01,NA,NA
Total Geral,13024.5255080646,3323.26540419355,57190.0922890322,33434.3163287097,106972.19953,2018-03-01,NA,NA
Santos,4017.04048633333,1733.11878333333,30943.1714836667,22733.961571,59427.2923243333,2018-04-01,NA,NA
Campos,7445.491094,1275.711661,13989.612669,207.502466666667,22918.3178906667,2018-04-01,NA,NA
Solimões,464.808632333333,179.162165666667,5346.14018166667,8201.85676666667,14191.9677463333,2018-04-01,NA,NA
Camamu,83.4865666666667,3.09236766666667,4302.230245,0,4388.80917933333,2018-04-01,NA,NA
Recôncavo,127.501674666667,60.869918,1343.946482,588.047654,2120.36572866667,2018-04-01,NA,NA
Sergipe,134.571476,59.7283803333333,502.330349,923.513465333333,1620.14367066667,2018-04-01,NA,NA
Espírito Santo,379.505709666667,25.9534636666667,928.662895,0,1334.12206833333,2018-04-01,NA,NA
Alagoas,3.39355466666667,15.775647,1028.33276133333,0.00366666666666667,1047.50562966667,2018-04-01,NA,NA
Potiguar,331.577463333333,55.4616,640.423232333333,0,1027.46229566667,2018-04-01,NA,NA
Parnaíba,2.73676933333333,8.99151566666667,541.454432333333,0,553.182717333333,2018-04-01,NA,NA
Ceará,0.0142666666666667,5.21043266666667,84.733017,0,89.9577163333333,2018-04-01,NA,NA
Tucano Sul,0,0.481889666666667,27.7675756666667,0,28.2494653333333,2018-04-01,NA,NA
Total Geral,12990.1276936667,3423.55782466667,59678.805324,32654.8855903333,108747.376432667,2018-04-01,NA,NA
Santos,4169.72893774193,2274.84997677419,28471.7991983871,25392.0015567742,60308.3796696774,2018-05-01,NA,NA
Campos,7321.54768193548,1454.07880774193,13175.7395845161,263.908709677419,22215.274783871,2018-05-01,NA,NA
Solimões,496.428482580645,153.961386451613,5859.17757774194,8509.61674193548,15019.1841887097,2018-05-01,NA,NA
Camamu,96.3890967741935,2.72177580645161,5067.72007419355,0,5166.83094677419,2018-05-01,NA,NA
Espírito Santo,363.267032580645,27.9782848387097,2270.15876387097,0,2661.40408129032,2018-05-01,NA,NA
Sergipe,179.969281612903,64.0067387096774,438.83515516129,1451.07061096774,2133.88178645161,2018-05-01,NA,NA
Recôncavo,133.265791935484,65.9247896774194,1281.74614612903,574.709341290323,2055.64606903226,2018-05-01,NA,NA
Alagoas,3.01655451612903,11.8135980645161,1125.33717548387,0,1140.16732806452,2018-05-01,NA,NA
Potiguar,350.039190645161,58.0486777419355,577.698621612903,0,985.78649,2018-05-01,NA,NA
Ceará,2e-38,5.42790225806452,93.01172,0,98.4396222580645,2018-05-01,NA,NA
Parnaíba,7.89233064516129,6.92279161290323,64.1636964516129,0,78.9788187096774,2018-05-01,NA,NA
Tucano Sul,1e-38,0.342977419354839,28.0727161290323,0,28.4156935483871,2018-05-01,NA,NA
Total Geral,13121.5443809678,4126.07770709677,58453.4604296774,36191.3069606451,111892.389478387,2018-05-01,NA,NA
Santos,4127.32603333333,2272.59800133333,29001.313278,23568.2009686667,58969.4382813333,2018-06-01,NA,NA
Campos,7180.38877833333,1410.15734633333,12263.8129773333,314.037466666667,21168.3965686667,2018-06-01,NA,NA
Solimões,489.320632333333,217.570999666667,5576.45870466667,8410.62496666667,14693.9753033333,2018-06-01,NA,NA
Parnaíba,23.526114,5.93003266666667,5964.98454466667,0,5994.44069133333,2018-06-01,NA,NA
Camamu,95.683,3.00948066666667,4932.028716,0,5030.72119666667,2018-06-01,NA,NA
