Concessionário,Petróleo,Gás Natural,Produção Total
"",(bbl/d),(Mm3/d),(boe/d)
"",,,
PETROBRAS,"2.200.331,52","99.201,94","2.824.292,87"
SHELL BRASIL,"356.032,44","16.642,14","460.708,32"
TOTALENERGIES EP,"140.450,92","6.189,38","179.380,96"
PETROGAL BRASIL,"94.100,00","4.307,55","121.193,65"
CNOOC PETROLEUM,"73.602,64","3.648,92","96.553,64"
CNODC BRASIL,"48.770,06","2.604,01","65.148,80"
EQUINOR BRASIL,"62.961,46","147,65","63.890,14"
PETRO RIO JAGUAR,"58.400,38","765,00","63.212,11"
PETRONAS,"51.156,17","1.095,82","58.048,68"
REPSOL SINOPEC,"43.894,70","1.928,74","56.026,12"
SINOCHEM,"41.974,30","98,43","42.593,42"
PETRÓLEO,,,
QATARENERGY,"27.690,17","825,39","32.881,74"
TRIDENT ENERGY,"27.312,55","500,43","30.460,17"
EQUINOR ENERGY,"25.832,43","488,95","28.907,84"
ENAUTA ENERGIA,"20.642,69","1.010,14","26.996,31"
KAROON BRASIL,"24.720,81","199,95","25.978,48"
PRIO BRAVO,"21.245,04","121,63","22.010,09"
PERENCO BRASIL,"17.409,01","69,57","17.846,59"
3R POTIGUAR,"16.599,50","51,09","16.920,87"
POTIGUAR E&P S.A.,"9.239,54","744,59","13.922,87"
ENEVA,"275,78","1.946,51","12.518,98"
3R PETROLEUM OFF,"8.547,22","567,09","12.114,09"
ORIGEM ALAGOAS,"2.674,27","1.279,00","10.718,91"
BW MAROMBA,"9.572,38","131,64","10.400,34"
CARMO,"8.531,76","50,59","8.849,99"
ONGC CAMPOS,"8.166,88","82,95","8.688,62"
3R MACAU,"6.019,79","227,33","7.449,62"
SPE MIRANGA,"1.819,03","845,63","7.137,90"
SEACREST NORTE,"6.317,81","54,09","6.658,04"
CAP,,,
NOVA TÉCNICA,"5.058,90","27,60","5.232,49"
3R BAHIA,"2.014,17","510,01","5.222,02"
3R RIO VENTURA,"1.867,62","349,49","4.065,85"
PETRORECÔNCAVO,"2.385,40","83,86","2.912,86"
SPE TIÊTA,"1.749,89","68,97","2.183,71"
SEACREST SPE,"1.566,98","89,10","2.127,43"
CRICARÉ,,,
PRIO,"1.964,95","4,77","1.994,94"
GAS BRIDGE,"20,82","193,66","1.238,88"
GEOPARK BRASIL,"20,82","193,66","1.238,88"
ALVOPETRO,"40,87","182,12","1.186,36"
Concessionário,Petróleo,Gás Natural,Produção Total
"",(bbl/d),(Mm3/d),(boe/d)
"",,,
SHB,"765,49","28,50","944,77"
3R FAZENDA BELÉM,"789,42","1,02","795,81"
RECÔNCAVO,"0,54","88,20","555,29"
ENERGIA,,,
3R RNCE,"528,30","0,63","532,28"
PETROSYNERGY,"337,80","9,17","395,46"
3R PESCADA,"81,65","48,79","388,53"
CAPIXABA ENERGIA,"329,14","8,57","383,02"
ORIGEM,"3,38","57,64","365,93"
PETROM,"168,60","2,49","184,24"
MANDACARU,"176,49","0,09","177,09"
ENERGIA,,,
NÍON ENERGIA,"130,04","6,26","169,41"
PETROBORN,"0,00","26,72","168,03"
BARRA BONITA,"0,00","23,17","145,73"
IMETAME,"67,49","10,17","131,44"
RECÔNCAVO E&P,"94,93","1,44","104,00"
GEOPAR - GEOSOL,"96,50","0,51","99,70"
ENERGY PARANÃ,"0,04","14,91","93,84"
NOVA PETRÓLEO,"87,86","0,87","93,33"
IPI,"67,47","3,78","91,22"
SLIM DRILLING,"65,31","0,34","67,44"
BGM,"55,90","0,08","56,43"
ENERGIZZI,"32,84","0,85","38,16"
ENERGIAS,,,
CAMPO PETRÓLEO,"33,21","0,06","33,58"
PETRO-VICTORY,"26,02","0,26","27,66"
PHOENIX ÓLEO &,"22,09","0,06","22,50"
GÁS,,,
NTF,"13,63","0,35","15,80"
VIPETRO,"8,91","0,02","9,05"
GEOFLUX,"6,81","0,17","7,90"
NEWO,"6,81","0,17","7,90"
SONANGOL,"5,48","0,17","6,57"
GUANAMBI,,,
OIL GROUP,"5,80","0,04","6,03"
PETROIL,"5,80","0,04","6,03"
EPG BRASIL,"5,56","0,06","5,95"
GUTO & CACAL,"3,20","0,01","3,25"
NORD,"2,60","0,00","2,62"
TARMAR,"2,17","0,00","2,19"
BRASIL REFINARIAS,"1,33","0,00","1,35"
"","ConsumoInterno",Queima,Disponível,Injeção,"InjeçãodescontandoCO2","Produção","ProduçãodescontandoCO2"
Santos,9.836,3.890,31.436,69.138,49.442,114.033,90.083
Solimões,432,62,6.495,6.125,6.125,13.114,13.094
Campos,5.356,1.056,5.254,0,0,11.511,11.289
Recôncavo,117,68,2.066,375,374,2.612,2.592
Camamu,52,4,1.881,0,0,1.937,1.928
Parnaíba,8,10,1.273,0,0,1.291,1.291
Alagoas,26,17,1.266,0,0,1.286,1.279
Potiguar,233,74,1.051,0,0,1.199,1.194
Espírito Santo,381,52,519,0,0,812,803
Amazonas,2,22,632,0,0,656,656
Tucano Sul,2,0,103,0,0,106,106
Sergipe,10,30,1,14,14,56,56
Paraná,0,0,23,0,0,23,23
Barreirinhas,0,0,0,0,0,0,0
