Campo,Petróleo (bbl/d) Pré Sal,Petróleo (bbl/d) Pós Sal,Gás natural (Mm³/d) Pré Sal,Gás natural (Mm³/d) Pós Sal,Produção (boe/d) Pré Sal,Produção (boe/d) Pós Sal,mes
Tupi,905782.451781022,0,42950.0109893548,0,1175929.86040198,0,2022-03-01
Búzios,560495,0,22546,0,702309,0,2022-03-01
Sapinhoá,198247.967180638,0,9995.93933419355,0,261120.526364242,0,2022-03-01
Sépia,109230.329552228,0,3195.37913129032,0,129328.657166009,0,2022-03-01
Sururu,79320.5685846579,0,2758.30880645161,0,96669.8068985654,0,2022-03-01
Atapu,78539.5078796713,0,2672.13600290322,0,95346.7356320921,0,2022-03-01
Lapa,56079.1120529323,0,2436.87321645161,0,71406.5815785018,0,2022-03-01
Sul De Tupi,52663.711343175,0,2283.01234645161,0,67023.4252300099,0,2022-03-01
Jubarte,55056.3228024787,52687.4555747642,1765.60314548387,526.408682903226,66161.6311229746,55998.4661725757,2022-03-01
Mero,46322.5424535291,0,3091.88742806452,0,65769.9269174436,0,2022-03-01
Berbigão,36586.9266784647,0,475.101320322581,0,39575.2237140428,0,2022-03-01
Oeste De Atapu,16309.6500055742,0,554.900348387097,0,19799.8677658629,0,2022-03-01
Sul De Berbigão,17820.5932260568,0,225.986780967742,0,19242.0071408555,0,2022-03-01
Sépia Leste,14995.2722811508,0,438.665501935484,0,17754.3949418796,0,2022-03-01
Marlim Leste,11949.596920511,63683.7877611053,220.151986774194,1262.10752,13334.3110884432,71622.2042614765,2022-03-01
Sudoeste De Sapinhoá,4473.44445685417,0,225.557161935484,0,5892.1561495676,0,2022-03-01
Anc_Tupi,3945.29794529377,0,171.03110483871,0,5021.05109881933,0,2022-03-01
Albacora,4110.37622640903,6562.86714357602,87.0186916129032,133.342776774194,4657.70726310279,7401.56787435811,2022-03-01
Tambuatá,3617.65961603219,0,145.524005483871,0,4532.9779609647,0,2022-03-01
Noroeste De Sapinhoá,2602.13187818069,0,131.20297,0,3427.37363091639,0,2022-03-01
Anc_Mero,1680.09217735511,0,112.140973548387,0,2385.43759418949,0,2022-03-01
Marlim,1919.8873894294,27150.7211558123,55.680745483871,486.469409032258,2270.10869918131,30210.5213094375,2022-03-01
Barracuda,1841.5607141927,25812.7445004977,62.277445483871,552.841766451613,2233.27401357161,29290.0141715427,2022-03-01
Caratinga,1699.90219771633,5006.07505918036,57.4868709677419,140.306902258065,2061.48369359795,5888.57881607216,2022-03-01
Total Geral,2265289.9053435544,180903.65119493587,96657.876308387,3101.4770574193553,2873253.526066813,200411.35260546269,2022-03-01
NA,NA,NA,NA,NA,NA,NA,2022-03-01
Tabela Adicional 1. Produção dos poços do Pré-sal¹ (antiga tabela 11 do BMP),NA,NA,NA,NA,NA,NA,2022-03-01
Nome ANP do Poço,NA,NA,NA,NA,NA,NA,2022-03-01
3-BRSA-1322-RJS,NA,NA,48002.6346308842,3204.0284016129,68155.3645116331,NA,2022-03-01
7-BUZ-24D-RJS,NA,NA,48966.4046807881,2052.3375,61875.2176116631,NA,2022-03-01
7-BUZ-23-RJS,NA,NA,47609.8565681209,1748.19498709677,58605.670879912,NA,2022-03-01
9-BUZ-4-RJS,NA,NA,46248.7964927136,1806.32305903226,57610.2253326453,NA,2022-03-01
9-BRSA-1254-RJS,NA,NA,46360.4859332222,1352.23247741935,54865.7712920193,NA,2022-03-01
9-ATP-1-RJS,NA,NA,45159.104631246,1519.30456354839,54715.2416680983,NA,2022-03-01
9-BUZ-3-RJS,NA,NA,43718.0163632299,1605.06908129032,53813.5959214206,NA,2022-03-01
7-BUZ-30-RJS,NA,NA,41198.2030267528,1522.04654483871,50771.5866049448,NA,2022-03-01
3-BRSA-1201-RJS,NA,NA,42056.1538813286,1241.56575709677,49865.3665959735,NA,2022-03-01
7-BUZ-25-RJS,NA,NA,39226.0665914476,1484.13978645161,48561.0238616688,NA,2022-03-01
7-ATP-6-RJS,NA,NA,36938.8543609163,1252.48987677419,44816.7777127494,NA,2022-03-01
7-BUZ-10-RJS,NA,NA,35794.6433008552,1339.60601419355,44220.51060499,NA,2022-03-01
7-SEP-6-RJS,NA,NA,35808.9620188277,1040.24639870968,42351.9142198959,NA,2022-03-01
7-SPH-20D-SPS,NA,NA,31969.5250453743,1129.22801064516,39072.1546790104,NA,2022-03-01
7-BUZ-12-RJS,NA,NA,30057.7138734335,1330.72550419355,38427.7244569651,NA,2022-03-01
7-LL-15D-RJS,NA,NA,29690.1711817188,1212.54989870968,37316.8796601219,NA,2022-03-01
3-BRSA-1064-RJS,NA,NA,29105.7967817803,1169.45708290323,36461.4596363958,NA,2022-03-01
7-BUZ-14DA-RJS,NA,NA,28750.0051594812,1196.20397645161,36273.9008926063,NA,2022-03-01
9-BUZ-1-RJS,NA,NA,28005.3654856767,1054.58162451613,34638.4835333745,NA,2022-03-01
9-LL-12D-RJS,NA,NA,27342.9575359372,1045.83054967742,33921.0329856037,NA,2022-03-01
9-BUZ-7-RJS,NA,NA,27050.2006567169,1000.86306870968,33345.4391949177,NA,2022-03-01
7-BUZ-31D-RJS,NA,NA,25642.0672597942,1123.56191225806,32709.0582111341,NA,2022-03-01
9-BRSA-1212-RJS,NA,NA,27253.9702941951,834.86266483871,32505.0978321242,NA,2022-03-01
7-LL-119D-RJS,NA,NA,22714.2228501459,1555.47644354839,32497.874139541,NA,2022-03-01
7-SRR-2-RJS,NA,NA,25582.9974607665,1086.89073032258,32419.3336452568,NA,2022-03-01
7-LL-83D-RJS,NA,NA,24497.99856451,1171.11809419355,31864.1088645495,NA,2022-03-01
7-LL-84D-RJS,NA,NA,25767.7659170149,928.611060645161,31608.5530523714,NA,2022-03-01
8-LL-87D-RJS,NA,NA,25622.4552974339,941.895512258065,31546.7991093898,NA,2022-03-01
7-LL-61-RJS,NA,NA,25717.6971871092,919.685497419355,31502.3442256325,NA,2022-03-01
3-BRSA-1184-RJS,NA,NA,25182.2660549964,994.211939354839,31435.6702532699,NA,2022-03-01
7-LL-66-RJS,NA,NA,25497.7967353686,904.500599354839,31186.9336501967,NA,2022-03-01
7-SPH-22-SPS,NA,NA,20008.1840452527,1759.07499322581,31072.4315283943,NA,2022-03-01
7-LL-80DB-RJS,NA,NA,24887.8278101436,959.698331612903,30924.1479733057,NA,2022-03-01
7-LL-51-RJS,NA,NA,22089.6913875361,1347.06644741935,30562.4833991789,NA,2022-03-01
7-SLL-5-RJS,NA,NA,22755.207459061,1189.7341783871,30238.4093916219,NA,2022-03-01
7-LL-103D-RJS,NA,NA,22433.4197649755,1149.64905935484,29664.4939149961,NA,2022-03-01
7-LL-27-RJS,NA,NA,22667.1803507284,1090.72440612903,29527.6296276428,NA,2022-03-01
7-SPH-3-SPS,NA,NA,19782.7742799481,1375.06046870968,28431.6433666429,NA,2022-03-01
7-SLL-2-RJS,NA,NA,23396.5643724048,789.548073548387,28362.6717408902,NA,2022-03-01
7-LL-28D-RJS,NA,NA,23359.3098176299,787.914865806452,28315.144619728,NA,2022-03-01
7-SPH-8-SPS,NA,NA,23025.464308211,807.331398709677,28103.4254131291,NA,2022-03-01
7-LL-91-RJS,NA,NA,22849.4237404335,803.762996451613,27904.9402731449,NA,2022-03-01
7-LL-36A-RJS,NA,NA,19013.1892886687,1412.84839548387,27899.7372550671,NA,2022-03-01
9-LL-2-RJS,NA,NA,19007.3825766561,1396.26627774194,27789.6321730601,NA,2022-03-01
7-LL-105-RJS,NA,NA,22612.4599979242,743.128612258065,27286.5977745911,NA,2022-03-01
9-LL-20D-RJS,NA,NA,20061.0821853177,1114.80193709677,27072.9745572884,NA,2022-03-01
7-LL-115-RJS,NA,NA,22077.577010579,755.74711,26831.0827405281,NA,2022-03-01
7-BUZ-17-RJS,NA,NA,20761.965550069,893.198391935484,26380.0137276487,NA,2022-03-01
7-LL-110D-RJS,NA,NA,20077.2758023186,980.423107096774,26243.9508655669,NA,2022-03-01
7-LL-22D-RJS,NA,NA,21196.005168168602,785.454319354839,26136.3636005899,NA,2022-03-01
4-BRSA-711-RJS,NA,NA,18281.8935725755,1203.55710129032,25852.0390638424,NA,2022-03-01
9-LL-7-RJS,NA,NA,19985.5620699694,841.557633548387,25278.7996890384,NA,2022-03-01
7-SPH-2D-SPS,NA,NA,20428.2087858112,766.889042580645,25251.7951547254,NA,2022-03-01
7-LL-59-RJS,NA,NA,19482.5681859926,901.216111290323,25151.0462949476,NA,2022-03-01
7-SPH-14D-SPS,NA,NA,16362.0781446594,1375.67920451613,25014.838962017,NA,2022-03-01
7-LL-113D-RJS,NA,NA,19987.0527447945,655.485514516129,24109.9320888532,NA,2022-03-01
7-SPH-17-SPS,NA,NA,16248.840483651,1233.45306935484,24007.0259338098,NA,2022-03-01
