Tupi,744.677,0,37.299,0,979.284,0
Búzios,672.246,0,28.287,0,850.164,0
Mero,239.375,0,15.591,0,337.440,0
Sépia,143.709,0,5.231,0,176.613,0
Sapinhoá,130.023,0,6.274,0,169.486,0
Atapu,122.054,0,4.634,0,151.202,0
Jubarte,77.151,60.969,2.789,628,94.693,64.916
Itapu,77.557,0,1.013,0,83.926,0
Itapu_Eco,72.433,0,946,0,78.382,0
Berbigão,70.402,0,1.249,0,78.260,0
Sururu,61.118,0,2.128,0,74.503,0
Sul de Tupi,42.934,0,2.009,0,55.568,0
Lapa,28.939,0,1.017,0,35.334,0
Oeste de Atapu,25.346,0,962,0,31.399,0
Sul de Berbigão,18.809,0,1.051,0,25.418,0
Sépia Leste,19.729,0,718,0,24.246,0
Barracuda,13.274,21.797,241,349,14.790,23.994
Caratinga,12.253,3.831,222,67,13.653,4.252
Marlim,10.634,37.382,320,618,12.644,41.270
Anc_Mero,8.682,0,565,0,12.239,0
Voador,5.527,0,166,0,6.572,0
Marlim Sul,6.038,76.140,18,716,6.150,80.640
Marlim Leste,5.394,29.883,92,436,5.973,32.624
Tambuatá,4.339,0,183,0,5.487,0
Anc_Tupi,3.216,0,150,0,4.163,0
Sudoeste de Sapinhoá,2.934,0,142,0,3.824,0
Noroeste de Sapinhoá,1.707,0,82,0,2.225,0
Anc_Norte_Atapu,1.414,0,54,0,1.751,0
Nordeste de Sapinhoá,355,0,17,0,463,0
Espadim,385,0,12,0,457,0
Total,2.622.652,230.002,113.462,2.813,3.336.309,247.696
