Poço,Campo,Bacia,Localização,Petróleo (bbl/d),mes
7LL15DRJS,Lula,Santos,Mar,39474,2018-01-01
7SPH17SPS,Sapinhoá,Santos,Mar,33256,2018-01-01
7LL83DRJS,Lula,Santos,Mar,29340,2018-01-01
7LL80DBRJS,Lula,Santos,Mar,29143,2018-01-01
7SPH1SPS,Sapinhoá,Santos,Mar,28547,2018-01-01
8LL87DRJS,Lula,Santos,Mar,28183,2018-01-01
8LL81DRJS,Lula,Santos,Mar,28103,2018-01-01
9LL12DRJS,Lula,Santos,Mar,27710,2018-01-01
9LL20DRJS,Lula,Santos,Mar,27673,2018-01-01
7SPH7DSPS,Sapinhoá,Santos,Mar,26597,2018-01-01
7LL36ARJS,Lula,Santos,Mar,26553,2018-01-01
7LL22DRJS,Lula,Santos,Mar,26412,2018-01-01
7LL91RJS,Lula,Santos,Mar,25658,2018-01-01
7LL51RJS,Lula,Santos,Mar,25451,2018-01-01
7LL69RJS,Lula,Santos,Mar,25436,2018-01-01
7LL45DRJS,Lula,Santos,Mar,24759,2018-01-01
9BRSA928SPS,Sapinhoá,Santos,Mar,24759,2018-01-01
9LL19RJS,Lula,Santos,Mar,24717,2018-01-01
9LL7RJS,Lula,Santos,Mar,24427,2018-01-01
7SPH4DSPS,Sapinhoá,Santos,Mar,24261,2018-01-01
7LL79DRJS,Lula,Santos,Mar,24208,2018-01-01
7SPH14DSPS,Sapinhoá,Santos,Mar,24032,2018-01-01
7LPA1DSPS,Lapa,Santos,Mar,23867,2018-01-01
7LL97RJS,Lula,Santos,Mar,23661,2018-01-01
7LL73DRJS,Lula,Santos,Mar,23590,2018-01-01
7SPH8SPS,Sapinhoá,Santos,Mar,22506,2018-01-01
6BRSA1222AESS,Jubarte³,Campos,Mar,22239,2018-01-01
7LL61RJS,Lula,Santos,Mar,22033,2018-01-01
7SPH3SPS,Sapinhoá,Santos,Mar,21903,2018-01-01
7LL63DRJS,Lula,Santos,Mar,21567,2018-01-01
8LL87DRJS,Lula,Santos,Mar,33249,2018-02-01
7SPH17SPS,Sapinhoá,Santos,Mar,32834,2018-02-01
7LL15DRJS,Lula,Santos,Mar,31215,2018-02-01
7LL80DBRJS,Lula,Santos,Mar,30551,2018-02-01
8LL81DRJS,Lula,Santos,Mar,29572,2018-02-01
7SPH1SPS,Sapinhoá,Santos,Mar,29474,2018-02-01
7LL83DRJS,Lula,Santos,Mar,29070,2018-02-01
9LL20DRJS,Lula,Santos,Mar,28383,2018-02-01
7LL36ARJS,Lula,Santos,Mar,27933,2018-02-01
7SPH7DSPS,Sapinhoá,Santos,Mar,27797,2018-02-01
7LL91RJS,Lula,Santos,Mar,26918,2018-02-01
7LL51RJS,Lula,Santos,Mar,26879,2018-02-01
9LL12DRJS,Lula,Santos,Mar,26068,2018-02-01
7SPH14DSPS,Sapinhoá,Santos,Mar,26012,2018-02-01
9LL7RJS,Lula,Santos,Mar,25898,2018-02-01
7LL69RJS,Lula,Santos,Mar,25819,2018-02-01
7LL22DRJS,Lula,Santos,Mar,25748,2018-02-01
9BRSA928SPS,Sapinhoá,Santos,Mar,25459,2018-02-01
7SPH4DSPS,Sapinhoá,Santos,Mar,24836,2018-02-01
7LL73DRJS,Lula,Santos,Mar,24451,2018-02-01
7SPH8SPS,Sapinhoá,Santos,Mar,24163,2018-02-01
7LL84DRJS,Lula,Santos,Mar,23787,2018-02-01
6BRSA1222AESS,Jubarte³,Campos,Mar,23066,2018-02-01
7LL79DRJS,Lula,Santos,Mar,22996,2018-02-01
3BRSA788SPS,Sapinhoá,Santos,Mar,22948,2018-02-01
7LL45DRJS,Lula,Santos,Mar,22944,2018-02-01
7LPA1DSPS,Lapa,Santos,Mar,22652,2018-02-01
3BRSA839ARJS,Lula,Santos,Mar,22638,2018-02-01
7SPH3SPS,Sapinhoá,Santos,Mar,22259,2018-02-01
7LL28DRJS,Lula,Santos,Mar,21982,2018-02-01
7SPH17SPS,Sapinhoá,Santos,Mar,33282.9453511513,2018-03-01
7LL80DBRJS,Lula,Santos,Mar,30276.0785503823,2018-03-01
8LL87DRJS,Lula,Santos,Mar,30035.0603354777,2018-03-01
8LL81DRJS,Lula,Santos,Mar,29066.8207810803,2018-03-01
7SPH1SPS,Sapinhoá,Santos,Mar,28498.8198948245,2018-03-01
7SPH7DSPS,Sapinhoá,Santos,Mar,28136.3860282394,2018-03-01
7LL36ARJS,Lula,Santos,Mar,28076.0202869042,2018-03-01
9LL20DRJS,Lula,Santos,Mar,27244.6380706345,2018-03-01
7LL15DRJS,Lula,Santos,Mar,27092.1414242874,2018-03-01
7LL48DRJS,Lula,Santos,Mar,26977.7082732952,2018-03-01
7LL83DRJS,Lula,Santos,Mar,26499.1789198039,2018-03-01
7LL91RJS,Lula,Santos,Mar,26478.0816796813,2018-03-01
7LL97RJS,Lula,Santos,Mar,26095.0281927394,2018-03-01
3BRSA1305ARJS,Mero,Santos,Mar,25573.9249637506,2018-03-01
9LL7RJS,Lula,Santos,Mar,25007.3577260619,2018-03-01
7LL69RJS,Lula,Santos,Mar,24984.5981500255,2018-03-01
7SPH14DSPS,Sapinhoá,Santos,Mar,24941.0259984932,2018-03-01
9BRSA928SPS,Sapinhoá,Santos,Mar,24854.0247378819,2018-03-01
7SPH8SPS,Sapinhoá,Santos,Mar,24297.0438016432,2018-03-01
7LL90DRJS,Lula,Santos,Mar,24138.772906819,2018-03-01
6BRSA1222AESS,Jubarte³,Campos,Mar,24108.0887788739,2018-03-01
7SPH4DSPS,Sapinhoá,Santos,Mar,23917.0706984245,2018-03-01
7LL27RJS,Lula,Santos,Mar,23172.1585581668,2018-03-01
7LL22DRJS,Lula,Santos,Mar,22931.9787140661,2018-03-01
7LL73DRJS,Lula,Santos,Mar,22906.6390985471,2018-03-01
7JUB34HESS,Jubarte³,Campos,Mar,22594.7925506152,2018-03-01
9LL19RJS,Lula,Santos,Mar,22121.5772749855,2018-03-01
3BRSA788SPS,Sapinhoá,Santos,Mar,22012.1844936713,2018-03-01
7LL45DRJS,Lula,Santos,Mar,21930.8363519703,2018-03-01
7LPA1DSPS,Lapa,Santos,Mar,21910.553135,2018-03-01
3BRSA1305ARJS,Mero,Santos,Mar,36085.0088128448,2018-04-01
8LL87DRJS,Lula,Santos,Mar,32568.6917399883,2018-04-01
7SPH17SPS,Sapinhoá,Santos,Mar,31687.8166387687,2018-04-01
7LL80DBRJS,Lula,Santos,Mar,29947.8922866897,2018-04-01
7LL48DRJS,Lula,Santos,Mar,29727.9600646453,2018-04-01
8LL81DRJS,Lula,Santos,Mar,29012.8900158547,2018-04-01
7LL36ARJS,Lula,Santos,Mar,28164.411839002,2018-04-01
7SPH7DSPS,Sapinhoá,Santos,Mar,27769.8229149157,2018-04-01
7LL83DRJS,Lula,Santos,Mar,26812.851805373,2018-04-01
7LL84DRJS,Lula,Santos,Mar,26707.8652320977,2018-04-01
7LL15DRJS,Lula,Santos,Mar,26396.8659959683,2018-04-01
7LL91RJS,Lula,Santos,Mar,26295.539463132,2018-04-01
7LL97RJS,Lula,Santos,Mar,25545.0879751293,2018-04-01
7SPH14DSPS,Sapinhoá,Santos,Mar,25526.7808541433,2018-04-01
7LL63DRJS,Lula,Santos,Mar,25353.2181597207,2018-04-01
9LL7RJS,Lula,Santos,Mar,25219.2997184073,2018-04-01
8LL37DRJS,Lula,Santos,Mar,24688.6856859783,2018-04-01
7LL73DRJS,Lula,Santos,Mar,24464.5699016427,2018-04-01
3BRSA839ARJS,Lula,Santos,Mar,24361.8759641123,2018-04-01
7LL22DRJS,Lula,Santos,Mar,24349.2657337037,2018-04-01
7LL69RJS,Lula,Santos,Mar,24015.5395271013,2018-04-01
7LL79DRJS,Lula,Santos,Mar,23912.6961017533,2018-04-01
7LL28DRJS,Lula,Santos,Mar,23721.6301240627,2018-04-01
6BRSA1222AESS,Jubarte³,Campos,Mar,23667.7721583153,2018-04-01
3BRSA496RJS,Lula,Santos,Mar,23429.9531842533,2018-04-01
7JUB34HESS,Jubarte³,Campos,Mar,23327.7091777983,2018-04-01
7LL60DRJS,Lula,Santos,Mar,23073.718263585,2018-04-01
7LL27RJS,Lula,Santos,Mar,23011.3254449883,2018-04-01
7LL90DRJS,Lula,Santos,Mar,22936.2228073247,2018-04-01
9LL19RJS,Lula,Santos,Mar,22905.7604188533,2018-04-01
3-BRSA-1305A-RJS,Mero,Santos,Mar,39918.0537666152,2018-05-01
8-LL-87D-RJS,Lula,Santos,Mar,33990.6954678552,2018-05-01
7-SPH-17-SPS,Sapinhoá,Santos,Mar,32025.5741874971,2018-05-01
9-BUZ-7-RJS,Búzios,Santos,Mar,31289.2015802484,2018-05-01
7-LL-15D-RJS,Lula,Santos,Mar,30191.4146643258,2018-05-01
7-LL-27-RJS,Lula,Santos,Mar,29384.0895510265,2018-05-01
7-LL-83D-RJS,Lula,Santos,Mar,29351.9463900584,2018-05-01
7-SPH-1-SPS,Sapinhoá,Santos,Mar,27950.3908683177,2018-05-01
9-LL-2-RJS,Lula,Santos,Mar,27928.3609102413,2018-05-01
9-LL-20D-RJS,Lula,Santos,Mar,27492.6854525597,2018-05-01
7-SPH-7D-SPS,Sapinhoá,Santos,Mar,26890.153712301,2018-05-01
7-LL-51-RJS,Lula,Santos,Mar,26639.861274,2018-05-01
7-LL-48D-RJS,Lula,Santos,Mar,26395.6512848661,2018-05-01
8-LL-37D-RJS,Lula,Santos,Mar,26135.4692362742,2018-05-01
7-LL-97-RJS,Lula,Santos,Mar,25562.3658938287,2018-05-01
7-LL-61-RJS,Lula,Santos,Mar,25388.1237511348,2018-05-01
7-LL-63D-RJS,Lula,Santos,Mar,25306.115382281,2018-05-01
7-LL-22D-RJS,Lula,Santos,Mar,25129.5040101881,2018-05-01
7-SPH-14D-SPS,Sapinhoá,Santos,Mar,25110.221481699,2018-05-01
6-BRSA-1222A-ESS,Jubarte³,Campos,Mar,24811.5571581445,2018-05-01
7-LL-80DB-RJS,Lula,Santos,Mar,24563.3561831171,2018-05-01
7-LL-69-RJS,Lula,Santos,Mar,24531.1075156587,2018-05-01
7-LL-60D-RJS,Lula,Santos,Mar,24472.1634742806,2018-05-01
7-LL-79D-RJS,Lula,Santos,Mar,24156.8059949861,2018-05-01
9-BRSA-928-SPS,Sapinhoá,Santos,Mar,24126.2470545497,2018-05-01
9-LL-19-RJS,Lula,Santos,Mar,23914.3750075968,2018-05-01
7-SPH-6-SPS,Sapinhoá,Santos,Mar,23862.0125422439,2018-05-01
7-LL-84D-RJS,Lula,Santos,Mar,23768.4818501613,2018-05-01
7-SPH-4D-SPS,Sapinhoá,Santos,Mar,23417.769754651,2018-05-01
8-LL-81D-RJS,Lula,Santos,Mar,23192.7185267771,2018-05-01
3-BRSA-1305A-RJS,Mero,Santos,Mar,40975.2165458126,2018-06-01
8-LL-87D-RJS,Lula,Santos,Mar,33712.151942145,2018-06-01
9-BUZ-7-RJS,Búzios,Santos,Mar,32587.5664114967,2018-06-01
7-LL-84D-RJS,Lula,Santos,Mar,30157.323041958,2018-06-01
7-LL-80DB-RJS,Lula,Santos,Mar,30090.6206552097,2018-06-01
7-LL-83D-RJS,Lula,Santos,Mar,29483.4508293467,2018-06-01
7-SPH-1-SPS,Sapinhoá,Santos,Mar,29209.2790597483,2018-06-01
7-SPH-17-SPS,Sapinhoá,Santos,Mar,28831.8000961447,2018-06-01
7-LL-48D-RJS,Lula,Santos,Mar,28363.6807772343,2018-06-01
7-LL-27-RJS,Lula,Santos,Mar,28127.6204340483,2018-06-01
9-LL-20D-RJS,Lula,Santos,Mar,27706.4637718427,2018-06-01
8-LL-81D-RJS,Lula,Santos,Mar,27678.4745366633,2018-06-01
7-LL-36A-RJS,Lula,Santos,Mar,27671.2953475293,2018-06-01
7-LL-73D-RJS,Lula,Santos,Mar,26986.746182443,2018-06-01
7-LL-91-RJS,Lula,Santos,Mar,26415.9840831237,2018-06-01
8-LL-37D-RJS,Lula,Santos,Mar,26408.7853955787,2018-06-01
9-LL-7-RJS,Lula,Santos,Mar,25317.9549689367,2018-06-01
9-BRSA-928-SPS,Sapinhoá,Santos,Mar,25250.3097396693,2018-06-01
7-LL-97-RJS,Lula,Santos,Mar,24882.7158414617,2018-06-01
7-SPH-4D-SPS,Sapinhoá,Santos,Mar,24872.3879734417,2018-06-01
9-LL-2-RJS,Lula,Santos,Mar,24858.200887666,2018-06-01
7-LL-79D-RJS,Lula,Santos,Mar,24262.1346730563,2018-06-01
7-SPH-7D-SPS,Sapinhoá,Santos,Mar,24130.331494846,2018-06-01
