Poço,Campo,Bacia,Localização,Petróleo
"",,,,(bbl/d)
"",,,,
9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,50.751
7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste,Santos,Mar,50.399
"",De Atapu,,,
7-BUZ-50D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,49.518
7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,49.377
9-ITP-1-RJS,Itapu / Itapu_Eco,Santos,Mar,48.871
7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,48.801
7-BUZ-45DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,48.433
7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,48.111
7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,47.473
3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,44.813
7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,44.135
7-ITP-5D-RJS,Itapu / Itapu_Eco,Santos,Mar,43.022
7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,42.069
9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste,Santos,Mar,42.032
"",De Atapu,,,
7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,42.008
7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,41.823
7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,40.251
3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,35.771
1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,35.421
7-ITP-3A-RJS,Itapu / Itapu_Eco,Santos,Mar,34.479
9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,34.424
7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,34.024
3-BRSA-1255-RJS,Anc_Mero / Mero,Santos,Mar,33.948
7-MRO-16D-RJS,Anc_Mero / Mero,Santos,Mar,32.693
7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,32.453
7-LL-27-RJS,Tupi,Santos,Mar,32.442
7-TUP-121DA-RJS,Tupi,Santos,Mar,31.511
9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,31.427
9-BUZ-1-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,27.746
3-BRSA-1064-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,27.741
