Nº,Poço,Campo,Bacia,Localização,Operador,Gás natural (Mm³/d),mes
1,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1900,2018-01-01
2,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1860,2018-01-01
3,7LL73DRJS,Lula,Santos,Mar,Petrobras,1563,2018-01-01
4,7LL15DRJS,Lula,Santos,Mar,Petrobras,1446,2018-01-01
5,7LL83DRJS,Lula,Santos,Mar,Petrobras,1394,2018-01-01
6,9LL20DRJS,Lula,Santos,Mar,Petrobras,1337,2018-01-01
7,7LL36ARJS,Lula,Santos,Mar,Petrobras,1309,2018-01-01
8,7LL51RJS,Lula,Santos,Mar,Petrobras,1226,2018-01-01
9,7LL45DRJS,Lula,Santos,Mar,Petrobras,1193,2018-01-01
10,7SPH3SPS,Sapinhoá,Santos,Mar,Petrobras,1188,2018-01-01
11,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1101,2018-01-01
12,3BRSA830RJS,Lula,Santos,Mar,Petrobras,1063,2018-01-01
13,7LL27RJS,Lula,Santos,Mar,Petrobras,1056,2018-01-01
14,7LL63DRJS,Lula,Santos,Mar,Petrobras,1054,2018-01-01
15,9LL2RJS,Lula,Santos,Mar,Petrobras,1039,2018-01-01
16,7SPH5SPS,Sapinhoá,Santos,Mar,Petrobras,1033,2018-01-01
17,8LL81DRJS,Lula,Santos,Mar,Petrobras,1013,2018-01-01
18,7LL80DBRJS,Lula,Santos,Mar,Petrobras,997,2018-01-01
19,7LL31DRJS,Lula,Santos,Mar,Petrobras,989,2018-01-01
20,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,984,2018-01-01
21,7SPH1SPS,Sapinhoá,Santos,Mar,Petrobras,978,2018-01-01
22,9LL7RJS,Lula,Santos,Mar,Petrobras,954,2018-01-01
23,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,954,2018-01-01
24,9LL12DRJS,Lula,Santos,Mar,Petrobras,941,2018-01-01
25,3BRSA496RJS,Lula,Santos,Mar,Petrobras,940,2018-01-01
26,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,932,2018-01-01
27,8LL87DRJS,Lula,Santos,Mar,Petrobras,923,2018-01-01
28,7LL22DRJS,Lula,Santos,Mar,Petrobras,906,2018-01-01
29,3BRSA839ARJS,Lula,Santos,Mar,Petrobras,906,2018-01-01
30,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,901,2018-01-01
1,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1858,2018-02-01
2,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1845,2018-02-01
3,7LL73DRJS,Lula,Santos,Mar,Petrobras,1629,2018-02-01
4,7LL83DRJS,Lula,Santos,Mar,Petrobras,1417,2018-02-01
5,7LL36ARJS,Lula,Santos,Mar,Petrobras,1384,2018-02-01
6,9LL20DRJS,Lula,Santos,Mar,Petrobras,1381,2018-02-01
7,7LL51RJS,Lula,Santos,Mar,Petrobras,1302,2018-02-01
8,7SPH3SPS,Sapinhoá,Santos,Mar,Petrobras,1226,2018-02-01
9,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1169,2018-02-01
10,7LL15DRJS,Lula,Santos,Mar,Petrobras,1147,2018-02-01
11,9LL2RJS,Lula,Santos,Mar,Petrobras,1134,2018-02-01
12,7LL27RJS,Lula,Santos,Mar,Petrobras,1120,2018-02-01
13,7LL45DRJS,Lula,Santos,Mar,Petrobras,1117,2018-02-01
14,3BRSA830RJS,Lula,Santos,Mar,Petrobras,1115,2018-02-01
15,8LL87DRJS,Lula,Santos,Mar,Petrobras,1112,2018-02-01
16,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,1098,2018-02-01
17,8LL81DRJS,Lula,Santos,Mar,Petrobras,1088,2018-02-01
18,3BRSA1305ARJS,Mero,Santos,Mar,Petrobras,1087,2018-02-01
19,7LL80DBRJS,Lula,Santos,Mar,Petrobras,1067,2018-02-01
20,7LL63DRJS,Lula,Santos,Mar,Petrobras,1057,2018-02-01
21,9LL7RJS,Lula,Santos,Mar,Petrobras,1034,2018-02-01
22,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,1033,2018-02-01
23,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,1025,2018-02-01
24,7SPH1SPS,Sapinhoá,Santos,Mar,Petrobras,1024,2018-02-01
25,3BRSA496RJS,Lula,Santos,Mar,Petrobras,1014,2018-02-01
26,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,1001,2018-02-01
27,3BRSA839ARJS,Lula,Santos,Mar,Petrobras,965,2018-02-01
28,7SPH5SPS,Sapinhoá,Santos,Mar,Petrobras,946,2018-02-01
29,9LL12DRJS,Lula,Santos,Mar,Petrobras,916,2018-02-01
30,9BRSA928SPS,Sapinhoá,Santos,Mar,Petrobras,894,2018-02-01
1,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1691.93863258065,2018-03-01
2,3BRSA1305ARJS,Mero,Santos,Mar,Petrobras,1662.87887258065,2018-03-01
3,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1605.52625645161,2018-03-01
4,7LL73DRJS,Lula,Santos,Mar,Petrobras,1457.46836677419,2018-03-01
5,7LL36ARJS,Lula,Santos,Mar,Petrobras,1387.71245258065,2018-03-01
6,9LL20DRJS,Lula,Santos,Mar,Petrobras,1333.75374354839,2018-03-01
7,7LL83DRJS,Lula,Santos,Mar,Petrobras,1266.66354483871,2018-03-01
8,9LL2RJS,Lula,Santos,Mar,Petrobras,1217.89193903226,2018-03-01
9,7LL27RJS,Lula,Santos,Mar,Petrobras,1206.73265387097,2018-03-01
10,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1201.14318870968,2018-03-01
11,7SPH3SPS,Sapinhoá,Santos,Mar,Petrobras,1146.39118677419,2018-03-01
12,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,1135.89564548387,2018-03-01
13,7LL45DRJS,Lula,Santos,Mar,Petrobras,1131.5537083871,2018-03-01
14,7LL80DBRJS,Lula,Santos,Mar,Petrobras,1060.55455645161,2018-03-01
15,8LL81DRJS,Lula,Santos,Mar,Petrobras,1051.05792774193,2018-03-01
16,3BRSA496RJS,Lula,Santos,Mar,Petrobras,1043.82425290322,2018-03-01
17,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,1028.7424116129,2018-03-01
18,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,1007.91854612903,2018-03-01
19,8LL87DRJS,Lula,Santos,Mar,Petrobras,1003.33224677419,2018-03-01
20,9LL7RJS,Lula,Santos,Mar,Petrobras,1002.30277548387,2018-03-01
21,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,1002.20289322581,2018-03-01
22,7SPH1SPS,Sapinhoá,Santos,Mar,Petrobras,993.143565483871,2018-03-01
23,7LL15DRJS,Lula,Santos,Mar,Petrobras,992.743848387097,2018-03-01
24,8LL37DRJS,Lula,Santos,Mar,Petrobras,941.588405483871,2018-03-01
25,7RO154DRJS,Roncador,Campos,Mar,Petrobras,932.232676774194,2018-03-01
26,7LL31DRJS,Lula,Santos,Mar,Petrobras,929.284696451613,2018-03-01
27,7LL48DRJS,Lula,Santos,Mar,Petrobras,913.872918709677,2018-03-01
28,7LL97RJS,Lula,Santos,Mar,Petrobras,913.21119,2018-03-01
29,7SPH8SPS,Sapinhoá,Santos,Mar,Petrobras,895.603088387097,2018-03-01
30,7SPH5SPS,Sapinhoá,Santos,Mar,Petrobras,892.959629677419,2018-03-01
1,3BRSA1305ARJS,Mero,Santos,Mar,Petrobras,2352.15684,2018-04-01
2,7MXL18HASPS,Mexilhão,Santos,Mar,Petrobras,1813.51878833333,2018-04-01
3,7MXL17HPASPS,Mexilhão,Santos,Mar,Petrobras,1790.53344433333,2018-04-01
4,7LL73DRJS,Lula,Santos,Mar,Petrobras,1470.21228,2018-04-01
5,7LL36ARJS,Lula,Santos,Mar,Petrobras,1360.71322133333,2018-04-01
6,7LL83DRJS,Lula,Santos,Mar,Petrobras,1285.66062866667,2018-04-01
7,7LL63DRJS,Lula,Santos,Mar,Petrobras,1247.250887,2018-04-01
8,9LL2RJS,Lula,Santos,Mar,Petrobras,1246.270875,2018-04-01
9,3BRSA496RJS,Lula,Santos,Mar,Petrobras,1233.658219,2018-04-01
10,7LL60DRJS,Lula,Santos,Mar,Petrobras,1224.64464733333,2018-04-01
11,7LL27RJS,Lula,Santos,Mar,Petrobras,1201.85107433333,2018-04-01
12,8LL37DRJS,Lula,Santos,Mar,Petrobras,1163.06860933333,2018-04-01
13,7LL45DRJS,Lula,Santos,Mar,Petrobras,1152.14815966667,2018-04-01
14,7MNT6DBAS,Manati,Camamu,Mar,Petrobras,1122.37562633333,2018-04-01
15,7SPH14DSPS,Sapinhoá,Santos,Mar,Petrobras,1113.084884,2018-04-01
16,3BRSA883RJS,Lula,Santos,Mar,Petrobras,1106.80958366667,2018-04-01
17,8LL87DRJS,Lula,Santos,Mar,Petrobras,1091.59055633333,2018-04-01
18,7SPH17SPS,Sapinhoá,Santos,Mar,Petrobras,1076.397584,2018-04-01
19,3BRSA830RJS,Lula,Santos,Mar,Petrobras,1071.55341566667,2018-04-01
20,3BRSA839ARJS,Lula,Santos,Mar,Petrobras,1056.239723,2018-04-01
21,3BRSA788SPS,Sapinhoá,Santos,Mar,Petrobras,1051.14457833333,2018-04-01
22,8LL81DRJS,Lula,Santos,Mar,Petrobras,1047.5766696666701,2018-04-01
23,7LL80DBRJS,Lula,Santos,Mar,Petrobras,1035.77894,2018-04-01
24,7SPH7DSPS,Sapinhoá,Santos,Mar,Petrobras,1016.66270466667,2018-04-01
25,7LL48DRJS,Lula,Santos,Mar,Petrobras,1014.35495,2018-04-01
26,9LL7RJS,Lula,Santos,Mar,Petrobras,981.110963333333,2018-04-01
27,7LL15DRJS,Lula,Santos,Mar,Petrobras,968.484420666667,2018-04-01
28,7RO154DRJS,Roncador,Campos,Mar,Petrobras,909.389522333333,2018-04-01
29,7LL84DRJS,Lula,Santos,Mar,Petrobras,906.399707,2018-04-01
30,7LL91RJS,Lula,Santos,Mar,Petrobras,904.017155333333,2018-04-01
1,3-BRSA-1305A-RJS,Mero,Santos,Mar,Petrobras,2697.53942322581,2018-05-01
2,7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,Petrobras,1773.62870419355,2018-05-01
3,9-LL-2-RJS,Lula,Santos,Mar,Petrobras,1597.73947612903,2018-05-01
4,7-LL-27-RJS,Lula,Santos,Mar,Petrobras,1554.57372064516,2018-05-01
5,7-LL-83D-RJS,Lula,Santos,Mar,Petrobras,1425.33188096774,2018-05-01
6,3-BRSA-830-RJS,Lula,Santos,Mar,Petrobras,1396.47975677419,2018-05-01
7,9-LL-20D-RJS,Lula,Santos,Mar,Petrobras,1335.08171225806,2018-05-01
8,7-SPH-5-SPS,Sapinhoá,Santos,Mar,Petrobras,1326.5757016129,2018-05-01
9,7-LL-60D-RJS,Lula,Santos,Mar,Petrobras,1311.08363451613,2018-05-01
10,7-LL-51-RJS,Lula,Santos,Mar,Petrobras,1275.26514225806,2018-05-01
11,7-LL-63D-RJS,Lula,Santos,Mar,Petrobras,1242.82683709677,2018-05-01
12,7-SPH-14D-SPS,Sapinhoá,Santos,Mar,Petrobras,1225.10381677419,2018-05-01
13,8-LL-37D-RJS,Lula,Santos,Mar,Petrobras,1223.91432709677,2018-05-01
14,3-BRSA-496-RJS,Lula,Santos,Mar,Petrobras,1194.16719451613,2018-05-01
15,7-MNT-6D-BAS,Manati,Camamu,Mar,Petrobras,1170.01757322581,2018-05-01
16,3-BRSA-883-RJS,Lula,Santos,Mar,Petrobras,1160.11657290323,2018-05-01
17,7-LL-15D-RJS,Lula,Santos,Mar,Petrobras,1133.69825290323,2018-05-01
18,8-LL-87D-RJS,Lula,Santos,Mar,Petrobras,1114.64226709677,2018-05-01
19,7-RO-154D-RJS,Roncador,Campos,Mar,Petrobras,1113.57355483871,2018-05-01
20,7-SPH-17-SPS,Sapinhoá,Santos,Mar,Petrobras,1076.7308216129,2018-05-01
21,3-BRSA-788-SPS,Sapinhoá,Santos,Mar,Petrobras,1039.76717258065,2018-05-01
22,4-BRSA-1001-ESS,Golfinho,Espírito Santo,Mar,Petrobras,1020.57508,2018-05-01
23,7-SPH-1-SPS,Sapinhoá,Santos,Mar,Petrobras,997.763056774194,2018-05-01
24,7-SPH-7D-SPS,Sapinhoá,Santos,Mar,Petrobras,980.574373548387,2018-05-01
25,9-BUZ-7-RJS,Búzios,Santos,Mar,Petrobras,953.310064516129,2018-05-01
26,7-MNT-2-BAS,Manati,Camamu,Mar,Petrobras,950.778957096774,2018-05-01
27,7-MNT-5D-BAS,Manati,Camamu,Mar,Petrobras,923.706258709677,2018-05-01
28,7-LL-48D-RJS,Lula,Santos,Mar,Petrobras,914.833857096774,2018-05-01
29,9-BRSA-908D-RJS,Lula,Santos,Mar,Petrobras,912.302034516129,2018-05-01
