Poço,Campo,Bacia,Localização,Produção (boe/d),mes,Operador
7LL15DRJS,Lula,Santos,Mar,48566,2018-01-01,Petrobras
7SPH17SPS,Sapinhoá,Santos,Mar,39117,2018-01-01,Petrobras
7LL83DRJS,Lula,Santos,Mar,38111,2018-01-01,Petrobras
9LL20DRJS,Lula,Santos,Mar,36081,2018-01-01,Petrobras
7LL80DBRJS,Lula,Santos,Mar,35417,2018-01-01,Petrobras
7LL36ARJS,Lula,Santos,Mar,34785,2018-01-01,Petrobras
7SPH1SPS,Sapinhoá,Santos,Mar,34700,2018-01-01,Petrobras
8LL81DRJS,Lula,Santos,Mar,34475,2018-01-01,Petrobras
8LL87DRJS,Lula,Santos,Mar,33991,2018-01-01,Petrobras
9LL12DRJS,Lula,Santos,Mar,33627,2018-01-01,Petrobras
7LL73DRJS,Lula,Santos,Mar,33421,2018-01-01,Petrobras
7LL51RJS,Lula,Santos,Mar,33164,2018-01-01,Petrobras
7SPH7DSPS,Sapinhoá,Santos,Mar,32785,2018-01-01,Petrobras
7LL45DRJS,Lula,Santos,Mar,32266,2018-01-01,Petrobras
7LL22DRJS,Lula,Santos,Mar,32113,2018-01-01,Petrobras
7LL91RJS,Lula,Santos,Mar,31037,2018-01-01,Petrobras
7LL69RJS,Lula,Santos,Mar,30547,2018-01-01,Petrobras
9LL7RJS,Lula,Santos,Mar,30430,2018-01-01,Petrobras
9BRSA928SPS,Sapinhoá,Santos,Mar,30082,2018-01-01,Petrobras
7SPH14DSPS,Sapinhoá,Santos,Mar,29698,2018-01-01,Petrobras
9LL19RJS,Lula,Santos,Mar,29507,2018-01-01,Petrobras
7SPH4DSPS,Sapinhoá,Santos,Mar,29388,2018-01-01,Petrobras
7SPH3SPS,Sapinhoá,Santos,Mar,29377,2018-01-01,Petrobras
7LL79DRJS,Lula,Santos,Mar,29376,2018-01-01,Petrobras
7LL97RJS,Lula,Santos,Mar,28603,2018-01-01,Petrobras
7LL63DRJS,Lula,Santos,Mar,28195,2018-01-01,Petrobras
7LPA1DSPS,Lapa,Santos,Mar,28165,2018-01-01,Total E&P do Brasil
7SPH8SPS,Sapinhoá,Santos,Mar,27808,2018-01-01,Petrobras
7LL27RJS,Lula,Santos,Mar,27665,2018-01-01,Petrobras
3BRSA788SPS,Sapinhoá,Santos,Mar,27270,2018-01-01,Petrobras
8LL87DRJS,Lula,Santos,Mar,40241,2018-02-01,Petrobras
7SPH17SPS,Sapinhoá,Santos,Mar,39741,2018-02-01,Petrobras
7LL15DRJS,Lula,Santos,Mar,38429,2018-02-01,Petrobras
7LL83DRJS,Lula,Santos,Mar,37984,2018-02-01,Petrobras
7LL80DBRJS,Lula,Santos,Mar,37263,2018-02-01,Petrobras
9LL20DRJS,Lula,Santos,Mar,37066,2018-02-01,Petrobras
7LL36ARJS,Lula,Santos,Mar,36641,2018-02-01,Petrobras
8LL81DRJS,Lula,Santos,Mar,36414,2018-02-01,Petrobras
7SPH1SPS,Sapinhoá,Santos,Mar,35915,2018-02-01,Petrobras
7LL51RJS,Lula,Santos,Mar,35069,2018-02-01,Petrobras
7LL73DRJS,Lula,Santos,Mar,34695,2018-02-01,Petrobras
7SPH7DSPS,Sapinhoá,Santos,Mar,34095,2018-02-01,Petrobras
7SPH14DSPS,Sapinhoá,Santos,Mar,32460,2018-02-01,Petrobras
7LL91RJS,Lula,Santos,Mar,32405,2018-02-01,Petrobras
9LL7RJS,Lula,Santos,Mar,32401,2018-02-01,Petrobras
9LL12DRJS,Lula,Santos,Mar,31830,2018-02-01,Petrobras
7LL69RJS,Lula,Santos,Mar,31435,2018-02-01,Petrobras
7LL22DRJS,Lula,Santos,Mar,31293,2018-02-01,Petrobras
9BRSA928SPS,Sapinhoá,Santos,Mar,31085,2018-02-01,Petrobras
7SPH4DSPS,Sapinhoá,Santos,Mar,30219,2018-02-01,Petrobras
7SPH3SPS,Sapinhoá,Santos,Mar,29973,2018-02-01,Petrobras
7LL45DRJS,Lula,Santos,Mar,29972,2018-02-01,Petrobras
7SPH8SPS,Sapinhoá,Santos,Mar,29681,2018-02-01,Petrobras
3BRSA788SPS,Sapinhoá,Santos,Mar,29443,2018-02-01,Petrobras
7LL84DRJS,Lula,Santos,Mar,28827,2018-02-01,Petrobras
7LL27RJS,Lula,Santos,Mar,28785,2018-02-01,Petrobras
3BRSA839ARJS,Lula,Santos,Mar,28706,2018-02-01,Petrobras
7LL63DRJS,Lula,Santos,Mar,28425,2018-02-01,Petrobras
7LL79DRJS,Lula,Santos,Mar,27856,2018-02-01,Petrobras
9LL2RJS,Lula,Santos,Mar,27795,2018-02-01,Petrobras
7SPH17SPS,Sapinhoá,Santos,Mar,40427.5131410722,2018-03-01,Petrobras
7LL80DBRJS,Lula,Santos,Mar,36946.7652050972,2018-03-01,Petrobras
7LL36ARJS,Lula,Santos,Mar,36804.4679482705,2018-03-01,Petrobras
8LL87DRJS,Lula,Santos,Mar,36345.8295345605,2018-03-01,Petrobras
3BRSA1305ARJS,Mero,Santos,Mar,36033.1171252971,2018-03-01,Petrobras
8LL81DRJS,Lula,Santos,Mar,35677.7754455708,2018-03-01,Petrobras
9LL20DRJS,Lula,Santos,Mar,35633.6957043426,2018-03-01,Petrobras
7SPH1SPS,Sapinhoá,Santos,Mar,34745.5042244406,2018-03-01,Petrobras
7SPH7DSPS,Sapinhoá,Santos,Mar,34606.9803362263,2018-03-01,Petrobras
7LL83DRJS,Lula,Santos,Mar,34466.2519507658,2018-03-01,Petrobras
7LL15DRJS,Lula,Santos,Mar,33336.3116093111,2018-03-01,Petrobras
7LL48DRJS,Lula,Santos,Mar,32725.7952961245,2018-03-01,Petrobras
7LL73DRJS,Lula,Santos,Mar,32073.8382065671,2018-03-01,Petrobras
7LL97RJS,Lula,Santos,Mar,31838.9530677133,2018-03-01,Petrobras
7LL91RJS,Lula,Santos,Mar,31837.8628995833,2018-03-01,Petrobras
9LL7RJS,Lula,Santos,Mar,31311.6517463281,2018-03-01,Petrobras
7SPH14DSPS,Sapinhoá,Santos,Mar,31244.6917783338,2018-03-01,Petrobras
7LL27RJS,Lula,Santos,Mar,30762.2776718109,2018-03-01,Petrobras
9BRSA928SPS,Sapinhoá,Santos,Mar,30436.1818738145,2018-03-01,Petrobras
7LL69RJS,Lula,Santos,Mar,30135.3640288804,2018-03-01,Petrobras
7SPH8SPS,Sapinhoá,Santos,Mar,29930.2170630113,2018-03-01,Petrobras
7LL90DRJS,Lula,Santos,Mar,29488.3011439615,2018-03-01,Petrobras
9LL2RJS,Lula,Santos,Mar,29438.0378824064,2018-03-01,Petrobras
7SPH4DSPS,Sapinhoá,Santos,Mar,29099.3377698043,2018-03-01,Petrobras
7LL45DRJS,Lula,Santos,Mar,29048.0941825206,2018-03-01,Petrobras
6BRSA1222AESS,Jubarte³,Campos,Mar,28821.8257567024,2018-03-01,Petrobras
3BRSA788SPS,Sapinhoá,Santos,Mar,28351.8006442991,2018-03-01,Petrobras
7SPH3SPS,Sapinhoá,Santos,Mar,28016.9483777468,2018-03-01,Petrobras
7LL22DRJS,Lula,Santos,Mar,27850.2323214112,2018-03-01,Petrobras
7JUB34HESS,Jubarte³,Campos,Mar,27604.9818637912,2018-03-01,Petrobras
3BRSA1305ARJS,Mero,Santos,Mar,50879.6284266452,2018-04-01,Petrobras
8LL87DRJS,Lula,Santos,Mar,39434.5889371193,2018-04-01,Petrobras
7SPH17SPS,Sapinhoá,Santos,Mar,38458.1529265877,2018-04-01,Petrobras
7LL36ARJS,Lula,Santos,Mar,36723.0394656766,2018-04-01,Petrobras
7LL80DBRJS,Lula,Santos,Mar,36462.7450212911,2018-04-01,Petrobras
7LL48DRJS,Lula,Santos,Mar,36108.0599727048,2018-04-01,Petrobras
8LL81DRJS,Lula,Santos,Mar,35601.9482284908,2018-04-01,Petrobras
7LL83DRJS,Lula,Santos,Mar,34899.4128841669,2018-04-01,Petrobras
7SPH7DSPS,Sapinhoá,Santos,Mar,34164.4381613551,2018-04-01,Petrobras
7LL73DRJS,Lula,Santos,Mar,33711.9258025095,2018-04-01,Petrobras
7LL63DRJS,Lula,Santos,Mar,33198.1892612821,2018-04-01,Petrobras
7SPH14DSPS,Sapinhoá,Santos,Mar,32527.8732883754,2018-04-01,Petrobras
7LL15DRJS,Lula,Santos,Mar,32488.4489899217,2018-04-01,Petrobras
7LL84DRJS,Lula,Santos,Mar,32408.9471731833,2018-04-01,Petrobras
8LL37DRJS,Lula,Santos,Mar,32004.1662556492,2018-04-01,Petrobras
7LL91RJS,Lula,Santos,Mar,31981.6356069192,2018-04-01,Petrobras
9LL7RJS,Lula,Santos,Mar,31390.301266691,2018-04-01,Petrobras
3BRSA496RJS,Lula,Santos,Mar,31189.4289867017,2018-04-01,Petrobras
7LL97RJS,Lula,Santos,Mar,31067.052084663,2018-04-01,Petrobras
3BRSA839ARJS,Lula,Santos,Mar,31005.423136235,2018-04-01,Petrobras
7LL60DRJS,Lula,Santos,Mar,30776.5004128287,2018-04-01,Petrobras
7LL27RJS,Lula,Santos,Mar,30570.7403508409,2018-04-01,Petrobras
