Poço,Campo,Bacia,Localização,Operador,Petróleo (bbl/d),mes
3GTE4DPABA,Tiê,Recôncavo,Terra,Maha Energy,1405,2018-01-01
7LUC69HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,1043,2018-01-01
3BRSA1106DAAM,Arara Azul,Solimões,Terra,Petrobras,823,2018-01-01
3SUC 0003 AM,Rio Urucu,Solimões,Terra,Petrobras,788,2018-01-01
7RUC112HPAAM,Rio Urucu,Solimões,Terra,Petrobras,773,2018-01-01
7LUC 0038HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,754,2018-01-01
7LUC65HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,591,2018-01-01
7RUC 0039HPAM,Rio Urucu,Solimões,Terra,Petrobras,565,2018-01-01
7RUC103DPAM,Rio Urucu,Solimões,Terra,Petrobras,544,2018-01-01
7LUC61HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,535,2018-01-01
7LUC 0032HAAM,Leste Do Urucu,Solimões,Terra,Petrobras,526,2018-01-01
3RUC 0016D AM,Rio Urucu,Solimões,Terra,Petrobras,504,2018-01-01
7RUC67HPAAM,Rio Urucu,Solimões,Terra,Petrobras,488,2018-01-01
9RUC75DAM,Rio Urucu,Solimões,Terra,Petrobras,479,2018-01-01
7LUC90HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,468,2018-01-01
7LUC88HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,431,2018-01-01
7LUC80DPAM,Leste Do Urucu,Solimões,Terra,Petrobras,422,2018-01-01
7LUC63HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,410,2018-01-01
4SMT 0003 AM,Araracanga,Solimões,Terra,Petrobras,402,2018-01-01
7LUC67HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,381,2018-01-01
1SMT 0002 AM,Araracanga,Solimões,Terra,Petrobras,374,2018-01-01
7ANB7DAL,Anambé,Alagoas,Terra,Petrobras,369,2018-01-01
7C 0207 BA,Candeias,Recôncavo,Terra e Mar,Petrobras,365,2018-01-01
7RUC89HAM,Rio Urucu,Solimões,Terra,Petrobras,360,2018-01-01
3BRSA1171DPAM,Rio Urucu,Solimões,Terra,Petrobras,352,2018-01-01
7LUC59HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,343,2018-01-01
7RUC 0018D AM,Rio Urucu,Solimões,Terra,Petrobras,335,2018-01-01
9RUC97DPAM,Rio Urucu,Solimões,Terra,Petrobras,335,2018-01-01
4LUC 0003 AM,Leste Do Urucu,Solimões,Terra,Petrobras,333,2018-01-01
3RUC 0008 AM,Rio Urucu,Solimões,Terra,Petrobras,297,2018-01-01
3GTE4DPABA,Tiê,Recôncavo,Terra,Maha Energy,1395,2018-02-01
1BRSA769AM,Arara Azul,Solimões,Terra,Petrobras,1083,2018-02-01
7LUC69HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,1000,2018-02-01
7RUC112HPAAM,Rio Urucu,Solimões,Terra,Petrobras,782,2018-02-01
3SUC 0003 AM,Rio Urucu,Solimões,Terra,Petrobras,750,2018-02-01
7LUC 0038HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,722,2018-02-01
9RUC75DAM,Rio Urucu,Solimões,Terra,Petrobras,704,2018-02-01
7LUC71HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,679,2018-02-01
7LUC88HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,657,2018-02-01
7LUC 0041HPAM,Leste Do Urucu,Solimões,Terra,Petrobras,573,2018-02-01
