Poço,Campo,Bacia,Localização,Gás natural (Mm³/d),mes,Operador
7RUC103DPAM,Rio Urucu,Solimões,Terra,473,2018-01-01,Petrobras
3RUC 0016D AM,Rio Urucu,Solimões,Terra,425,2018-01-01,Petrobras
7RUC67HPAAM,Rio Urucu,Solimões,Terra,406,2018-01-01,Petrobras
4SMT 0003 AM,Araracanga,Solimões,Terra,402,2018-01-01,Petrobras
1SMT 0002 AM,Araracanga,Solimões,Terra,372,2018-01-01,Petrobras
9RUC75DAM,Rio Urucu,Solimões,Terra,370,2018-01-01,Petrobras
7LUC65HPAM,Leste Do Urucu,Solimões,Terra,370,2018-01-01,Petrobras
7LUC 0038HPAM,Leste Do Urucu,Solimões,Terra,364,2018-01-01,Petrobras
7LUC80DPAM,Leste Do Urucu,Solimões,Terra,361,2018-01-01,Petrobras
7RUC 0039HPAM,Rio Urucu,Solimões,Terra,356,2018-01-01,Petrobras
7LUC63HPAM,Leste Do Urucu,Solimões,Terra,339,2018-01-01,Petrobras
3BRSA1106DAAM,Arara Azul,Solimões,Terra,334,2018-01-01,Petrobras
7GVB10MA,Gavião Branco,Parnaíba,Terra,325,2018-01-01,Parnaíba Gás Natural
7GVB6MA,Gavião Branco,Parnaíba,Terra,324,2018-01-01,Parnaíba Gás Natural
7RUC 0018D AM,Rio Urucu,Solimões,Terra,313,2018-01-01,Petrobras
7LUC61HPAM,Leste Do Urucu,Solimões,Terra,305,2018-01-01,Petrobras
3BRSA1171DPAM,Rio Urucu,Solimões,Terra,290,2018-01-01,Petrobras
7LUC 0022DPAM,Leste Do Urucu,Solimões,Terra,287,2018-01-01,Petrobras
3PGN4MA,Gavião Branco,Parnaíba,Terra,284,2018-01-01,Parnaíba Gás Natural
7GBSE2DMA,Gavião Branco,Parnaíba,Terra,281,2018-01-01,Parnaíba Gás Natural
7LUC59HPAM,Leste Do Urucu,Solimões,Terra,281,2018-01-01,Petrobras
1OGX121MA,Gavião Vermelho,Parnaíba,Terra,272,2018-01-01,Parnaíba Gás Natural
3BRSA515AM,Rio Urucu,Solimões,Terra,271,2018-01-01,Petrobras
7LUC 0042HPAM,Leste Do Urucu,Solimões,Terra,263,2018-01-01,Petrobras
9RUC97DPAM,Rio Urucu,Solimões,Terra,258,2018-01-01,Petrobras
7LUC57HPAM,Leste Do Urucu,Solimões,Terra,258,2018-01-01,Petrobras
7LUC69HPAM,Leste Do Urucu,Solimões,Terra,254,2018-01-01,Petrobras
7GVB5DMA,Gavião Branco,Parnaíba,Terra,247,2018-01-01,Parnaíba Gás Natural
4OGX111MA,Gavião Branco,Parnaíba,Terra,247,2018-01-01,Parnaíba Gás Natural
7GBSE1DMA,Gavião Branco,Parnaíba,Terra,245,2018-01-01,Parnaíba Gás Natural
9RUC75DAM,Rio Urucu,Solimões,Terra,573,2018-02-01,Petrobras
7LUC71HPAM,Leste Do Urucu,Solimões,Terra,529,2018-02-01,Petrobras
7LUC 0041HPAM,Leste Do Urucu,Solimões,Terra,458,2018-02-01,Petrobras
3RUC 0016D AM,Rio Urucu,Solimões,Terra,455,2018-02-01,Petrobras
7RUC103DPAM,Rio Urucu,Solimões,Terra,444,2018-02-01,Petrobras
7LUC63HPAM,Leste Do Urucu,Solimões,Terra,443,2018-02-01,Petrobras
7LUC 0042HPAM,Leste Do Urucu,Solimões,Terra,422,2018-02-01,Petrobras
4SMT 0003 AM,Araracanga,Solimões,Terra,414,2018-02-01,Petrobras
7RUC67HPAAM,Rio Urucu,Solimões,Terra,408,2018-02-01,Petrobras
7RUC58HPAM,Rio Urucu,Solimões,Terra,402,2018-02-01,Petrobras
1SMT 0002 AM,Araracanga,Solimões,Terra,393,2018-02-01,Petrobras
7LUC80DPAM,Leste Do Urucu,Solimões,Terra,365,2018-02-01,Petrobras
7LUC65HPAM,Leste Do Urucu,Solimões,Terra,361,2018-02-01,Petrobras
7RUC 0039HPAM,Rio Urucu,Solimões,Terra,359,2018-02-01,Petrobras
7LUC 0038HPAM,Leste Do Urucu,Solimões,Terra,357,2018-02-01,Petrobras
7RUC56HPAM,Rio Urucu,Solimões,Terra,320,2018-02-01,Petrobras
9LUC91DAM,Leste Do Urucu,Solimões,Terra,315,2018-02-01,Petrobras
7LUC61HPAM,Leste Do Urucu,Solimões,Terra,311,2018-02-01,Petrobras
3RUC 0008 AM,Rio Urucu,Solimões,Terra,311,2018-02-01,Petrobras
3BRSA1171DPAM,Rio Urucu,Solimões,Terra,309,2018-02-01,Petrobras
7RUC 0018D AM,Rio Urucu,Solimões,Terra,306,2018-02-01,Petrobras
7LUC59HPAM,Leste Do Urucu,Solimões,Terra,297,2018-02-01,Petrobras
7LUC 0022DPAM,Leste Do Urucu,Solimões,Terra,277,2018-02-01,Petrobras
9RUC97DPAM,Rio Urucu,Solimões,Terra,268,2018-02-01,Petrobras
7LUC57HPAM,Leste Do Urucu,Solimões,Terra,266,2018-02-01,Petrobras
3BRSA515AM,Rio Urucu,Solimões,Terra,265,2018-02-01,Petrobras
7LUC 0032HAAM,Leste Do Urucu,Solimões,Terra,265,2018-02-01,Petrobras
9RUC63DAM,Rio Urucu,Solimões,Terra,265,2018-02-01,Petrobras
7LUC88HPAM,Leste Do Urucu,Solimões,Terra,259,2018-02-01,Petrobras
7LUC69HPAM,Leste Do Urucu,Solimões,Terra,258,2018-02-01,Petrobras
7LUC71HPAM,Leste Do Urucu,Solimões,Terra,561.088135483871,2018-03-01,Petrobras
9RUC75DAM,Rio Urucu,Solimões,Terra,511.864160645161,2018-03-01,Petrobras
7LUC63HPAM,Leste Do Urucu,Solimões,Terra,481.860191612903,2018-03-01,Petrobras
7RUC103DPAM,Rio Urucu,Solimões,Terra,468.800148709677,2018-03-01,Petrobras
3RUC 0016D AM,Rio Urucu,Solimões,Terra,431.116509677419,2018-03-01,Petrobras
7LUC 0042HPAM,Leste Do Urucu,Solimões,Terra,404.190521290323,2018-03-01,Petrobras
4SMT 0003 AM,Araracanga,Solimões,Terra,398.408381935484,2018-03-01,Petrobras
7RUC67HPAAM,Rio Urucu,Solimões,Terra,397.369631612903,2018-03-01,Petrobras
7RUC58HPAM,Rio Urucu,Solimões,Terra,395.299329032258,2018-03-01,Petrobras
1SMT 0002 AM,Araracanga,Solimões,Terra,392.003163225806,2018-03-01,Petrobras
7LUC 0041HPAM,Leste Do Urucu,Solimões,Terra,389.343982903226,2018-03-01,Petrobras
3BRSA1106DAAM,Arara Azul,Solimões,Terra,376.536273225806,2018-03-01,Petrobras
7LUC80DPAM,Leste Do Urucu,Solimões,Terra,370.664278064516,2018-03-01,Petrobras
7RUC 0039HPAM,Rio Urucu,Solimões,Terra,368.758348709677,2018-03-01,Petrobras
7LUC65HPAM,Leste Do Urucu,Solimões,Terra,360.633497419355,2018-03-01,Petrobras
7LUC 0038HPAM,Leste Do Urucu,Solimões,Terra,338.073459032258,2018-03-01,Petrobras
3BRSA1171DPAM,Rio Urucu,Solimões,Terra,327.396339032258,2018-03-01,Petrobras
7LUC88HPAM,Leste Do Urucu,Solimões,Terra,318.993709032258,2018-03-01,Petrobras
7RUC 0018D AM,Rio Urucu,Solimões,Terra,309.487386129032,2018-03-01,Petrobras
7LUC61HPAM,Leste Do Urucu,Solimões,Terra,309.344603225806,2018-03-01,Petrobras
3RUC 0008 AM,Rio Urucu,Solimões,Terra,306.216162903226,2018-03-01,Petrobras
7RUC56HPAM,Rio Urucu,Solimões,Terra,294.699523870968,2018-03-01,Petrobras
9LUC91DAM,Leste Do Urucu,Solimões,Terra,294.35882,2018-03-01,Petrobras
7LUC59HPAM,Leste Do Urucu,Solimões,Terra,287.745992258065,2018-03-01,Petrobras
7LUC 0022DPAM,Leste Do Urucu,Solimões,Terra,280.130951612903,2018-03-01,Petrobras
3BRSA515AM,Rio Urucu,Solimões,Terra,275.486252903226,2018-03-01,Petrobras
9RUC97DPAM,Rio Urucu,Solimões,Terra,264.107528064516,2018-03-01,Petrobras
7RUC 0024D AM,Rio Urucu,Solimões,Terra,249.016564516129,2018-03-01,Petrobras
3BRSA1164DPAM,Rio Urucu,Solimões,Terra,245.223740967742,2018-03-01,Petrobras
7LUC 0032HAAM,Leste Do Urucu,Solimões,Terra,242.306927096774,2018-03-01,Petrobras
9RUC75DAM,Rio Urucu,Solimões,Terra,541.493666666667,2018-04-01,Petrobras
7LUC71HPAM,Leste Do Urucu,Solimões,Terra,510.634922,2018-04-01,Petrobras
7RUC103DPAM,Rio Urucu,Solimões,Terra,462.604541333333,2018-04-01,Petrobras
7LUC 0042HPAM,Leste Do Urucu,Solimões,Terra,453.566287333333,2018-04-01,Petrobras
3RUC 0016D AM,Rio Urucu,Solimões,Terra,450.144904333333,2018-04-01,Petrobras
7LUC63HPAM,Leste Do Urucu,Solimões,Terra,429.873801,2018-04-01,Petrobras
4SMT 0003 AM,Araracanga,Solimões,Terra,429.327717666667,2018-04-01,Petrobras
7LUC 0041HPAM,Leste Do Urucu,Solimões,Terra,400.784912,2018-04-01,Petrobras
7RUC67HPAAM,Rio Urucu,Solimões,Terra,400.114419333333,2018-04-01,Petrobras
1SMT 0002 AM,Araracanga,Solimões,Terra,392.250977,2018-04-01,Petrobras
7RUC56HPAM,Rio Urucu,Solimões,Terra,369.9919,2018-04-01,Petrobras
7LUC65HPAM,Leste Do Urucu,Solimões,Terra,358.307226333333,2018-04-01,Petrobras
7LUC 0038HPAM,Leste Do Urucu,Solimões,Terra,352.107861666667,2018-04-01,Petrobras
7LUC80DPAM,Leste Do Urucu,Solimões,Terra,345.448667333333,2018-04-01,Petrobras
7RUC 0039HPAM,Rio Urucu,Solimões,Terra,341.115947333333,2018-04-01,Petrobras
7LUC61HPAM,Leste Do Urucu,Solimões,Terra,324.893676,2018-04-01,Petrobras
7RUC 0018D AM,Rio Urucu,Solimões,Terra,323.937902666667,2018-04-01,Petrobras
7LUC88HPAM,Leste Do Urucu,Solimões,Terra,309.818205,2018-04-01,Petrobras
3RUC 0008 AM,Rio Urucu,Solimões,Terra,299.447970333333,2018-04-01,Petrobras
7RUC 0024D AM,Rio Urucu,Solimões,Terra,296.940615333333,2018-04-01,Petrobras
3BRSA1171DPAM,Rio Urucu,Solimões,Terra,296.396678333333,2018-04-01,Petrobras
7LUC 0022DPAM,Leste Do Urucu,Solimões,Terra,293.713209666667,2018-04-01,Petrobras
9LUC91DAM,Leste Do Urucu,Solimões,Terra,289.824319333333,2018-04-01,Petrobras
3BRSA515AM,Rio Urucu,Solimões,Terra,280.712273666667,2018-04-01,Petrobras
7LUC59HPAM,Leste Do Urucu,Solimões,Terra,278.361249666667,2018-04-01,Petrobras
9RUC97DPAM,Rio Urucu,Solimões,Terra,267.359402666667,2018-04-01,Petrobras
7RUC86HAM,Rio Urucu,Solimões,Terra,261.329217333333,2018-04-01,Petrobras
7RUC96HPAM,Rio Urucu,Solimões,Terra,259.236357333333,2018-04-01,Petrobras
9RUC63DAM,Rio Urucu,Solimões,Terra,253.339349666667,2018-04-01,Petrobras
7LUC 0032HAAM,Leste Do Urucu,Solimões,Terra,249.476362666667,2018-04-01,Petrobras
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,572.093228064516,2018-05-01,Petrobras
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,517.923549354839,2018-05-01,Petrobras
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,505.455692258065,2018-05-01,Petrobras
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,451.482250322581,2018-05-01,Petrobras
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,434.09782516129,2018-05-01,Petrobras
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,431.914932258065,2018-05-01,Petrobras
4-SMT-3-AM,Araracanga,Solimões,Terra,428.641087096774,2018-05-01,Petrobras
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,421.76359,2018-05-01,Petrobras
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,403.373538387097,2018-05-01,Petrobras
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,398.733935483871,2018-05-01,Petrobras
1-SMT-2-AM,Araracanga,Solimões,Terra,383.975371290323,2018-05-01,Petrobras
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,377.91822580645203,2018-05-01,Petrobras
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,359.383416774194,2018-05-01,Petrobras
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,355.871441290323,2018-05-01,Petrobras
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,349.66955516129,2018-05-01,Petrobras
7-LUC-61HP-AM,Leste Do Urucu,Solimões,Terra,334.253000322581,2018-05-01,Petrobras
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,329.074168387097,2018-05-01,Petrobras
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,327.293779032258,2018-05-01,Petrobras
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,321.724540322581,2018-05-01,Petrobras
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,317.566167096774,2018-05-01,Petrobras
3-RUC-8-AM,Rio Urucu,Solimões,Terra,304.744983225806,2018-05-01,Petrobras
7-RUC-86H-AM,Rio Urucu,Solimões,Terra,300.505539354839,2018-05-01,Petrobras
7-RUC-83H-AM,Rio Urucu,Solimões,Terra,293.899525806452,2018-05-01,Petrobras
7-LUC-22DP-AM,Leste Do Urucu,Solimões,Terra,293.164630645161,2018-05-01,Petrobras
7-RUC-24D-AM,Rio Urucu,Solimões,Terra,291.470604193548,2018-05-01,Petrobras
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,289.137421935484,2018-05-01,Petrobras
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,286.243480967742,2018-05-01,Petrobras
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,272.656512580645,2018-05-01,Petrobras
3-BRSA-515-AM,Rio Urucu,Solimões,Terra,270.791452580645,2018-05-01,Petrobras
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,264.120834516129,2018-05-01,Petrobras
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,516.571674333333,2018-06-01,Petrobras
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,507.187951,2018-06-01,Petrobras
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,476.462148666667,2018-06-01,Petrobras
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,462.586938333333,2018-06-01,Petrobras
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,442.016725333333,2018-06-01,Petrobras
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,438.702953666667,2018-06-01,Petrobras
4-SMT-3-AM,Araracanga,Solimões,Terra,429.007417666667,2018-06-01,Petrobras
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,426.113123,2018-06-01,Petrobras
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,399.407782666667,2018-06-01,Petrobras
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,387.664159,2018-06-01,Petrobras
1-SMT-2-AM,Araracanga,Solimões,Terra,382.019425333333,2018-06-01,Petrobras
7-GVB-6-MA,Gavião Branco,Parnaíba,Terra,379.336464333333,2018-06-01,Parnaíba Gás Natural
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,355.770052333333,2018-06-01,Petrobras
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,345.316791,2018-06-01,Petrobras
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,333.039430333333,2018-06-01,Petrobras
7-LUC-61HP-AM,Leste Do Urucu,Solimões,Terra,324.724383,2018-06-01,Petrobras
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,321.294844,2018-06-01,Petrobras
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,315.982765,2018-06-01,Petrobras
3-RUC-8-AM,Rio Urucu,Solimões,Terra,314.312998333333,2018-06-01,Petrobras
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,304.029198666667,2018-06-01,Petrobras
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,291.307340666667,2018-06-01,Parnaíba Gás Natural
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,291.137758,2018-06-01,Petrobras
7-GVB-10-MA,Gavião Branco,Parnaíba,Terra,288.606949333333,2018-06-01,Parnaíba Gás Natural
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,287.173240333333,2018-06-01,Parnaíba Gás Natural
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,281.958666333333,2018-06-01,Petrobras
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,277.598773333333,2018-06-01,Parnaíba Gás Natural
3-BRSA-515-AM,Rio Urucu,Solimões,Terra,269.133001333333,2018-06-01,Petrobras
7-LUC-69HP-AM,Leste Do Urucu,Solimões,Terra,267.555615,2018-06-01,Petrobras
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,264.260206333333,2018-06-01,Petrobras
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,262.414086,2018-06-01,Petrobras
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,585.936768387097,2018-07-01,Petrobras
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,525.960685806452,2018-07-01,Petrobras
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,492.575291935484,2018-07-01,Petrobras
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,474.755926129032,2018-07-01,Petrobras
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,439.850323225806,2018-07-01,Petrobras
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,439.530368387097,2018-07-01,Petrobras
4-SMT-3-AM,Araracanga,Solimões,Terra,425.294687096774,2018-07-01,Petrobras
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,413.299467096774,2018-07-01,Petrobras
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,394.616653548387,2018-07-01,Parnaíba Gás Natural
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,394.463296451613,2018-07-01,Petrobras
7-GVB-6-MA,Gavião Branco,Parnaíba,Terra,394.014130322581,2018-07-01,Parnaíba Gás Natural
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,392.179502258065,2018-07-01,Parnaíba Gás Natural
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,390.213942580645,2018-07-01,Petrobras
7-LUC-61HP-AM,Leste Do Urucu,Solimões,Terra,384.919729677419,2018-07-01,Petrobras
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,380.834113225806,2018-07-01,Parnaíba Gás Natural
1-SMT-2-AM,Araracanga,Solimões,Terra,365.005304516129,2018-07-01,Petrobras
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,362.777423548387,2018-07-01,Petrobras
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,351.755923548387,2018-07-01,Petrobras
7-GBSE-2D-MA,Gavião Branco,Parnaíba,Terra,343.42535,2018-07-01,Parnaíba Gás Natural
3-PGN-4-MA,Gavião Branco,Parnaíba,Terra,342.063030967742,2018-07-01,Parnaíba Gás Natural
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,335.03229516129,2018-07-01,Petrobras
3-RUC-8-AM,Rio Urucu,Solimões,Terra,327.889024516129,2018-07-01,Petrobras
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,322.82356516129,2018-07-01,Petrobras
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,322.710014516129,2018-07-01,Petrobras
3-BRSA-1171DP-AM,Rio Urucu,Solimões,Terra,312.70838,2018-07-01,Petrobras
7-LUC-86HP-AM,Leste Do Urucu,Solimões,Terra,312.649630967742,2018-07-01,Petrobras
1-OGX-121-MA,Gavião Vermelho,Parnaíba,Terra,311.855119677419,2018-07-01,Parnaíba Gás Natural
7-GVB-10-MA,Gavião Branco,Parnaíba,Terra,297.635653548387,2018-07-01,Parnaíba Gás Natural
7-GVB-11D-MA,Gavião Branco,Parnaíba,Terra,297.635653548387,2018-07-01,Parnaíba Gás Natural
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,297.491990322581,2018-07-01,Parnaíba Gás Natural
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,582.196280645161,2018-08-01,Petrobras
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,565.98799483871,2018-08-01,Petrobras
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,538.617613548387,2018-08-01,Petrobras
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,484.873960645161,2018-08-01,Petrobras
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,472.170473548387,2018-08-01,Petrobras
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,439.337944193548,2018-08-01,Petrobras
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,435.557520645161,2018-08-01,Petrobras
4-SMT-3-AM,Araracanga,Solimões,Terra,412.192548064516,2018-08-01,Petrobras
