Instalação	Petróleo	Gás natural	Produção	No poços	Campos produtores
FPSO Guanabara	179593	11562	252316	5		Anc_Mero / Mero
FPSO Carioca (Mv-30)	163438	5949	200859	4		Sépia / Sépia Leste / Sépia_Eco
Petrobras 77	153768	6222	192903	5		Búzios / Búzios_Eco / Tambuatá
Petrobras 75 (P-75)	142875	6862	186033	4		Búzios / Búzios_Eco / Tambuatá
Petrobras 70	148814	5650	184353	5		Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Almirante Barroso	146751	5727	182773	3		Búzios / Búzios_Eco / Tambuatá
Petrobras 76	140952	6035	178911	5		Búzios / Búzios_Eco / Tambuatá
Petrobras 68	150328	4428	178180	10		Berbigão / Sul De Berbigão / Sururu
Petrobras 71	149990	1958	162308	4		Itapu / Itapu_Eco
FPSO Cidade de Saquarema	110205	5716	146160	7		Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá	115975	4292	142973	5		Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Mangaratiba	104437	6018	142289	8		Tupi
FPSO Cidade de Itaguaí	102648	6131	141214	8		Tupi
FPSO Cidade de Paraty	107371	4609	136359	6		Anc_Tupi / Sul De Tupi / Tupi
Petrobras 66 (P-66)	100021	5412	134061	7		Anc_Tupi / Sul De Tupi / Tupi
Petrobras 69	96085	4771	126096	6		Anc_Tupi / Sul De Tupi / Tupi
Petrobras 74 (P-74)	92238	3624	115030	5		Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Ilha Bela	78193	3878	102582	6		Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 58	71297	2043	84147	13		Jubarte
FPSO Cidade de São Paulo	56826	2637	73416	6		Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Campos dos Goytacazes	64841	723	69387	12		Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 52	52042	995	58300	15		Roncador
Peregrino C	50482	191	51682	6		Peregrino / Pitangola
Polo Arara	5631	7255	51262	33		Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Pioneiro de Libra	35771	2451	51190	1		Anc_Mero / Mero
FPSO Sepetiba	32693	2143	46173	1		Anc_Mero / Mero
Peregrino A	44244	46	44531	14		Peregrino
FPSO Cidade de Angra dos Reis	33271	1577	43188	5		Anc_Tupi / Sul De Tupi / Tupi
FPSO Frade	39457	432	42176	12		Frade
