Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
PETROBRAS 58,146914,11,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-01-01,4650,176161
FPSO CIDADE DE ILHA BELA,142769,6,Sapinhoá,2018-01-01,5307,176148
FPSO CIDADE DE SAQUAREMA,141174,7,Lula,2018-01-01,5326,174671
FPSO CIDADE DE MARICÁ,136485,7,Lula,2018-01-01,4868,167104
FPSO CIDADE DE ITAGUAÍ,132256,6,Lula,2018-01-01,6703,174415
FPSO CIDADE DE MANGARATIBA,127617,6,Lula,2018-01-01,6735,169979
FPSO CIDADE DE PARATY,119949,5,Lula,2018-01-01,4133,145944
FPSO CIDADE DE SÃO PAULO,117934,6,Sapinhoá,2018-01-01,4860,148505
FPSO CIDADE DE ANGRA DOS REIS,98531,6,Lula,2018-01-01,4436,126434
PETROBRAS 52,88736,16,Roncador,2018-01-01,1758,99792
PETROBRAS 66 (P-66),86223,5,Lula,2018-01-01,3162,106113
PETROBRAS 40,70909,16,Marlim/Marlim Sul,2018-01-01,1320,79212
PETROBRAS 57,63635,16,Jubarte³,2018-01-01,501,66785
PEREGRINO A,51376,16,Peregrino,2018-01-01,94,51964
PETROBRAS 54,50829,12,Roncador,2018-01-01,639,54851
PETROBRAS 55,49859,11,Roncador,2018-01-01,825,55046
PETROBRAS 56,48793,10,Marlim Sul,2018-01-01,1431,57793
PETROBRAS 43,48787,19,Barracuda/Caratinga,2018-01-01,628,52738
FPSO ESPIRITO SANTO,45943,19,Argonauta/Ostra,2018-01-01,421,48591
PETROBRAS 50,44897,16,Albacora/Albacora Leste,2018-01-01,866,50343
PETROBRAS 51,43344,12,Marlim Sul,2018-01-01,683,47643
PETROBRAS 53,43136,15,Marlim Leste,2018-01-01,675,47384
FPSO CIDADE DE ANCHIETA,41704,6,Baleia Azul³/Jubarte³/Pirambu³,2018-01-01,1428,50688
FPSO CIDADE DE CARAGUATATUBA,39240,2,Lapa,2018-01-01,1071,45977
FPSO CIDADE DE ITAJAÍ,33790,6,Baúna,2018-01-01,236,35276
PETROBRAS 19,32606,10,Marlim/Marlim Sul,2018-01-01,390,35059
PETROBRAS 48,31655,11,Barracuda/Caratinga,2018-01-01,527,34972
PETROBRAS 62,29295,13,Roncador,2018-01-01,2098,42488
PETROBRAS 25,28974,12,Albacora,2018-01-01,360,31241
FPSO CIDADE DE NITEROI,28328,5,Marlim Leste,2018-01-01,482,31361
FPSO CIDADE DE SAQUAREMA,150337,7,Lula,2018-02-01,5762,186579
FPSO CIDADE DE MARICÁ,149850,7,Lula,2018-02-01,5421,183945
FPSO CIDADE DE ILHA BELA,147136,6,Sapinhoá,2018-02-01,5625,182515
PETROBRAS 58,141696,11,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-02-01,4532,170204
FPSO CIDADE DE ITAGUAÍ,130283,5,Lula,2018-02-01,6661,172177
FPSO CIDADE DE MANGARATIBA,124697,6,Lula,2018-02-01,6761,167224
FPSO CIDADE DE SÃO PAULO,118340,6,Sapinhoá,2018-02-01,4952,149488
FPSO CIDADE DE PARATY,118248,6,Lula,2018-02-01,4078,143895
PETROBRAS 66 (P-66),89157,5,Lula,2018-02-01,3544,111449
FPSO CIDADE DE ANGRA DOS REIS,87692,6,Lula,2018-02-01,3928,112400
PETROBRAS 52,86184,16,Roncador,2018-02-01,1808,97554
PETROBRAS 40,71727,15,Marlim/Marlim Sul,2018-02-01,1246,79565
PETROBRAS 57,63024,16,Jubarte³,2018-02-01,498,66159
PEREGRINO A,53812,16,Peregrino,2018-02-01,96,54418
PETROBRAS 54,50773,12,Roncador,2018-02-01,589,54478
PETROBRAS 55,50741,12,Roncador,2018-02-01,851,56095
PETROBRAS 43,49314,19,Barracuda/Caratinga,2018-02-01,636,53314
PETROBRAS 56,47738,10,Marlim Sul,2018-02-01,1201,55291
FPSO ESPIRITO SANTO,44953,19,Argonauta/Ostra,2018-02-01,414,47557
PETROBRAS 50,44264,16,Albacora/Albacora Leste,2018-02-01,825,49450
FPSO CIDADE DE ANCHIETA,43757,5,Baleia Azul³/Jubarte³/Pirambu³,2018-02-01,1554,53531
PETROBRAS 53,41956,15,Marlim Leste,2018-02-01,640,45982
PETROBRAS 51,39048,12,Marlim Sul,2018-02-01,591,42763
FPSO CIDADE DE CARAGUATATUBA,38319,2,Lapa,2018-02-01,1031,44804
PETROBRAS 62,35155,13,Roncador,2018-02-01,1901,47114
FPSO CIDADE DE ITAJAÍ,33994,6,Baúna,2018-02-01,237,35484
FPSO CIDADE DE NITEROI,33891,5,Marlim Leste,2018-02-01,570,37476
PETROBRAS 19,31376,10,Marlim/Marlim Sul,2018-02-01,426,34055
PETROBRAS 25,28376,13,Albacora,2018-02-01,420,31019
PETROBRAS 37,28176,8,Marlim/Marlim Sul,2018-02-01,453,31023
FPSO CIDADE DE MARICÁ,148795.35084141,8,Lula,2018-03-01,5314.96564806451,182225.474924262
