Instalação,Gás natural (Mm³/d),Nº poços produtores,Campos produtores,mes,Petróleo (bbl/d),Produção (boe/d)
PLATAFORMA DE MEXILHÃO,7363,7,Mexilhão,2018-01-01,5695,52009
POLO ARARA,6749,33,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2018-01-01,10299,52749
FPSO CIDADE DE MANGARATIBA,6735,6,Lula,2018-01-01,127617,169979
FPSO CIDADE DE ITAGUAÍ,6703,6,Lula,2018-01-01,132256,174415
FPSO CIDADE DE SAQUAREMA,5326,7,Lula,2018-01-01,141174,174671
FPSO CIDADE DE ILHA BELA,5307,6,Sapinhoá,2018-01-01,142769,176148
FPSO CIDADE DE MARICÁ,4868,7,Lula,2018-01-01,136485,167104
FPSO CIDADE DE SÃO PAULO,4860,6,Sapinhoá,2018-01-01,117934,148505
PETROBRAS 58,4650,11,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-01-01,146914,176161
PLATAFORMA DE MANATI 1,4441,6,Manati,2018-01-01,422,28353
FPSO CIDADE DE ANGRA DOS REIS,4436,6,Lula,2018-01-01,98531,126434
FPSO CIDADE DE PARATY,4133,5,Lula,2018-01-01,119949,145944
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,4053,21,Gavião Branco/Gavião Caboclo,2018-01-01,19,25511
PETROBRAS 66 (P-66),3162,5,Lula,2018-01-01,86223,106113
PETROBRAS 62,2098,13,Roncador,2018-01-01,29295,42488
ESTAÇÃO COLETORA DE GAVIÃO REAL,2081,21,Gavião Azul/Gavião Real/Gavião Vermelho,2018-01-01,31,13118
PONTO DE COLETA ÁREA DO LUC-12,1814,11,Leste Do Urucu,2018-01-01,3580,14990
PLATAFORMA DE PIRANEMA,1790,4,Piranema,2018-01-01,4047,15303
PETROBRAS 52,1758,16,Roncador,2018-01-01,88736,99792
FPSO CIDADE DE SANTOS,1745,9,Tambaú/Uruguá,2018-01-01,8545,19523
FPSO CIDADE DE VITÓRIA,1553,9,Canapu/Golfinho,2018-01-01,23777,33545
PETROBRAS 56,1431,10,Marlim Sul,2018-01-01,48793,57793
FPSO CIDADE DE ANCHIETA,1428,6,Baleia Azul³/Jubarte³/Pirambu³,2018-01-01,41704,50688
PETROBRAS 40,1320,16,Marlim/Marlim Sul,2018-01-01,70909,79212
FPSO CIDADE DE CARAGUATATUBA,1071,2,Lapa,2018-01-01,39240,45977
PEROA,946,5,Cangoá/Peroá,2018-01-01,429,6382
PETROBRAS 50,866,16,Albacora/Albacora Leste,2018-01-01,44897,50343
PETROBRAS 55,825,11,Roncador,2018-01-01,49859,55046
FPSO PIONEIRO DE LIBRA,807,1,Mero,2018-01-01,13565,18642
PONTO DE COLETA ÁREA DO LUC-43,707,3,Leste Do Urucu,2018-01-01,1247,5694
POLO ARARA,7800,34,Arara Azul/Araracanga/Carapanúba/ Cupiúba/Rio Urucu/Sudoeste Urucu,2018-02-01,11186,60244
PLATAFORMA DE MEXILHÃO,7423,7,Mexilhão,2018-02-01,5618,52306
FPSO CIDADE DE MANGARATIBA,6761,6,Lula,2018-02-01,124697,167224
FPSO CIDADE DE ITAGUAÍ,6661,5,Lula,2018-02-01,130283,172177
FPSO CIDADE DE SAQUAREMA,5762,7,Lula,2018-02-01,150337,186579
FPSO CIDADE DE ILHA BELA,5625,6,Sapinhoá,2018-02-01,147136,182515
FPSO CIDADE DE MARICÁ,5421,7,Lula,2018-02-01,149850,183945
FPSO CIDADE DE SÃO PAULO,4952,6,Sapinhoá,2018-02-01,118340,149488
PLATAFORMA DE MANATI 1,4774,6,Manati,2018-02-01,420,30446
PETROBRAS 58,4532,11,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-02-01,141696,170204
FPSO CIDADE DE PARATY,4078,6,Lula,2018-02-01,118248,143895
FPSO CIDADE DE ANGRA DOS REIS,3928,6,Lula,2018-02-01,87692,112400
PETROBRAS 66 (P-66),3544,5,Lula,2018-02-01,89157,111449
PONTO DE COLETA ÁREA DO LUC-12,2065,12,Leste Do Urucu,2018-02-01,3851,16840
PETROBRAS 62,1901,13,Roncador,2018-02-01,35155,47114
PETROBRAS 52,1808,16,Roncador,2018-02-01,86184,97554
FPSO CIDADE DE SANTOS,1713,8,Tambaú/Uruguá,2018-02-01,8177,18948
PLATAFORMA DE PIRANEMA,1680,4,Piranema,2018-02-01,3847,14413
FPSO CIDADE DE ANCHIETA,1554,5,Baleia Azul³/Jubarte³/Pirambu³,2018-02-01,43757,53531
PETROBRAS 40,1246,15,Marlim/Marlim Sul,2018-02-01,71727,79565
PETROBRAS 56,1201,10,Marlim Sul,2018-02-01,47738,55291
FPSO PIONEIRO DE LIBRA,1087,1,Mero,2018-02-01,16318,23155
FPSO CIDADE DE CARAGUATATUBA,1031,2,Lapa,2018-02-01,38319,44804
PEROA,968,4,Cangoá/Peroá,2018-02-01,346,6432
PONTO DE COLETA ÁREA DO LUC-04,907,6,Leste Do Urucu,2018-02-01,1289,6991
PONTO DE COLETA ÁREA DO LUC-43,894,3,Leste Do Urucu,2018-02-01,1306,6929
FPSO CIDADE DE VITÓRIA,859,8,Canapu/Golfinho,2018-02-01,22472,27876
PONTO DE COLETA ÁREA DO LUC-09,859,3,Leste Do Urucu,2018-02-01,1136,6540
PETROBRAS 55,851,12,Roncador,2018-02-01,50741,56095
PETROBRAS 50,825,16,Albacora/Albacora Leste,2018-02-01,44264,49450
POLO ARARA,7727.0501783871,33,Arara Azul/Araracanga/Carapanaúba/ Cupiúba/Rio Urucu/Sudoeste Urucu,2018-03-01,10421.0509464587,59022.7284289797
FPSO CIDADE DE MANGARATIBA,6591.9219432258,6,Lula,2018-03-01,123231.385915561,164693.322473282
FPSO CIDADE DE ITAGUAÍ,6574.50272935484,6,Lula,2018-03-01,129350.790759865,170703.163771988
PLATAFORMA DE MEXILHÃO,6536.59307741935,7,Mexilhão,2018-03-01,4997.08766938064,46111.0161736637
FPSO CIDADE DE SAQUAREMA,5735.87134516129,7,Lula,2018-03-01,148737.508937061,184815.04988257
FPSO CIDADE DE ILHA BELA,5492.07217419355,6,Sapinhoá,2018-03-01,142177.490728432,176721.581210397
FPSO CIDADE DE MARICÁ,5314.96564806451,8,Lula,2018-03-01,148795.35084141,182225.474924262
FPSO CIDADE DE SÃO PAULO,4743.92979580645,6,Sapinhoá,2018-03-01,113218.272161787,143056.689230748
PLATAFORMA DE MANATI 1,4731.35036612903,6,Manati,2018-03-01,402.106741711613,30161.4015880937
PETROBRAS 58,4600.26036225807,12,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-03-01,148404.360020042,177339.123649176
FPSO CIDADE DE PARATY,3690.38492741935,5,Lula,2018-03-01,108513.73167139001,131725.551691722
PETROBRAS 66 (P-66),3658.25938387097,6,Lula,2018-03-01,103094.822966787,126104.579422053
FPSO CIDADE DE ANGRA DOS REIS,3204.38534741935,6,Lula,2018-03-01,70083.5018431032,90238.4768451549
PETROBRAS 62,2211.33352322581,13,Roncador,2018-03-01,35027.1727651484,48936.0404728693
PONTO DE COLETA ÁREA DO LUC-12,2197.52601193548,12,Leste Do Urucu,2018-03-01,3843.36202387742,17665.3831090093
FPSO CIDADE DE SANTOS,2175.92465064516,9,Tambaú/Uruguá,2018-03-01,9686.63203535484,23372.7846622293
PETROBRAS 52,1760.23154451613,16,Roncador,2018-03-01,86285.4619725516,97356.9839435646
FPSO PIONEIRO DE LIBRA,1662.87887258065,1,Mero,2018-03-01,25573.9249637506,36033.1171252971
FPSO CIDADE DE ANCHIETA,1546.14282064516,4,Baleia Azul³/Jubarte³,2018-03-01,43638.0038139871,53362.9483887092
PETROBRAS 56,1500.98676129032,10,Marlim Sul,2018-03-01,46326.3294771161,55767.2510181476
PLATAFORMA DE PIRANEMA,1495.35362935484,4,Piranema,2018-03-01,3420.6624442258,12826.1526556782
PETROBRAS 40,1174.49254870968,15,Marlim/Marlim Sul,2018-03-01,69162.2881546193,76549.623132419
FPSO CIDADE DE CARAGUATATUBA,1070.55450193548,2,Lapa,2018-03-01,38329.4975066516,45063.0819184704
FPSO CIDADE DE VITÓRIA,979.28190032258,8,Canapu/Golfinho,2018-03-01,21614.5506184581,27774.047707926
PONTO DE COLETA ÁREA DO LUC-09,906.285727741936,4,Leste Do Urucu,2018-03-01,1088.24994078581,6788.61497399431
PONTO DE COLETA ÁREA DO LUC-43,861.655289354839,3,Leste Do Urucu,2018-03-01,1310.27820481484,6729.9262603518
PETROBRAS 55,837.698145806451,12,Roncador,2018-03-01,48235.422753171,53504.3849276458
PETROBRAS 50,818.551702258064,16,Albacora/Albacora Leste,2018-03-01,43011.6394134976,48160.1740958774
PLATAFORMA DE MERLUZA,759.86258,3,Lagosta/Merluza,2018-03-01,849.156813535484,5628.54806784529
PONTO DE COLETA ÁREA DO LUC-05,724.167118709677,2,Leste Do Urucu,2018-03-01,1196.71933741258,5751.59292234389
POLO ARARA,7925.826958,36,Arara Azul/Araracanga/Carapanaúba/ Cupiúba/Rio Urucu/Sudoeste Urucu,2018-04-01,10568.9258268913,60420.8714855893
PLATAFORMA DE MEXILHÃO,7037.41268733333,7,Mexilhão,2018-04-01,5383.36451486667,49647.3532097827
FPSO CIDADE DE MANGARATIBA,6773.778277,6,Lula,2018-04-01,124373.748985483,166979.527329941
FPSO CIDADE DE ITAGUAÍ,6373.53685666667,6,Lula,2018-04-01,129284.939560253,169373.275416684
FPSO CIDADE DE SAQUAREMA,5760.70203366667,7,Lula,2018-04-01,149639.909465673,185873.63072405
FPSO CIDADE DE ILHA BELA,5645.270343,7,Sapinhoá,2018-04-01,144041.093799067,179548.771655171
PETROBRAS 66 (P-66),5461.89794433333,6,Lula,2018-04-01,136653.552612213,171007.852921461
FPSO CIDADE DE MARICÁ,5349.87574633333,7,Lula,2018-04-01,146073.826208453,179723.528176498
PETROBRAS 58,4551.24588,12,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-04-01,144725.84864094,173352.320489423
PLATAFORMA DE MANATI 1,4388.80611166667,6,Manati,2018-04-01,369.324853919667,27974.0814231418
FPSO CIDADE DE ANGRA DOS REIS,4367.72771433333,6,Lula,2018-04-01,96890.60449837,124362.781953261
FPSO CIDADE DE PARATY,3920.622429,6,Lula,2018-04-01,114862.493287593,139522.463447742
PONTO DE COLETA ÁREA DO LUC-12,2360.654299,12,Leste Do Urucu,2018-04-01,3715.67338912933,18563.7404055225
FPSO PIONEIRO DE LIBRA,2352.15684,1,Mero,2018-04-01,36085.0088128448,50879.6284266452
