Instalação	Variação Absoluta Petróleo (bbl/d)	Variação Petróleo	Variação Absoluta Gás (mil m3/d)	Variação Gás	Variação Absoluta OE (bbl/d)	Variação OE
Plataforma de Carapeba-Iii	1843,04	99,31%	8,02	74,28%	1893,48	98,42%
FPSO Sepetiba	12688,53	63,43%	838,53	64,27%	17962,74	63,67%
FPSO Cidade de Maricá	39728,17	52,10%	1462,22	51,67%	48925,27	52,02%
Plataforma de Arabaiana 1	10,8	52,59%	11,18	34,39%	81,1	36,05%
Plataforma de Pargo-1A	1082,59	30,76%	0,23	1,88%	1084,07	30,13%
Plataforma de Manati 1	59,12	39,66%	420,61	27,75%	2704,69	27,93%
FPSO Cidade de Paraty	13567,69	14,46%	595,52	14,84%	17313,39	14,54%
FPSO Cidade de Santos	586,26	13,31%	7,16	6,56%	631,28	12,40%
Plataforma de Vermelho-Iii	160,82	10,75%	0,53	8,73%	164,14	10,70%
FPSO Cidade de Vitória	822,11	9,40%	28,94	28,18%	1004,14	10,69%
Petrobras 66 (P-66)	8782,95	9,63%	523,45	10,71%	12075,32	9,90%
Petrobras 40	4097,9	12,65%	-160,95	-49,46%	3085,57	8,96%
Petrobras 75 (P-75)	11009,14	8,35%	557,08	8,84%	14513,09	8,46%
Plataforma de Pampo-1	723,83	7,19%	31,91	17,77%	924,52	8,25%
FPSO Cidade de Mangaratiba	7516,24	7,76%	525,22	9,56%	10819,77	8,23%
Plataforma de Pescada 1B	5,43	3,30%	6,25	8,37%	44,74	7,05%
FPSO Carioca (Mv-30)	8914,21	5,77%	361,51	6,47%	11188,06	5,90%
Petrobras 69	2784,84	2,98%	499,53	11,69%	5926,77	4,93%
FPSO Cidade de Itajaí	1064,39	4,50%	21,82	12,25%	1201,63	4,85%
Peregrino C	2132,34	4,41%	2,14	1,13%	2145,8	4,33%
Petrobras 57	1546,35	4,21%	17,15	5,07%	1654,19	4,26%
FPSO Almirante Barroso	4520,42	3,18%	258,4	4,73%	6145,74	3,48%
Peregrino A	1488,1	3,48%	-1,99	-4,17%	1475,6	3,43%
FPSO Espirito Santo	989,59	3,38%	-9,81	-3,10%	927,86	2,97%
Petrobras 58	861,94	1,22%	73,72	3,74%	1325,61	1,60%
Petrobras 71	2069,79	1,40%	9,35	0,48%	2128,58	1,33%
Plataforma de Carapeba-Ii	43,61	1,51%	-1,18	-8,49%	36,18	1,22%
Polvo A	96,08	1,58%	-3,46	-12,77%	74,32	1,19%
FPSO Cidade de São Paulo	-82,63	-0,15%	96,58	3,80%	524,83	0,72%
Peregrino B	44,84	0,44%	-0,41	-4,11%	42,24	0,41%
FPSO Guanabara	449,83	0,25%	92,58	0,81%	1032,16	0,41%
Petrojarl 1	77,34	0,38%	0,79	0,58%	82,33	0,39%
FPSO Cidade de Ilha Bela	479,74	0,62%	-65,27	-1,66%	69,22	0,07%
Total	130165,38	7,59%	6207,35	9,45%	169208,45	7,95%
