Instalação,Variação Absoluta,Variação,Variação Absoluta,Variação,Variação Absoluta,Variação OE
"",Petróleo (bbl/d),Petróleo,Gás (mil m3/d),Gás,OE (bbl/d),
"",,,,,,
Plataforma de Carapeba-Iii,"1.843,04","99,31%","8,02","74,28%","1.893,48","98,42%"
FPSO Sepetiba,"12.688,53","63,43%","838,53","64,27%","17.962,74","63,67%"
FPSO Cidade de Maricá,"39.728,17","52,10%","1.462,22","51,67%","48.925,27","52,02%"
Plataforma de Arabaiana 1,"10,80","52,59%","11,18","34,39%","81,10","36,05%"
Plataforma de Pargo-1A,"1.082,59","30,76%","0,23","1,88%","1.084,07","30,13%"
Plataforma de Manati 1,"59,12","39,66%","420,61","27,75%","2.704,69","27,93%"
FPSO Cidade de Paraty,"13.567,69","14,46%","595,52","14,84%","17.313,39","14,54%"
FPSO Cidade de Santos,"586,26","13,31%","7,16","6,56%","631,28","12,40%"
Plataforma de Vermelho-Iii,"160,82","10,75%","0,53","8,73%","164,14","10,70%"
FPSO Cidade de Vitória,"822,11","9,40%","28,94","28,18%","1.004,14","10,69%"
Petrobras 66 (P-66),"8.782,95","9,63%","523,45","10,71%","12.075,32","9,90%"
Petrobras 40,"4.097,90","12,65%","-160,95","-49,46%","3.085,57","8,96%"
Petrobras 75 (P-75),"11.009,14","8,35%","557,08","8,84%","14.513,09","8,46%"
Plataforma de Pampo-1,"723,83","7,19%","31,91","17,77%","924,52","8,25%"
FPSO Cidade de Mangaratiba,"7.516,24","7,76%","525,22","9,56%","10.819,77","8,23%"
Plataforma de Pescada 1B,"5,43","3,30%","6,25","8,37%","44,74","7,05%"
FPSO Carioca (Mv-30),"8.914,21","5,77%","361,51","6,47%","11.188,06","5,90%"
Petrobras 69,"2.784,84","2,98%","499,53","11,69%","5.926,77","4,93%"
FPSO Cidade de Itajaí,"1.064,39","4,50%","21,82","12,25%","1.201,63","4,85%"
Peregrino C,"2.132,34","4,41%","2,14","1,13%","2.145,80","4,33%"
Petrobras 57,"1.546,35","4,21%","17,15","5,07%","1.654,19","4,26%"
FPSO Almirante Barroso,"4.520,42","3,18%","258,40","4,73%","6.145,74","3,48%"
Peregrino A,"1.488,10","3,48%","-1,99","-4,17%","1.475,60","3,43%"
FPSO Espirito Santo,"989,59","3,38%","-9,81","-3,10%","927,86","2,97%"
Petrobras 58,"861,94","1,22%","73,72","3,74%","1.325,61","1,60%"
Petrobras 71,"2.069,79","1,40%","9,35","0,48%","2.128,58","1,33%"
Plataforma de Carapeba-Ii,"43,61","1,51%","-1,18","-8,49%","36,18","1,22%"
Polvo A,"96,08","1,58%","-3,46","-12,77%","74,32","1,19%"
FPSO Cidade de São Paulo,"-82,63","-0,15%","96,58","3,80%","524,83","0,72%"
Peregrino B,"44,84","0,44%","-0,41","-4,11%","42,24","0,41%"
FPSO Guanabara,"449,83","0,25%","92,58","0,81%","1.032,16","0,41%"
Petrojarl 1,"77,34","0,38%","0,79","0,58%","82,33","0,39%"
FPSO Cidade de Ilha Bela,"479,74","0,62%","-65,27","-1,66%","69,22","0,07%"
Total,"130.165,38","7,59%","6.207,35","9,45%","169.208,45","7,95%"
