Instalação,Inicio,Término,Duração,Natureza,,Campos BMP
"",,,(dias),,,
"",,,,,,
PLATAFORMA DE MANATI,26/01/2024,03/02/2024,8,Não-programada,Manati,
FPSO CIDADE DE SÃO PAULO,23/01/2024,07/02/2024,15,Programada,Sudoeste de,
"",,,,,Sapinhoá/Nordeste de,
"",,,,,Sapinhoá/Noroeste de,
"",,,,,Sapinhoá/Sapinhoá,
PLATAFORMA 3R-2,01/02/2024,09/02/2024,8,Não-programada,Papa-Terra,
PLATAFORMA 3R-3,01/02/2024,09/02/2024,8,Não-programada,Papa-Terra,
FPSO PIONEIRO DE LIBRA,04/02/2024,12/02/2024,8,Programada,Mero/Anc_Mero,
FPSO CIDADE DE ANGRA DOS REIS,11/02/2024,16/02/2024,5,Extraordinária,Tupi/Anc_Tupi/Sul de Tupi,
PETROBRAS 74,16/02/2024,18/02/2024,2,Extraordinária,Tambuatá/Búzios_Eco/Búzios,
PETROBRAS 67,21/01/2024,23/02/2024,33,Programada,Tupi/Anc_Tupi/Sul de Tupi,
FPSO CIDADE DE SANTOS,23/02/2024,26/02/2024,3,Extraordinária,Uruguá,
