Concessionário	Petróleo	Gás Natural	Produção Total

SHB	765,49	28,50	944,77
3R FAZENDA BELÉM	789,42	1,02	795,81
RECÔNCAVO	0,54	88,20	555,29
ENERGIA			
3R RNCE	528,30	0,63	532,28
PETROSYNERGY	337,80	9,17	395,46
3R PESCADA	81,65	48,79	388,53
CAPIXABA ENERGIA	329,14	8,57	383,02
ORIGEM	3,38	57,64	365,93
PETROM	168,60	2,49	184,24
MANDACARU	176,49	0,09	177,09
ENERGIA			
NÍON ENERGIA	130,04	6,26	169,41
PETROBORN	0,00	26,72	168,03
BARRA BONITA	0,00	23,17	145,73
IMETAME	67,49	10,17	131,44
RECÔNCAVO E&P	94,93	1,44	104,00
GEOPAR - GEOSOL	96,50	0,51	99,70
ENERGY PARANÃ	0,04	14,91	93,84
NOVA PETRÓLEO	87,86	0,87	93,33
IPI	67,47	3,78	91,22
SLIM DRILLING	65,31	0,34	67,44
BGM	55,90	0,08	56,43
ENERGIZZI	32,84	0,85	38,16
ENERGIAS			
CAMPO PETRÓLEO	33,21	0,06	33,58
PETRO-VICTORY	26,02	0,26	27,66
PHOENIX ÓLEO & GÁS	22,09	0,06	22,50
NTF	13,63	0,35	15,80
VIPETRO	8,91	0,02	9,05
GEOFLUX	6,81	0,17	7,90
NEWO	6,81	0,17	7,90
SONANGOL	5,48	0,17	6,57
GUANAMBI			
OIL GROUP	5,80	0,04	6,03
PETROIL	5,80	0,04	6,03
EPG BRASIL	5,56	0,06	5,95
GUTO & CACAL	3,20	0,01	3,25
NORD	2,60	0,00	2,62
TARMAR	2,17	0,00	2,19
BRASIL REFINARIAS	1,33	0,00	1,35
