	"Consumo
Interno"	Queima	Disponível	Injeção	"Injeção
descontando
CO2"	Produção	"Produção
descontando
CO2"
Santos	9836	3890	31436	69138	49442	114033	90083
Solimões	432	62	6495	6125	6125	13114	13094
Campos	5356	1056	5254	0	0	11511	11289
Recôncavo	117	68	2066	375	374	2612	2592
Camamu	52	4	1881	0	0	1937	1928
Parnaíba	8	10	1273	0	0	1291	1291
Alagoas	26	17	1266	0	0	1286	1279
Potiguar	233	74	1051	0	0	1199	1194
Espírito Santo	381	52	519	0	0	812	803
Amazonas	2	22	632	0	0	656	656
Tucano Sul	2	0	103	0	0	106	106
Sergipe	10	30	1	14	14	56	56
Paraná	0	0	23	0	0	23	23
Barreirinhas	0	0	0	0	0	0	0
	16455	5285	52000	75653	55956	148635	124393
