"","Nome ANP do Poço","Campo","Bacia","Petróleo (bbl/d)","Gás natural (Mm³/d)","Produção Total (boe/d)","mes"
"1","7LL15DRJS","Lula","Santos",39474,1446,48566,"2018-01-01"
"2","7SPH17SPS","Sapinhoá","Santos",33256,932,39117,"2018-01-01"
"3","7LL83DRJS","Lula","Santos",29340,1394,38111,"2018-01-01"
"4","9LL20DRJS","Lula","Santos",27673,1337,36081,"2018-01-01"
"5","7LL80DBRJS","Lula","Santos",29143,997,35417,"2018-01-01"
"6","7LL36ARJS","Lula","Santos",26553,1309,34785,"2018-01-01"
"7","7SPH1SPS","Sapinhoá","Santos",28547,978,34700,"2018-01-01"
"8","8LL81DRJS","Lula","Santos",28103,1013,34475,"2018-01-01"
"9","8LL87DRJS","Lula","Santos",28183,923,33991,"2018-01-01"
"10","9LL12DRJS","Lula","Santos",27710,941,33627,"2018-01-01"
"11","7LL73DRJS","Lula","Santos",23590,1563,33421,"2018-01-01"
"12","7LL51RJS","Lula","Santos",25451,1226,33164,"2018-01-01"
"13","7SPH7DSPS","Sapinhoá","Santos",26597,984,32785,"2018-01-01"
"14","7LL45DRJS","Lula","Santos",24759,1193,32266,"2018-01-01"
"15","7LL22DRJS","Lula","Santos",26412,906,32113,"2018-01-01"
"16","7LL91RJS","Lula","Santos",25658,855,31037,"2018-01-01"
"17","7LL69RJS","Lula","Santos",25436,813,30547,"2018-01-01"
"18","9LL7RJS","Lula","Santos",24427,954,30430,"2018-01-01"
"19","9BRSA928SPS","Sapinhoá","Santos",24759,846,30082,"2018-01-01"
"20","7SPH14DSPS","Sapinhoá","Santos",24032,901,29698,"2018-01-01"
"21","9LL19RJS","Lula","Santos",24717,762,29507,"2018-01-01"
"22","7SPH4DSPS","Sapinhoá","Santos",24261,815,29388,"2018-01-01"
"23","7SPH3SPS","Sapinhoá","Santos",21903,1188,29377,"2018-01-01"
"24","7LL79DRJS","Lula","Santos",24208,822,29376,"2018-01-01"
"25","7LL97RJS","Lula","Santos",23661,786,28603,"2018-01-01"
"26","7LL63DRJS","Lula","Santos",21567,1054,28195,"2018-01-01"
"27","7LPA1DSPS","Lapa","Santos",23867,683,28165,"2018-01-01"
"28","7SPH8SPS","Sapinhoá","Santos",22506,843,27808,"2018-01-01"
"29","7LL27RJS","Lula","Santos",21024,1056,27665,"2018-01-01"
"30","3BRSA788SPS","Sapinhoá","Santos",21270,954,27270,"2018-01-01"
"31","3BRSA839ARJS","Lula","Santos",21386,906,27086,"2018-01-01"
"32","6BRSA1222AESS","Jubarte³","Campos",22239,712,26717,"2018-01-01"
"33","7LL61RJS","Lula","Santos",22033,722,26577,"2018-01-01"
"34","7LL31DRJS","Lula","Santos",20044,989,26263,"2018-01-01"
"35","9LL2RJS","Lula","Santos",19426,1039,25962,"2018-01-01"
"36","7JUB58DPAESS","Jubarte³","Campos",20876,744,25553,"2018-01-01"
"37","7SPH5SPS","Sapinhoá","Santos",18463,1033,24958,"2018-01-01"
"38","7JUB34HESS","Jubarte³","Campos",19261,700,23662,"2018-01-01"
"39","3BRSA496RJS","Lula","Santos",17645,940,23559,"2018-01-01"
"40","3BRSA865ARJS","Lula","Santos",18740,751,23464,"2018-01-01"
"41","7BFR7ESS","Baleia Franca³","Campos",18946,671,23163,"2018-01-01"
"42","7LL102DRJS","Lula","Santos",18891,617,22772,"2018-01-01"
"43","7LL3DRJS","Lula","Santos",17951,638,21961,"2018-01-01"
"44","7LL17DRJS","Lula","Santos",18009,619,21902,"2018-01-01"
"45","7BFR12PAESS","Baleia Franca³","Campos",16923,678,21188,"2018-01-01"
"46","7LL85RJS","Lula","Santos",15997,736,20628,"2018-01-01"
"47","7LL46RJS","Lula","Santos",16006,719,20527,"2018-01-01"
"48","3BRSA830RJS","Lula","Santos",13024,1063,19712,"2018-01-01"
"49","7SPH16DSPS","Sapinhoá","Santos",15107,694,19469,"2018-01-01"
"50","9BRSA908DRJS","Lula","Santos",13800,827,18999,"2018-01-01"
"51","3BRSA1305ARJS","Mero","Santos",13565,807,18642,"2018-01-01"
"52","3BRSA883RJS","Lula","Santos",13723,715,18221,"2018-01-01"
"53","7LL66RJS","Lula","Santos",14931,516,18179,"2018-01-01"
"54","7LL58RJS","Lula","Santos",15137,484,18178,"2018-01-01"
"55","8LPA2DSPS","Lapa","Santos",15372,388,17812,"2018-01-01"
"56","7JUB57DPAESS","Jubarte³","Campos",13320,465,16242,"2018-01-01"
"57","7BAZ8ESS","Baleia Azul³","Campos",12989,430,15691,"2018-01-01"
"58","7LL28DRJS","Lula","Santos",11337,400,13856,"2018-01-01"
"59","7JUB44ESS","Jubarte³","Campos",10660,317,12652,"2018-01-01"
"60","8JUB39ESS","Jubarte³","Campos",9506,301,11400,"2018-01-01"
"61","7MLL73DRJS","Marlim Leste","Campos",10071,185,11237,"2018-01-01"
"62","7BAZ4ESS","Baleia Azul³","Campos",9058,297,10925,"2018-01-01"
"63","8LL37DRJS","Lula","Santos",7604,362,9878,"2018-01-01"
"64","7LL8HRJS","Lula","Santos",6187,459,9075,"2018-01-01"
"65","7JUB55ESS","Jubarte³","Campos",7016,217,8381,"2018-01-01"
"66","7LL84DRJS","Lula","Santos",6925,228,8356,"2018-01-01"
"67","6BRSA639ESS","Jubarte³","Campos",5918,209,7231,"2018-01-01"
"68","6BRSA631DBESS","Baleia Azul³","Campos",5926,181,7067,"2018-01-01"
"69","7BAZ3ESS","Baleia Azul³","Campos",5285,178,6404,"2018-01-01"
"70","6BRSA806RJS","Barracuda/Caratinga","Campos",5607,92,6187,"2018-01-01"
"71","7LL60DRJS","Lula","Santos",4513,232,5970,"2018-01-01"
"72","7MLL78DRJS","Marlim Leste","Campos",4951,94,5541,"2018-01-01"
"73","6BRSA770DRJS","Marlim/Voador","Campos",4523,135,5374,"2018-01-01"
"74","7BR69DARJS","Barracuda/Caratinga","Campos",4707,71,5154,"2018-01-01"
"75","6BRSA817RJS","Marlim Leste","Campos",3861,72,4316,"2018-01-01"
"76","7MLL72RJS","Marlim Leste","Campos",3744,80,4245,"2018-01-01"
"77","3BRSA1017DRJS","Marlim Leste","Campos",3107,46,3400,"2018-01-01"
"78","7CRT49RJS","Barracuda/Caratinga","Campos",3035,55,3381,"2018-01-01"
"79","7LL106DARJS","Lula","Santos",1840,50,2157,"2018-01-01"
"80","7BAZ6ESS","Baleia Azul³","Campos",1296,46,1582,"2018-01-01"
"81","7PRB1ESS","Pirambu","Campos",879,27,1048,"2018-01-01"
"82","9MRL231DARJS","Marlim","Campos",671,8,719,"2018-01-01"
"83","7JUB45ESS","Jubarte³","Campos",391,12,469,"2018-01-01"
"84","7PM  0017D RJS","Pampo","Campos",182,6,218,"2018-01-01"
"85","7SPH2DSPS","Sapinhoá","Santos",1,0,1,"2018-01-01"
"86","Total Geral",NA,NA,1380689,54436,1723079,"2018-01-01"
"87","8LL87DRJS","Lula","Santos",33249.1707,1111.6579,40241.287675999,"2018-02-01"
"88","7SPH17SPS","Sapinhoá","Santos",32833.6315,1098.197,39741.08197257,"2018-02-01"
"89","7LL15DRJS","Lula","Santos",31214.9462,1147.0186,38429.475260466,"2018-02-01"
"90","7LL83DRJS","Lula","Santos",29069.864,1417.1772,37983.639324332,"2018-02-01"
"91","7LL80DBRJS","Lula","Santos",30550.9402,1067.1791,37263.293974971,"2018-02-01"
"92","9LL20DRJS","Lula","Santos",28382.5365,1380.6195,37066.370837295,"2018-02-01"
"93","7LL36ARJS","Lula","Santos",27933.1769,1384.3747,36640.630731807,"2018-02-01"
"94","8LL81DRJS","Lula","Santos",29571.5705,1087.8521,36413.953517101,"2018-02-01"
"95","7SPH1SPS","Sapinhoá","Santos",29473.5483,1024.0494,35914.624456614,"2018-02-01"
"96","7LL51RJS","Lula","Santos",26879.0861,1302.1176,35069.158401656,"2018-02-01"
"97","7LL73DRJS","Lula","Santos",24450.5714,1628.6578,34694.519517018,"2018-02-01"
"98","7SPH7DSPS","Sapinhoá","Santos",27797.1913,1001.2798,34095.050998838,"2018-02-01"
"99","7SPH14DSPS","Sapinhoá","Santos",26011.7712,1025.1473,32459.752939013,"2018-02-01"
"100","7LL91RJS","Lula","Santos",26917.7118,872.4663,32405.359058403,"2018-02-01"
"101","9LL7RJS","Lula","Santos",25898.1806,1033.9037,32401.238431297,"2018-02-01"
"102","9LL12DRJS","Lula","Santos",26068.4927,916.0733,31830.419703073,"2018-02-01"
"103","7LL69RJS","Lula","Santos",25819.3115,892.9026,31435.499202506,"2018-02-01"
"104","7LL22DRJS","Lula","Santos",25747.8231,881.5395,31292.539062495,"2018-02-01"
"105","9BRSA928SPS","Sapinhoá","Santos",25459.3679,894.3956,31084.946288836,"2018-02-01"
"106","7SPH4DSPS","Sapinhoá","Santos",24836.0707,855.7774,30218.747948294,"2018-02-01"
"107","7SPH3SPS","Sapinhoá","Santos",22259.3191,1226.3611,29972.897410391,"2018-02-01"
"108","7LL45DRJS","Lula","Santos",22943.5938,1117.3725,29971.654524225,"2018-02-01"
"109","7SPH8SPS","Sapinhoá","Santos",24162.6614,877.288,29680.63623528,"2018-02-01"
"110","3BRSA788SPS","Sapinhoá","Santos",22947.5755,1032.7453,29443.347215393,"2018-02-01"
"111","7LL84DRJS","Lula","Santos",23786.9519,801.3431,28827.247743811,"2018-02-01"
"112","7LL27RJS","Lula","Santos",21742.6898,1119.6883,28785.316466223,"2018-02-01"
