"","Nº","CAMPO","Produção Petróleo Acum. (MMbbl)","Inicio da Produção","Tempo de Produção (anos)","Média Histórica de produção","mes","Produção total  Acum. MMboe","Média Histórica de produção (MMbbl)"
"1",1,"CANTO DO AMARO",286.2740814096,"31/01/1986",34.4356164383562,8.31331368561572,"2020-06-01",NA,NA
"2",2,"CARMÓPOLIS",396.3102986061,"31/10/1963",56.7041095890411,6.98909305654088,"2020-06-01",NA,NA
"3",3,"LESTE DO URUCU",161.0340413126,"31/03/1992",28.2684931506849,5.69659091675703,"2020-06-01",NA,NA
"4",4,"ÁGUA GRANDE",319.0211363573,"31/07/1951",68.9643835616438,4.62588251908527,"2020-06-01",NA,NA
"5",5,"RIO URUCU",135.0771976013,"31/07/1988",31.9369863013699,4.22949104610745,"2020-06-01",NA,NA
"6",6,"MIRANGA",222.7521604055,"31/07/1965",54.9534246575342,4.05347185900925,"2020-06-01",NA,NA
"7",7,"BURACICA",194.1866371763,"31/05/1959",61.1260273972603,3.17682410332793,"2020-06-01",NA,NA
"8",8,"ARAÇÁS",162.0996249005,"30/04/1965",55.2054794520548,2.93629593492221,"2020-06-01",NA,NA
"9",9,"ESTREITO",106.4332120786,"31/03/1982",38.2767123287671,2.78062575396815,"2020-06-01",NA,NA
"10",10,"FAZENDA ALEGRE",55.1808504112,"31/10/1996",23.6794520547945,2.33032632188916,"2020-06-01",NA,NA
"11",11,"TAQUIPE",114.9495616836,"31/03/1959",61.2931506849315,1.87540631210951,"2020-06-01",NA,NA
"12",12,"SIRIRIZINHO",83.8235193327,"30/11/1967",52.6191780821918,1.59302220954053,"2020-06-01",NA,NA
"13",13,"FAZENDA BÁLSAMO",54.4738910498,"31/08/1983",36.8575342465753,1.47795809359823,"2020-06-01",NA,NA
"14",14,"ALTO DO RODRIGUES",55.2020454851,"30/06/1981",39.027397260274,1.41444342590814,"2020-06-01",NA,NA
"15",15,"CANDEIAS",110.3433766703,"31/12/1941",78.5506849315069,1.40474111418016,"2020-06-01",NA,NA
"16",16,"FAZENDA POCINHO",52.6973332406,"31/10/1982",37.6904109589041,1.39816287219735,"2020-06-01",NA,NA
"17",17,"PILAR",49.168191418,"31/01/1982",38.4383561643836,1.27914396775267,"2020-06-01",NA,NA
"18",18,"FAZENDA BELÉM",35.1902819226,"31/05/1987",33.1068493150685,1.06293056121723,"2020-06-01",NA,NA
"19",19,"RIACHO DA FORQUILHA",30.9700825241,"31/05/1989",31.1041095890411,0.995691017466441,"2020-06-01",NA,NA
"20",20,"RIACHUELO",50.1443408473,"31/10/1965",54.7013698630137,0.91669259787962,"2020-06-01",NA,NA
"21",1,"CANTO DO AMARO",286.5093194976,"31/01/1986",NA,NA,"2020-07-01",NA,NA
"22",2,"CARMÓPOLIS",396.5048196025,"31/10/1963",NA,NA,"2020-07-01",NA,NA
"23",3,"LESTE DO URUCU",161.2789485253,"31/03/1992",NA,NA,"2020-07-01",NA,NA
"24",4,"ÁGUA GRANDE",319.0449702336,"31/07/1951",NA,NA,"2020-07-01",NA,NA
"25",5,"RIO URUCU",135.2486657092,"31/07/1988",NA,NA,"2020-07-01",NA,NA
"26",6,"MIRANGA",222.7777597057,"31/07/1965",NA,NA,"2020-07-01",NA,NA
"27",7,"BURACICA",194.2692774869,"31/05/1959",NA,NA,"2020-07-01",NA,NA
"28",8,"ARAÇÁS",162.2038343279,"30/04/1965",NA,NA,"2020-07-01",NA,NA
"29",9,"ESTREITO",106.6699288662,"31/03/1982",NA,NA,"2020-07-01",NA,NA
