"Produto","Período","Valor"
"Óleo",2023-02-01,3255
"Óleo",2023-03-01,3109
"Óleo",2023-04-01,3134
"Óleo",2023-05-01,3194
"Óleo",2023-06-01,3359
"Óleo",2023-07-01,3506
"Óleo",2023-08-01,3455
"Óleo",2023-09-01,3665
"Óleo",2023-10-01,3536
"Óleo",2023-11-01,3671
"Óleo",2023-12-01,3578
"Óleo",2024-01-01,3511
"Óleo",2024-02-01,3441
"Condensado",2023-02-01,7
"Condensado",2023-03-01,7
"Condensado",2023-04-01,7
"Condensado",2023-05-01,7
"Condensado",2023-06-01,7
"Condensado",2023-07-01,7
"Condensado",2023-08-01,7
"Condensado",2023-09-01,7
"Condensado",2023-10-01,7
"Condensado",2023-11-01,7
"Condensado",2023-12-01,7
"Condensado",2024-01-01,8
"Condensado",2024-02-01,7
"Petróleo",2023-02-01,3262
"Petróleo",2023-03-01,3115
"Petróleo",2023-04-01,3141
"Petróleo",2023-05-01,3201
"Petróleo",2023-06-01,3367
"Petróleo",2023-07-01,3513
"Petróleo",2023-08-01,3462
"Petróleo",2023-09-01,3672
"Petróleo",2023-10-01,3543
"Petróleo",2023-11-01,3678
"Petróleo",2023-12-01,3585
"Petróleo",2024-01-01,3519
"Petróleo",2024-02-01,3448
