"Poço","Campo","Bacia","Localização","Petróleo (bbl/d)","mes"
"1-BRSA-769-AM","Arara Azul","Solimões","Terra",1017,2024-02-01
"7-TIE-2DB-BA","Tiê","Recôncavo","Terra",723,2024-02-01
"7-LUC-42HP-AM","Leste Do Urucu","Solimões","Terra",520,2024-02-01
"7-TIE-1D-BA","Tiê","Recôncavo","Terra",502,2024-02-01
"9-RUC-97DP-AM","Rio Urucu","Solimões","Terra",396,2024-02-01
"4-SMT-3-AM","Araracanga","Solimões","Terra",375,2024-02-01
"3-BRSA-1218-AM","Sudoeste Urucu","Solimões","Terra",373,2024-02-01
"7-LUC-65HP-AM","Leste Do Urucu","Solimões","Terra",301,2024-02-01
"1-SMT-2-AM","Araracanga","Solimões","Terra",289,2024-02-01
"7-LUC-50HP-AM","Leste Do Urucu","Solimões","Terra",287,2024-02-01
"7-LUC-41HP-AM","Leste Do Urucu","Solimões","Terra",280,2024-02-01
"7-TIE-4HE-BA","Tiê","Recôncavo","Terra",265,2024-02-01
"7-LUC-71HP-AM","Leste Do Urucu","Solimões","Terra",255,2024-02-01
"7-LUC-88HP-AM","Leste Do Urucu","Solimões","Terra",245,2024-02-01
"4-LUC-3-AM","Leste Do Urucu","Solimões","Terra",237,2024-02-01
"3-LUC-6-AM","Leste Do Urucu","Solimões","Terra",229,2024-02-01
"9-RUC-75D-AM","Rio Urucu","Solimões","Terra",227,2024-02-01
"7-LUC-67HP-AM","Leste Do Urucu","Solimões","Terra",222,2024-02-01
"7-LUC-29H-AM","Leste Do Urucu","Solimões","Terra",211,2024-02-01
"7-ANB-13D-AL","Anambé","Alagoas","Terra",207,2024-02-01
"7-PIR-76-AL","Pilar","Alagoas","Terra",202,2024-02-01
"7-LUC-25-AM","Leste Do Urucu","Solimões","Terra",200,2024-02-01
"7-BR-47-RN","Brejinho Rn","Potiguar","Terra",196,2024-02-01
"7-LUC-59HP-AM","Leste Do Urucu","Solimões","Terra",195,2024-02-01
"7-LPX-21D-RN","Leste De Poço Xavier","Potiguar","Terra",192,2024-02-01
"7-LUC-24DP-AM","Leste Do Urucu","Solimões","Terra",191,2024-02-01
"7-LUC-36HP-AM","Leste Do Urucu","Solimões","Terra",190,2024-02-01
"7-C-207-BA","Candeias","Recôncavo","Terra",189,2024-02-01
"4-RUC-10-AM","Rio Urucu","Solimões","Terra",189,2024-02-01
"7-RUC-92DP-AM","Rio Urucu","Solimões","Terra",189,2024-02-01
