"Poço","Campo","Bacia","Localização","Gás natural (Mm³/d)","mes"
"7-LUC-42HP-AM","Leste Do Urucu","Solimões","Terra",560,2024-02-01
"7-LUC-65HP-AM","Leste Do Urucu","Solimões","Terra",487,2024-02-01
"7-RUC-83H-AM","Rio Urucu","Solimões","Terra",443,2024-02-01
"7-LUC-71HP-AM","Leste Do Urucu","Solimões","Terra",443,2024-02-01
"9-RUC-104DP-AM","Rio Urucu","Solimões","Terra",412,2024-02-01
"4-SMT-3-AM","Araracanga","Solimões","Terra",408,2024-02-01
"7-LUC-41HP-AM","Leste Do Urucu","Solimões","Terra",388,2024-02-01
"9-RUC-97DP-AM","Rio Urucu","Solimões","Terra",387,2024-02-01
"1-SMT-2-AM","Araracanga","Solimões","Terra",364,2024-02-01
"9-RUC-75D-AM","Rio Urucu","Solimões","Terra",358,2024-02-01
"7-RUC-96HP-AM","Rio Urucu","Solimões","Terra",354,2024-02-01
"7-RUC-58HP-AM","Rio Urucu","Solimões","Terra",329,2024-02-01
"7-RUC-107HP-AM","Rio Urucu","Solimões","Terra",324,2024-02-01
"1-BRSA-769-AM","Arara Azul","Solimões","Terra",315,2024-02-01
"7-LUC-57HP-AM","Leste Do Urucu","Solimões","Terra",300,2024-02-01
"7-RUC-62HP-AM","Rio Urucu","Solimões","Terra",300,2024-02-01
"7-LUC-59HP-AM","Leste Do Urucu","Solimões","Terra",274,2024-02-01
"7-LUC-17-AM","Leste Do Urucu","Solimões","Terra",263,2024-02-01
"3-RUC-16D-AM","Rio Urucu","Solimões","Terra",258,2024-02-01
"3-RUC-8-AM","Rio Urucu","Solimões","Terra",257,2024-02-01
"4-RUC-10-AM","Rio Urucu","Solimões","Terra",256,2024-02-01
"7-LUC-80DP-AM","Leste Do Urucu","Solimões","Terra",254,2024-02-01
"7-LUC-22DP-AM","Leste Do Urucu","Solimões","Terra",252,2024-02-01
"7-RUC-85HP-AM","Rio Urucu","Solimões","Terra",248,2024-02-01
"7-RUC-92DP-AM","Rio Urucu","Solimões","Terra",245,2024-02-01
"7-RUC-103DP-AM","Rio Urucu","Solimões","Terra",237,2024-02-01
"7-AZU-4DA-AM","Azulão","Amazonas","Terra",235,2024-02-01
"7-RUC-67HPA-AM","Rio Urucu","Solimões","Terra",235,2024-02-01
"7-AZU-3-AM","Azulão","Amazonas","Terra",231,2024-02-01
"7-LUC-31HP-AM","Leste Do Urucu","Solimões","Terra",219,2024-02-01
