"Instalação","Petróleo (bbl/d)","Nº poços  produtores","Campos produtores","mes"
"FPSO Guanabara",179593,5,"Anc_Mero / Mero",2024-02-01
"FPSO Carioca (Mv-30)",163438,4,"Sépia / Sépia Leste / Sépia_Eco",2024-02-01
"Petrobras 77",153768,5,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 75 (P-75)",142875,4,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 70",148814,5,"Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu",2024-02-01
"FPSO Almirante Barroso",146751,3,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 76",140952,5,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 68",150328,10,"Berbigão / Sul De Berbigão / Sururu",2024-02-01
"Petrobras 71",149990,4,"Itapu / Itapu_Eco",2024-02-01
"FPSO Cidade de Saquarema",110205,7,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"FPSO Cidade de Maricá",115975,5,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"FPSO Cidade de Mangaratiba",104437,8,"Tupi",2024-02-01
"FPSO Cidade de Itaguaí",102648,8,"Tupi",2024-02-01
"FPSO Cidade de Paraty",107371,6,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"Petrobras 66 (P-66)",100021,7,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"Petrobras 69",96085,6,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"Petrobras 74 (P-74)",92238,5,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"FPSO Cidade de Ilha Bela",78193,6,"Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá",2024-02-01
"Petrobras 58",71297,13,"Jubarte",2024-02-01
"FPSO Cidade de São Paulo",56826,6,"Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá",2024-02-01
"FPSO Cidade de Campos dos Goytacazes",64841,12,"Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste",2024-02-01
"Petrobras 52",52042,15,"Roncador",2024-02-01
"Peregrino C",50482,6,"Peregrino / Pitangola",2024-02-01
"Polo Arara",5631,33,"Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu",2024-02-01
"FPSO Pioneiro de Libra",35771,1,"Anc_Mero / Mero",2024-02-01
"FPSO Sepetiba",32693,1,"Anc_Mero / Mero",2024-02-01
"Peregrino A",44244,14,"Peregrino",2024-02-01
"FPSO Cidade de Angra dos Reis",33271,5,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"FPSO Frade",39457,12,"Frade",2024-02-01
