"Campo","Bacia","Localização","Operador","Queima de Gás (Mm³/d)","mes"
"Mero","Santos","Mar","PETROBRAS",2162,2024-02-01
"Tupi","Santos","Mar","PETROBRAS",553,2024-02-01
"Búzios","Santos","Mar","PETROBRAS",528,2024-02-01
"Frade","Campos","Mar","PETRO RIO JAGUAR",228,2024-02-01
"Sapinhoá","Santos","Mar","PETROBRAS",166,2024-02-01
"Albacora Leste","Campos","Mar","PETRO RIO JAGUAR",130,2024-02-01
"Marlim Sul","Campos","Mar","PETROBRAS",121,2024-02-01
"Sépia","Santos","Mar","PETROBRAS",117,2024-02-01
"Roncador","Campos","Mar","PETROBRAS",90,2024-02-01
"Anc_Mero","Santos","Mar","PETROBRAS",78,2024-02-01
"Jubarte","Campos","Mar","PETROBRAS",71,2024-02-01
"Marlim","Campos","Mar","PETROBRAS",66,2024-02-01
"Marimbá","Campos","Mar","TRIDENT ENERGY",50,2024-02-01
"Atapu","Santos","Mar","PETROBRAS",48,2024-02-01
"Barracuda","Campos","Mar","PETROBRAS",46,2024-02-01
"Sururu","Santos","Mar","PETROBRAS",44,2024-02-01
"Papa-Terra","Campos","Mar","3R PETROLEUM OFF",43,2024-02-01
"Sul de Tupi","Santos","Mar","PETROBRAS",36,2024-02-01
"Marlim Leste","Campos","Mar","PETROBRAS",34,2024-02-01
"Rio Urucu","Solimões","Terra","PETROBRAS",31,2024-02-01
"Total",NA,NA,NA,4643,2024-02-01
