"Mês/Ano","Consumo Interno","Queima","Injeção","Disponível","Produção","Aproveitamento","Injeção descontando CO2","Produção descontando CO2"
2023-02-01,15.15,3.81,78.757,48.822,146.54,0.974,58.062,122.755
2023-03-01,14.562,3.6,72.853,47.516,138.531,0.974,55.317,118.022
2023-04-01,14.754,3.869,73.113,49.864,141.601,0.973,55.369,120.404
2023-05-01,14.598,4.136,74.991,50.685,144.41,0.971,55.798,121.161
2023-06-01,15.161,4.58,77.859,54.658,152.258,0.97,57.924,128.571
2023-07-01,15.936,4.274,80.209,53.657,154.076,0.972,59.388,130.134
2023-08-01,16.071,3.769,75.766,52.254,147.86,0.975,54.8,123.884
2023-09-01,16.649,3.354,83.598,54.388,157.989,0.979,61.586,132.985
2023-10-01,16.239,3.732,83.911,48.624,152.505,0.976,63.283,128.899
2023-11-01,16.807,3.663,85.787,55.866,162.123,0.978,63.807,137.259
2023-12-01,16.273,3.396,85.617,51.345,156.63,0.978,63.822,132.064
2024-01-01,16.452,4.546,81.304,51.625,153.927,0.971,60.705,129.528
2024-02-01,16.455,5.285,75.653,51.241,148.635,0.965,55.956,124.393
