"Estado","Petróleo (bbl/d)","Gás Natural (Mm³/d)","Produção Total (boe/d)","Nº Campos produtores","mes"
"Rio de Janeiro",2993442,11011299,3686032,50,2024-02-01
"São Paulo",191144,1170795,264784,7,2024-02-01
"Espírito Santo",186528,453594,215058,28,2024-02-01
"Amazonas",11223,1376953,97831,8,2024-02-01
"Bahia",19655,465381,48927,82,2024-02-01
"Rio Grande do Norte",33709,119798,41244,65,2024-02-01
"Alagoas",2888,12857,10975,10,2024-02-01
"Sergipe",8880,5565,9230,17,2024-02-01
"Maranhão",64,12909,8183,7,2024-02-01
"Ceará",789,102,796,2,2024-02-01
"Paraná",0,2317,146,1,2024-02-01
"Total",3448322,14863464,4383206,277,2024-02-01
