"Concessionário","Petróleo (bbl/d)","Gás Natural (Mm³/d)","Produção Total (boe/d)","mes"
"PETROBRAS",2200331.52,99201.94,2824292.87,2024-02-01
"SHELL BRASIL",356032.44,16642.14,460708.32,2024-02-01
"TOTALENERGIES EP",140450.92,6189.38,179380.96,2024-02-01
"PETROGAL BRASIL",94100,4307.55,121193.65,2024-02-01
"CNOOC PETROLEUM",73602.64,3648.92,96553.64,2024-02-01
"CNODC BRASIL",48770.06,2604.01,65148.8,2024-02-01
"EQUINOR BRASIL",62961.46,147.65,63890.14,2024-02-01
"PETRO RIO JAGUAR",58400.38,765,63212.11,2024-02-01
"PETRONAS",51156.17,1095.82,58048.68,2024-02-01
"REPSOL SINOPEC",43894.7,1928.74,56026.12,2024-02-01
"SINOCHEM PETRÓLEO",41974.3,98.43,42593.42,2024-02-01
"QATARENERGY",27690.17,825.39,32881.74,2024-02-01
"TRIDENT ENERGY",27312.55,500.43,30460.17,2024-02-01
"EQUINOR ENERGY",25832.43,488.95,28907.84,2024-02-01
"ENAUTA ENERGIA",20642.69,1010.14,26996.31,2024-02-01
"KAROON BRASIL",24720.81,199.95,25978.48,2024-02-01
"PRIO BRAVO",21245.04,121.63,22010.09,2024-02-01
"PERENCO BRASIL",17409.01,69.57,17846.59,2024-02-01
"3R POTIGUAR",16599.5,51.09,16920.87,2024-02-01
"POTIGUAR E&P S.A.",9239.54,744.59,13922.87,2024-02-01
"ENEVA",275.78,1946.51,12518.98,2024-02-01
"3R PETROLEUM OFF",8547.22,567.09,12114.09,2024-02-01
"ORIGEM ALAGOAS",2674.27,1279,10718.91,2024-02-01
"BW MAROMBA",9572.38,131.64,10400.34,2024-02-01
"CARMO",8531.76,50.59,8849.99,2024-02-01
"ONGC CAMPOS",8166.88,82.95,8688.62,2024-02-01
"3R MACAU",6019.79,227.33,7449.62,2024-02-01
"SPE MIRANGA",1819.03,845.63,7137.9,2024-02-01
"SEACREST NORTE CAP",6317.81,54.09,6658.04,2024-02-01
"NOVA TÉCNICA",5058.9,27.6,5232.49,2024-02-01
"3R BAHIA",2014.17,510.01,5222.02,2024-02-01
"3R RIO VENTURA",1867.62,349.49,4065.85,2024-02-01
"PETRORECÔNCAVO",2385.4,83.86,2912.86,2024-02-01
"SPE TIÊTA",1749.89,68.97,2183.71,2024-02-01
"SEACREST SPE CRICARÉ",1566.98,89.1,2127.43,2024-02-01
"PRIO",1964.95,4.77,1994.94,2024-02-01
"GAS BRIDGE",20.82,193.66,1238.88,2024-02-01
"GEOPARK BRASIL",20.82,193.66,1238.88,2024-02-01
"ALVOPETRO",40.87,182.12,1186.36,2024-02-01
"SHB",765.49,28.5,944.77,2024-02-01
"3R FAZENDA BELÉM",789.42,1.02,795.81,2024-02-01
"RECÔNCAVO ENERGIA",0.54,88.2,555.29,2024-02-01
"3R RNCE",528.3,0.63,532.28,2024-02-01
"PETROSYNERGY",337.8,9.17,395.46,2024-02-01
"3R PESCADA",81.65,48.79,388.53,2024-02-01
"CAPIXABA ENERGIA",329.14,8.57,383.02,2024-02-01
"ORIGEM",3.38,57.64,365.93,2024-02-01
"PETROM",168.6,2.49,184.24,2024-02-01
"MANDACARU ENERGIA",176.49,0.09,177.09,2024-02-01
"NÍON ENERGIA",130.04,6.26,169.41,2024-02-01
"PETROBORN",0,26.72,168.03,2024-02-01
"BARRA BONITA",0,23.17,145.73,2024-02-01
"IMETAME",67.49,10.17,131.44,2024-02-01
"RECÔNCAVO E&P",94.93,1.44,104,2024-02-01
"GEOPAR - GEOSOL",96.5,0.51,99.7,2024-02-01
"ENERGY PARANÃ",0.04,14.91,93.84,2024-02-01
"NOVA PETRÓLEO",87.86,0.87,93.33,2024-02-01
"IPI",67.47,3.78,91.22,2024-02-01
"SLIM DRILLING",65.31,0.34,67.44,2024-02-01
"BGM",55.9,0.08,56.43,2024-02-01
"ENERGIZZI ENERGIAS",32.84,0.85,38.16,2024-02-01
"CAMPO PETRÓLEO",33.21,0.06,33.58,2024-02-01
"PETRO-VICTORY",26.02,0.26,27.66,2024-02-01
"PHOENIX ÓLEO & GÁS",22.09,0.06,22.5,2024-02-01
"NTF",13.63,0.35,15.8,2024-02-01
"VIPETRO",8.91,0.02,9.05,2024-02-01
"GEOFLUX",6.81,0.17,7.9,2024-02-01
"NEWO",6.81,0.17,7.9,2024-02-01
"SONANGOL GUANAMBI",5.48,0.17,6.57,2024-02-01
"OIL GROUP",5.8,0.04,6.03,2024-02-01
"PETROIL",5.8,0.04,6.03,2024-02-01
"EPG BRASIL",5.56,0.06,5.95,2024-02-01
"GUTO & CACAL",3.2,0.01,3.25,2024-02-01
"NORD",2.6,0,2.62,2024-02-01
"TARMAR",2.17,0,2.19,2024-02-01
"BRASIL REFINARIAS",1.33,0,1.35,2024-02-01
