Operador	Petróleo (bbl/d)	Gás Natural (Mm³/d)	Produção Total (boe/d)
PETROBRAS	3021426	137722,53	3887675
EQUINOR BRASIL	104936	246,08	106484
PETRO RIO JAGUAR	68511	889,68	74106
TOTALENERGIES EP	28939	1016,87	35334
SHELL BRASIL	30248	307,22	32180
TRIDENT ENERGY	27313	500,43	30460
KAROON BRASIL	24721	199,95	25978
ENAUTA ENERGIA	20549	138,69	21421
PERENCO BRASIL	17409	69,57	17847
3R PETROLEUM OFF	13606	594,69	17347
3R POTIGUAR	16599	51,09	16921
PRIO BRAVO	16005	47,47	16304
POTIGUAR E&P S.A.	9854	773,08	14717
ENEVA	276	1946,51	12519
ORIGEM ALAGOAS	2674	1279	10719
BW MAROMBA	9572	131,64	10400
CARMO	8532	50,59	8850
3R MACAU	6020	227,33	7450
SPE MIRANGA	1819	845,63	7138
SEACREST NORTE CAP	6318	54,09	6658
3R BAHIA	2020	510,18	5229
3R RIO VENTURA	1868	349,49	4066
PETRORECÔNCAVO	2385	83,86	2913
SPE TIÊTA	1789	69,57	2227
SEACREST SPE CRICARÉ	1567	89,1	2127
ALVOPETRO	41	182,12	1186
3R FAZENDA BELÉM	789	1,02	796
RECÔNCAVO ENERGIA	1	88,2	555
3R RNCE	528	0,63	532
PETROSYNERGY	338	9,17	395
CAPIXABA ENERGIA	329	8,57	383
ORIGEM	3	57,64	366
MANDACARU ENERGIA	327	0,11	328
IMETAME	135	28,85	316
PETROM	169	2,49	184
NÍON ENERGIA	130	6,26	169
PETROBORN	0	26,72	168
SLIM DRILLING	162	0,85	167
BARRA BONITA	0	23,17	146
RECÔNCAVO E&P	95	1,44	104
NOVA PETRÓLEO	88	0,87	93
BGM	89	0,14	90
ENERGIZZI ENERGIAS	33	0,85	38
NTF	27	0,69	32
PETRO-VICTORY	25	0,24	27
PHOENIX ÓLEO & GÁS	22	0,06	22
PETROIL	12	0,07	12
VIPETRO	9	0,02	9
EPG BRASIL	6	0,08	7
GUTO & CACAL	3	0,01	3
NORD	3	0	3
TARMAR	2	0	2
BRASIL REFINARIAS	1	0	1
