Concessionário	Petróleo (bbl/d)	Gás Natural (Mm³/d)	Produção Total (boe/d)
PETROBRAS	2200331.52	99201.94	2824292.87
SHELL BRASIL	356032.44	16642.14	460708.32
TOTALENERGIES EP	140450.92	6189.38	179380.96
PETROGAL BRASIL	94100	4307.55	121193.65
CNOOC PETROLEUM	73602.64	3648.92	96553.64
CNODC BRASIL	48770.06	2604.01	65148.8
EQUINOR BRASIL	62961.46	147.65	63890.14
PETRO RIO JAGUAR	58400.38	765	63212.11
PETRONAS	51156.17	1095.82	58048.68
REPSOL SINOPEC	43894.7	1928.74	56026.12
SINOCHEM PETRÓLEO	41974.3	98.43	42593.42
QATARENERGY	27690.17	825.39	32881.74
TRIDENT ENERGY	27312.55	500.43	30460.17
EQUINOR ENERGY	25832.43	488.95	28907.84
ENAUTA ENERGIA	20642.69	1010.14	26996.31
KAROON BRASIL	24720.81	199.95	25978.48
PRIO BRAVO	21245.04	121.63	22010.09
PERENCO BRASIL	17409.01	69.57	17846.59
3R POTIGUAR	16599.5	51.09	16920.87
POTIGUAR E&P S.A.	9239.54	744.59	13922.87
ENEVA	275.78	1946.51	12518.98
3R PETROLEUM OFF	8547.22	567.09	12114.09
ORIGEM ALAGOAS	2674.27	1279	10718.91
BW MAROMBA	9572.38	131.64	10400.34
CARMO	8531.76	50.59	8849.99
ONGC CAMPOS	8166.88	82.95	8688.62
3R MACAU	6019.79	227.33	7449.62
SPE MIRANGA	1819.03	845.63	7137.9
SEACREST NORTE CAP	6317.81	54.09	6658.04
NOVA TÉCNICA	5058.9	27.6	5232.49
3R BAHIA	2014.17	510.01	5222.02
3R RIO VENTURA	1867.62	349.49	4065.85
PETRORECÔNCAVO	2385.4	83.86	2912.86
SPE TIÊTA	1749.89	68.97	2183.71
SEACREST SPE CRICARÉ	1566.98	89.1	2127.43
PRIO	1964.95	4.77	1994.94
GAS BRIDGE	20.82	193.66	1238.88
GEOPARK BRASIL	20.82	193.66	1238.88
ALVOPETRO	40.87	182.12	1186.36
SHB	765.49	28.5	944.77
3R FAZENDA BELÉM	789.42	1.02	795.81
RECÔNCAVO ENERGIA	0.54	88.2	555.29
3R RNCE	528.3	0.63	532.28
PETROSYNERGY	337.8	9.17	395.46
3R PESCADA	81.65	48.79	388.53
CAPIXABA ENERGIA	329.14	8.57	383.02
ORIGEM	3.38	57.64	365.93
PETROM	168.6	2.49	184.24
MANDACARU ENERGIA	176.49	0.09	177.09
NÍON ENERGIA	130.04	6.26	169.41
PETROBORN	0	26.72	168.03
BARRA BONITA	0	23.17	145.73
IMETAME	67.49	10.17	131.44
RECÔNCAVO E&P	94.93	1.44	104
GEOPAR - GEOSOL	96.5	0.51	99.7
ENERGY PARANÃ	0.04	14.91	93.84
NOVA PETRÓLEO	87.86	0.87	93.33
IPI	67.47	3.78	91.22
SLIM DRILLING	65.31	0.34	67.44
BGM	55.9	0.08	56.43
ENERGIZZI ENERGIAS	32.84	0.85	38.16
CAMPO PETRÓLEO	33.21	0.06	33.58
PETRO-VICTORY	26.02	0.26	27.66
PHOENIX ÓLEO & GÁS	22.09	0.06	22.5
NTF	13.63	0.35	15.8
VIPETRO	8.91	0.02	9.05
GEOFLUX	6.81	0.17	7.9
NEWO	6.81	0.17	7.9
SONANGOL GUANAMBI	5.48	0.17	6.57
OIL GROUP	5.8	0.04	6.03
PETROIL	5.8	0.04	6.03
EPG BRASIL	5.56	0.06	5.95
GUTO & CACAL	3.2	0.01	3.25
NORD	2.6	0	2.62
TARMAR	2.17	0	2.19
BRASIL REFINARIAS	1.33	0	1.35
