Poço	Campo	Bacia	Localização	Petróleo (bbl/d)
9-BRSA-1254-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	50751
7-ATP-6-RJS	Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu	Santos	Mar	50399
7-BUZ-50D-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	49518
7-BUZ-18-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	49377
9-ITP-1-RJS	Itapu / Itapu_Eco	Santos	Mar	48871
7-BUZ-33-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	48801
7-BUZ-45DA-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	48433
7-MRO-10B-RJS	Anc_Mero / Mero	Santos	Mar	48111
7-MRO-6DB-RJS	Anc_Mero / Mero	Santos	Mar	47473
3-BRSA-1201-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	44813
7-BUZ-10-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	44135
7-ITP-5D-RJS	Itapu / Itapu_Eco	Santos	Mar	43022
7-BUZ-23-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	42069
9-ATP-1-RJS	Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu	Santos	Mar	42032
7-BUZ-25-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	42008
7-BUZ-12-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	41823
7-BUZ-30-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	40251
3-BRSA-1322-RJS	Anc_Mero / Mero	Santos	Mar	35771
1-BRSA-976-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	35421
7-ITP-3A-RJS	Itapu / Itapu_Eco	Santos	Mar	34479
9-BUZ-4-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	34424
7-MRO-3-RJS	Anc_Mero / Mero	Santos	Mar	34024
3-BRSA-1255-RJS	Anc_Mero / Mero	Santos	Mar	33948
7-MRO-16D-RJS	Anc_Mero / Mero	Santos	Mar	32693
7-SEP-6-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	32453
7-LL-27-RJS	Tupi	Santos	Mar	32442
7-TUP-121DA-RJS	Tupi	Santos	Mar	31511
9-BUZ-3-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	31427
9-BUZ-1-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	27746
3-BRSA-1064-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	27741
