Poço	Campo	Bacia	Localização	Gás natural (Mm³/d)
7-LUC-42HP-AM	Leste Do Urucu	Solimões	Terra	560
7-LUC-65HP-AM	Leste Do Urucu	Solimões	Terra	487
7-RUC-83H-AM	Rio Urucu	Solimões	Terra	443
7-LUC-71HP-AM	Leste Do Urucu	Solimões	Terra	443
9-RUC-104DP-AM	Rio Urucu	Solimões	Terra	412
4-SMT-3-AM	Araracanga	Solimões	Terra	408
7-LUC-41HP-AM	Leste Do Urucu	Solimões	Terra	388
9-RUC-97DP-AM	Rio Urucu	Solimões	Terra	387
1-SMT-2-AM	Araracanga	Solimões	Terra	364
9-RUC-75D-AM	Rio Urucu	Solimões	Terra	358
7-RUC-96HP-AM	Rio Urucu	Solimões	Terra	354
7-RUC-58HP-AM	Rio Urucu	Solimões	Terra	329
7-RUC-107HP-AM	Rio Urucu	Solimões	Terra	324
1-BRSA-769-AM	Arara Azul	Solimões	Terra	315
7-LUC-57HP-AM	Leste Do Urucu	Solimões	Terra	300
7-RUC-62HP-AM	Rio Urucu	Solimões	Terra	300
7-LUC-59HP-AM	Leste Do Urucu	Solimões	Terra	274
7-LUC-17-AM	Leste Do Urucu	Solimões	Terra	263
3-RUC-16D-AM	Rio Urucu	Solimões	Terra	258
3-RUC-8-AM	Rio Urucu	Solimões	Terra	257
4-RUC-10-AM	Rio Urucu	Solimões	Terra	256
7-LUC-80DP-AM	Leste Do Urucu	Solimões	Terra	254
7-LUC-22DP-AM	Leste Do Urucu	Solimões	Terra	252
7-RUC-85HP-AM	Rio Urucu	Solimões	Terra	248
7-RUC-92DP-AM	Rio Urucu	Solimões	Terra	245
7-RUC-103DP-AM	Rio Urucu	Solimões	Terra	237
7-AZU-4DA-AM	Azulão	Amazonas	Terra	235
7-RUC-67HPA-AM	Rio Urucu	Solimões	Terra	235
7-AZU-3-AM	Azulão	Amazonas	Terra	231
7-LUC-31HP-AM	Leste Do Urucu	Solimões	Terra	219
