	Petróleo (bbl/d) Pré Sal	Petróleo (bbl/d) Pós Sal	Gás natural (Mm3/d) Pré Sal	Gás natural (Mm3/d) Pós Sal	Produção (boe/d) Pré Sal	Produção (boe/d) Pós Sal
Tupi	744677	0	37299	0	979284	0
Búzios	672246	0	28287	0	850164	0
Mero	239375	0	15591	0	337440	0
Sépia	143709	0	5231	0	176613	0
Sapinhoá	130023	0	6274	0	169486	0
Atapu	122054	0	4634	0	151202	0
Jubarte	77151	60969	2789	628	94693	64916
Itapu	77557	0	1013	0	83926	0
Itapu_Eco	72433	0	946	0	78382	0
Berbigão	70402	0	1249	0	78260	0
Sururu	61118	0	2128	0	74503	0
Sul de Tupi	42934	0	2009	0	55568	0
Lapa	28939	0	1017	0	35334	0
Oeste de Atapu	25346	0	962	0	31399	0
Sul de Berbigão	18809	0	1051	0	25418	0
Sépia Leste	19729	0	718	0	24246	0
Barracuda	13274	21797	241	349	14790	23994
Caratinga	12253	3831	222	67	13653	4252
Marlim	10634	37382	320	618	12644	41270
Anc_Mero	8682	0	565	0	12239	0
Voador	5527	0	166	0	6572	0
Marlim Sul	6038	76140	18	716	6150	80640
Marlim Leste	5394	29883	92	436	5973	32624
Tambuatá	4339	0	183	0	5487	0
Anc_Tupi	3216	0	150	0	4163	0
Sudoeste de Sapinhoá	2934	0	142	0	3824	0
Noroeste de Sapinhoá	1707	0	82	0	2225	0
Anc_Norte_Atapu	1414	0	54	0	1751	0
Nordeste de Sapinhoá	355	0	17	0	463	0
Espadim	385	0	12	0	457	0
Total	2622652	230002	113462	2813	3336309	247696
