Poço	Campo	Bacia	Localização	Produção
7-MRO-10B-RJS	Anc_Mero / Mero	Santos	Mar	67497
7-MRO-6DB-RJS	Anc_Mero / Mero	Santos	Mar	66673
7-ATP-6-RJS	Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu	Santos	Mar	62195
7-BUZ-50D-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	61818
7-BUZ-18-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	61582
7-BUZ-33-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	60524
7-BUZ-45DA-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	60432
9-BRSA-1254-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	60170
3-BRSA-1201-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	56430
7-BUZ-10-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	55870
7-BUZ-23-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	54619
9-ITP-1-RJS	Itapu / Itapu_Eco	Santos	Mar	52884
7-BUZ-12-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	52342
7-BUZ-25-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	51529
9-ATP-1-RJS	Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu	Santos	Mar	51204
3-BRSA-1322-RJS	Anc_Mero / Mero	Santos	Mar	51190
7-BUZ-30-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	49483
3-BRSA-1255-RJS	Anc_Mero / Mero	Santos	Mar	47568
7-MRO-3-RJS	Anc_Mero / Mero	Santos	Mar	47568
7-ITP-5D-RJS	Itapu / Itapu_Eco	Santos	Mar	46509
7-MRO-16D-RJS	Anc_Mero / Mero	Santos	Mar	46173
1-BRSA-976-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	45742
9-BUZ-4-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	42938
7-LL-27-RJS	Tupi	Santos	Mar	42498
9-BUZ-3-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	42384
7-TUP-121DA-RJS	Tupi	Santos	Mar	41222
7-SEP-6-RJS	Sépia / Sépia Leste / Sépia_Eco	Santos	Mar	38517
7-ITP-3A-RJS	Itapu / Itapu_Eco	Santos	Mar	37393
9-LL-20D-RJS	Tupi	Santos	Mar	35226
3-BRSA-1064-RJS	Búzios / Búzios_Eco / Tambuatá	Santos	Mar	34639
Total				1524817
